dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000062,22.406292,0.000222,0.022177,1.108871,55.443548,0.000000
0.020000,0.000949,22.406292,0.001109,0.044355,1.108871,-0.000000,0.000000
0.020000,0.002945,22.406292,0.003105,0.099798,2.772177,83.165323,0.000000
0.020000,0.006493,22.406292,0.006653,0.177419,3.881048,55.443548,0.000000
0.020000,0.012038,22.406292,0.012198,0.277218,4.989919,55.443548,0.000000
0.020000,0.020021,22.406292,0.020181,0.399194,6.098790,55.443548,0.000000
0.020000,0.030888,22.406292,0.031048,0.543347,7.207661,55.443548,0.000000
0.020000,0.045082,22.406292,0.045242,0.709677,8.316532,55.443548,0.000000
0.020000,0.062824,22.406292,0.062984,0.887097,8.870968,27.721774,0.000000
0.020000,0.084114,22.406292,0.084274,1.064516,8.870968,0.000000,0.000000
0.020000,0.108953,22.406292,0.109113,1.241935,8.870968,-0.000000,0.000000
0.020000,0.137340,22.406292,0.137500,1.419355,8.870968,-0.000000,0.000000
0.020000,0.169275,22.406292,0.169435,1.596774,8.870968,-0.000000,0.000000
0.020000,0.204759,22.406292,0.204919,1.774194,8.870968,0.000000,0.000000
0.020000,0.243792,22.406292,0.243952,1.951613,8.870968,-0.000000,0.000000
0.020000,0.286372,22.406292,0.286532,2.129032,8.870968,0.000000,0.000000
0.020000,0.332501,22.406292,0.332661,2.306452,8.870968,0.000000,0.000000
0.020000,0.382179,22.406292,0.382339,2.483871,8.870968,-0.000000,0.000000
0.020000,0.435405,22.406292,0.435565,2.661290,8.870968,-0.000000,0.000000
0.020000,0.492179,22.406292,0.492339,2.838710,8.870968,0.000000,0.000000
0.020000,0.552501,22.406292,0.552661,3.016129,8.870968,-0.000000,0.000000
0.020000,0.616372,22.406292,0.616532,3.193548,8.870968,0.000000,0.000000
0.020000,0.683792,22.406292,0.683952,3.370968,8.870968,0.000000,0.000000
0.020000,0.754759,22.406292,0.754919,3.548387,8.870968,-0.000000,0.000000
0.020000,0.829275,22.406292,0.829435,3.725806,8.870968,0.000000,0.000000
0.020000,0.907340,22.406292,0.907500,3.903226,8.870968,0.000000,0.000000
0.020000,0.988953,22.406292,0.989113,4.080645,8.870968,-0.000000,0.000000
0.020000,1.074114,22.406292,1.074274,4.258065,8.870968,0.000000,0.000000
0.020000,1.162824,22.406292,1.162984,4.435484,8.870968,-0.000000,0.000000
0.020000,1.255082,22.406292,1.255242,4.612903,8.870968,-0.000000,0.000000
0.020000,1.350888,22.406292,1.351048,4.790323,8.870968,-0.000000,0.000000
0.020000,1.450243,22.406292,1.450403,4.967742,8.870968,0.000000,0.000000
0.020000,1.553146,22.406292,1.553306,5.145161,8.870968,0.000000,0.000000
0.020000,1.659598,22.406292,1.659758,5.322581,8.870968,0.000000,0.000000
0.020000,1.769598,22.406292,1.769758,5.500000,8.870968,-0.000000,0.000000
0.020000,1.883146,22.406292,1.883306,5.677419,8.870968,-0.000000,0.000000
0.020000,2.000243,22.406292,2.000403,5.854839,8.870968,-0.000000,0.000000
0.020000,2.120888,22.406292,2.121048,6.032258,8.870968,-0.000000,0.000000
0.020000,2.245082,22.406292,2.245242,6.209677,8.870968,0.000000,0.000000
0.020000,2.372824,22.406292,2.372984,6.387097,8.870968,0.000000,0.000000
0.020000,2.504114,22.406292,2.504274,6.564516,8.870968,0.000000,0.000000
0.020000,2.638953,22.406292,2.639113,6.741935,8.870968,-0.000000,0.000000
0.020000,2.777340,22.406292,2.777500,6.919355,8.870968,0.000000,0.000000
0.020000,2.919275,22.406292,2.919435,7.096774,8.870968,0.000000,0.000000
0.020000,3.064759,22.406292,3.064919,7.274194,8.870968,-0.000000,0.000000
0.020000,3.213792,22.406292,3.213952,7.451613,8.870968,0.000000,0.000000
0.020000,3.366372,22.406292,3.366532,7.629032,8.870968,0.000000,0.000000
0.020000,3.522501,22.406292,3.522661,7.806452,8.870968,-0.000000,0.000000
0.020000,3.682179,22.406292,3.682339,7.983871,8.870968,0.000000,0.000000
0.020000,3.845405,22.406292,3.845565,8.161290,8.870968,-0.000000,0.000000
0.020000,4.012179,22.406292,4.012339,8.338710,8.870968,0.000000,0.000000
0.020000,4.182501,22.406292,4.182661,8.516129,8.870968,0.000000,0.000000
0.020000,4.356372,22.406292,4.356532,8.693548,8.870968,0.000000,0.000000
0.020000,4.533792,22.406292,4.533952,8.870968,8.870968,-0.000000,0.000000
0.020000,4.714759,22.406292,4.714919,9.048387,8.870968,0.000000,0.000000
0.020000,4.899275,22.406292,4.899435,9.225806,8.870968,0.000000,0.000000
0.020000,5.087340,22.406292,5.087500,9.403226,8.870968,0.000000,0.000000
0.020000,5.278953,22.406292,5.279113,9.580645,8.870968,-0.000000,0.000000
0.020000,5.474114,22.406292,5.474274,9.758065,8.870968,0.000000,0.000000
0.020000,5.672824,22.406292,5.672984,9.935484,8.870968,-0.000000,0.000000
0.020000,5.875082,22.406292,5.875242,10.112903,8.870968,0.000000,0.000000
0.020000,6.080888,22.406292,6.081048,10.290323,8.870968,-0.000000,0.000000
0.020000,6.290021,22.406292,6.290181,10.456653,8.316532,-27.721774,0.000000
0.020000,6.502038,22.406292,6.502198,10.600806,7.207661,-55.443548,0.000000
0.020000,6.716493,22.406292,6.716653,10.722782,6.098790,-55.443548,0.000000
0.020000,6.932945,22.406292,6.933105,10.822581,4.989919,-55.443548,0.000000
0.020000,7.150949,22.406292,7.151109,10.900202,3.881048,-55.443548,0.000000
0.020000,7.370062,22.406292,7.370222,10.955645,2.772177,-55.443548,0.000000
0.020000,7.589840,22.406292,7.590000,10.988911,1.663306,-55.443548,0.000000
0.020000,7.809840,22.406292,7.810000,11.000000,0.554435,-55.443548,0.000000
0.020000,8.029840,22.406292,8.030000,11.000000,0.000000,-27.721774,0.000000
0.020000,8.249840,22.406292,8.250000,11.000000,0.000000,0.000000,0.000000
0.020000,8.469840,22.406292,8.470000,11.000000,0.000000,-0.000000,0.000000
0.020000,8.689840,22.406292,8.690000,11.000000,0.000000,-0.000000,0.000000
0.020000,8.909840,22.406292,8.910000,11.000000,-0.000000,-0.000000,0.000000
0.020000,9.129840,22.406292,9.130000,11.000000,0.000000,0.000000,0.000000
0.020000,9.349840,22.406292,9.350000,11.000000,-0.000000,-0.000000,0.000000
0.020000,9.569840,22.406292,9.570000,11.000000,0.000000,0.000000,0.000000
0.020000,9.789840,22.406292,9.790000,11.000000,0.000000,-0.000000,0.000000
0.020000,10.009840,22.406292,10.010000,11.000000,-0.000000,-0.000000,0.000000
0.020000,10.229840,22.406292,10.230000,11.000000,0.000000,0.000000,0.000000
0.020000,10.449840,22.406292,10.450000,11.000000,0.000000,-0.000000,0.000000
0.020000,10.669840,22.406292,10.670000,11.000000,-0.000000,-0.000000,0.000000
0.020000,10.889840,22.406292,10.890000,11.000000,0.000000,0.000000,0.000000
0.020000,11.109840,22.406292,11.110000,11.000000,0.000000,-0.000000,0.000000
0.020000,11.329840,22.406292,11.330000,11.000000,-0.000000,-0.000000,0.000000
0.020000,11.549840,22.406292,11.550000,11.000000,0.000000,0.000000,0.000000
0.020000,11.769840,22.406292,11.770000,11.000000,0.000000,-0.000000,0.000000
0.020000,11.989840,22.406292,11.990000,11.000000,-0.000000,-0.000000,0.000000
0.020000,12.209840,22.406292,12.210000,11.000000,0.000000,0.000000,0.000000
0.020000,12.429840,22.406292,12.430000,11.000000,-0.000000,-0.000000,0.000000
0.020000,12.649840,22.406292,12.650000,11.000000,0.000000,0.000000,0.000000
0.020000,12.869840,22.406292,12.870000,11.000000,0.000000,-0.000000,0.000000
0.020000,13.089840,22.406292,13.090000,11.000000,-0.000000,-0.000000,0.000000
0.020000,13.309840,22.406292,13.310000,11.000000,0.000000,0.000000,0.000000
0.020000,13.529840,22.406292,13.530000,11.000000,0.000000,-0.000000,0.000000
0.020000,13.749840,22.406292,13.750000,11.000000,-0.000000,-0.000000,0.000000
0.020000,13.969840,22.406292,13.970000,11.000000,0.000000,0.000000,0.000000
0.020000,14.189840,22.406292,14.190000,11.000000,0.000000,-0.000000,0.000000
0.020000,14.409840,22.406292,14.410000,11.000000,-0.000000,-0.000000,0.000000
0.020000,14.629840,22.406292,14.630000,11.000000,0.000000,0.000000,0.000000
0.020000,14.849840,22.406292,14.850000,11.000000,-0.000000,-0.000000,0.000000
0.020000,15.069840,22.406292,15.070000,11.000000,0.000000,0.000000,0.000000
0.020000,15.289840,22.406292,15.290000,11.000000,0.000000,-0.000000,0.000000
0.020000,15.509840,22.406292,15.510000,11.000000,-0.000000,-0.000000,0.000000
0.020000,15.729840,22.406292,15.730000,11.000000,0.000000,0.000000,0.000000
0.020000,15.949840,22.406292,15.950000,11.000000,0.000000,-0.000000,0.000000
0.020000,16.184263,22.407571,16.184426,11.721314,36.065704,1803.285206,0.013243
0.020000,16.416454,22.412065,16.416661,11.611732,-5.479106,-2077.240489,0.024431
0.020000,16.641685,22.418230,16.641976,11.265750,-17.299117,-591.000589,0.029291
0.020000,16.860204,22.424605,16.860589,10.930642,-16.755401,27.185822,0.028022
0.020000,17.071992,22.429868,17.072442,10.592659,-16.899122,-7.186045,0.020574
0.020000,17.276729,22.432777,17.277199,10.237852,-17.740353,-42.061575,0.006638
0.020000,17.473750,22.432152,17.474222,9.851136,-19.335786,-79.771624,6.268818
0.020000,17.661985,22.426876,17.662531,9.415441,-21.784760,-122.448709,6.239849
0.020000,17.839873,22.415939,17.840754,8.911167,-25.213721,-171.448035,6.201661
0.020000,18.005293,22.398548,18.007086,8.316587,-29.728965,-225.762209,6.152606
0.020000,18.155565,22.374317,18.159299,7.610680,-35.295349,-278.319205,6.090650
0.020000,18.287654,22.343544,18.294925,6.781303,-41.468878,-308.676469,6.013536
0.020000,18.398800,22.307452,18.411784,5.842954,-46.917444,-272.428296,5.919271
0.020000,18.487741,22.268090,18.509046,4.863065,-48.994428,-103.849182,5.807210
0.020000,18.556331,22.227286,18.588855,3.990489,-43.628843,268.279248,5.679630
0.020000,18.610157,22.184600,18.657553,3.434877,-27.780594,792.412451,5.542727
0.020000,18.656414,22.136011,18.724639,3.354320,-4.027850,1187.637186,5.405595
0.020000,18.700220,22.075461,18.799374,3.736731,19.120589,1157.421951,5.277104
0.020000,18.742873,21.998253,18.887581,4.410344,33.680627,728.001919,5.162984
0.020000,18.783033,21.903040,18.990916,5.166763,37.820960,207.016648,5.065150
0.020000,18.818744,21.791422,19.108108,5.859611,34.642405,-158.927775,4.982845
0.020000,18.848615,21.666430,19.236620,6.425579,28.298392,-317.200609,4.914040
0.020000,18.872058,21.531265,19.373802,6.859119,21.676971,-331.071065,4.856401
0.020000,18.889082,21.388748,19.517333,7.176537,15.870913,-290.302927,4.807806
0.020000,18.900041,21.241195,19.665293,7.397983,11.072314,-239.929912,4.766502
0.020000,18.905459,21.090435,19.816150,7.542851,7.243381,-191.446682,4.731089
0.020000,18.905905,20.938856,19.967729,7.578979,1.806404,-271.848832,4.699634
0.020000,18.901665,20.792634,20.114012,7.314148,-13.241518,-752.396100,4.666526
0.020000,18.892808,20.652976,20.253952,6.996978,-15.858545,-130.851372,4.630864
0.020000,18.879447,20.520258,20.387340,6.669403,-16.378734,-26.009443,4.592456
0.020000,18.861755,20.394856,20.513984,6.332209,-16.859681,-24.047340,4.551128
0.020000,18.839967,20.277115,20.633724,5.986999,-17.260489,-20.040418,4.506732
0.020000,18.814385,20.167327,20.746453,5.636442,-17.527851,-13.368095,4.459171
0.020000,18.785375,20.065696,20.852143,5.284504,-17.596923,-3.453571,4.408418
0.020000,18.753350,19.972303,20.950875,4.936594,-17.395522,10.070057,4.354549
0.020000,18.718746,19.887069,21.042866,4.599534,-16.852984,27.126892,4.297761
0.020000,18.681984,19.809737,21.128491,4.281252,-15.914083,46.945040,4.238398
0.020000,18.643430,19.739866,21.208293,3.990124,-14.556418,67.883248,4.176954
0.020000,18.603353,19.676850,21.282973,3.733987,-12.806837,87.479033,4.114072
0.020000,18.561902,19.619973,21.353352,3.518983,-10.750226,102.830575,4.050501
0.020000,18.519096,19.568469,21.420322,3.348494,-8.524412,111.290682,3.987057
0.020000,18.474858,19.521599,21.484773,3.222508,-6.299322,111.254527,3.924553
0.020000,18.429049,19.478710,21.547525,3.137600,-4.245408,102.695672,3.863739
0.020000,18.381532,19.439273,21.609276,3.087564,-2.501808,87.179988,3.805254
0.020000,18.332211,19.402888,21.670565,3.064467,-1.154831,67.348892,3.749590
0.020000,18.281072,19.369276,21.731762,3.059823,-0.232192,46.131949,3.697085
0.020000,18.228191,19.338248,21.793073,3.065594,0.288554,26.037291,3.647929
0.020000,18.173734,19.309677,21.854571,3.074865,0.463559,8.750253,3.602187
0.020000,18.117939,19.283469,21.916214,3.082165,0.364996,-4.928143,3.559821
0.020000,18.061099,19.259544,21.977884,3.083501,0.066760,-14.911826,3.520723
0.020000,18.003538,19.237819,22.039408,3.076207,-0.364698,-21.572876,3.484736
0.020000,17.945594,19.218204,22.100582,3.058712,-0.874753,-25.502777,3.451673
0.020000,17.887601,19.200600,22.161188,3.030280,-1.421552,-27.339931,3.421334
0.020000,17.829884,19.184895,22.221004,2.990782,-1.974921,-27.668481,3.393517
0.020000,17.772746,19.170971,22.279814,2.940494,-2.514385,-26.973201,3.368024
0.020000,17.716469,19.158704,22.337413,2.879955,-3.026987,-25.630101,3.344668
0.020000,17.661307,19.147965,22.393610,2.809848,-3.505308,-23.916041,3.323275
0.020000,17.607493,19.138628,22.448228,2.730932,-3.945827,-22.025958,3.303682
0.020000,17.555231,19.130567,22.501108,2.643979,-4.347654,-20.091334,3.285744
0.020000,17.504706,19.123659,22.552103,2.549747,-4.711587,-18.196651,3.269326
0.020000,17.456080,19.117788,22.601082,2.448958,-5.039444,-16.392862,3.254310
0.020000,17.409497,19.112841,22.647928,2.342286,-5.333599,-14.707737,3.240588
