dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000082,13.000000,0.000223,0.022316,1.115813,55.790649,0.000014
0.020000,0.000975,13.000000,0.001116,0.066949,2.231626,55.790649,0.000161
0.020000,0.002983,13.000001,0.003124,0.133898,3.347439,55.790649,0.000493
0.020000,0.006554,13.000004,0.006695,0.223163,4.463252,55.790649,0.001083
0.020000,0.012133,13.000012,0.012274,0.334744,5.579065,55.790649,0.002006
0.020000,0.020166,13.000034,0.020308,0.468641,6.694878,55.790649,0.003336
0.020000,0.031101,13.000080,0.031243,0.624855,7.810691,55.790649,0.005148
0.020000,0.045383,13.000170,0.045525,0.803385,8.926504,55.790649,0.007517
0.020000,0.063236,13.000331,0.063378,0.981915,8.926504,0.000000,0.010482
0.020000,0.084658,13.000594,0.084802,1.160445,8.926504,0.000000,0.014047
0.020000,0.109649,13.000997,0.109796,1.338976,8.926504,0.000000,0.018214
0.020000,0.138207,13.001585,0.138361,1.517506,8.926504,0.000000,0.022987
0.020000,0.170332,13.002410,0.170496,1.696036,8.926504,0.000000,0.028370
0.020000,0.206021,13.003530,0.206202,1.874566,8.926504,0.000000,0.034367
0.020000,0.245269,13.005010,0.245479,2.053096,8.926504,0.000000,0.040981
0.020000,0.288074,13.006920,0.288326,2.231626,8.926504,0.000000,0.048216
0.020000,0.334428,13.009339,0.334744,2.410156,8.926504,0.000000,0.056076
0.020000,0.384326,13.012352,0.384732,2.588686,8.926504,0.000000,0.064563
0.020000,0.437757,13.016051,0.438291,2.767216,8.926504,-0.000000,0.073681
0.020000,0.494710,13.020535,0.495421,2.945746,8.926504,0.000000,0.083430
0.020000,0.555172,13.025907,0.556121,3.124276,8.926504,0.000000,0.093810
0.020000,0.619125,13.032279,0.620392,3.302806,8.926504,0.000000,0.104821
0.020000,0.686552,13.039770,0.688233,3.481336,8.926504,0.000000,0.116459
0.020000,0.757427,13.048502,0.759645,3.659867,8.926504,0.000000,0.128719
0.020000,0.831726,13.058605,0.834628,3.838397,8.926504,0.000000,0.141593
0.020000,0.909416,13.070215,0.913181,4.016927,8.926504,0.000000,0.155071
0.020000,0.990462,13.083469,0.995305,4.195457,8.926504,0.000000,0.169140
0.020000,1.074825,13.098513,1.081000,4.373987,8.926504,0.000000,0.183782
0.020000,1.162459,13.115493,1.170265,4.552517,8.926504,0.000000,0.198977
0.020000,1.253315,13.134559,1.263100,4.731047,8.926504,0.000000,0.214701
0.020000,1.347337,13.155862,1.359507,4.909577,8.926504,0.000000,0.230924
0.020000,1.444464,13.179557,1.459483,5.088107,8.926504,0.000000,0.247612
0.020000,1.544631,13.205795,1.563031,5.266637,8.926504,0.000000,0.264729
0.020000,1.647766,13.234727,1.670149,5.445167,8.926504,-0.000000,0.282230
0.020000,1.753795,13.266503,1.780838,5.623697,8.926504,0.000000,0.300068
0.020000,1.862635,13.301266,1.895097,5.802227,8.926504,-0.000000,0.318192
0.020000,1.974205,13.339157,2.012927,5.980758,8.926504,0.000000,0.336545
0.020000,2.088416,13.380310,2.134327,6.159288,8.926504,-0.000000,0.355068
0.020000,2.205178,13.424850,2.259298,6.337818,8.926504,0.000000,0.373697
0.020000,2.324401,13.472895,2.387840,6.516348,8.926504,-0.000000,0.392365
0.020000,2.445994,13.524552,2.519952,6.694878,8.926504,0.000000,0.411005
0.020000,2.569865,13.579917,2.655635,6.873408,8.926504,-0.000000,0.429545
0.020000,2.695924,13.639077,2.794888,7.051938,8.926504,0.000000,0.447914
0.020000,2.824088,13.702103,2.937712,7.230468,8.926504,-0.000000,0.466042
0.020000,2.954273,13.769056,3.084107,7.408998,8.926504,0.000000,0.483857
0.020000,3.086403,13.839982,3.234072,7.587528,8.926504,-0.000000,0.501288
0.020000,3.220411,13.914914,3.387608,7.766058,8.926504,0.000000,0.518267
0.020000,3.356233,13.993871,3.544715,7.944588,8.926504,-0.000000,0.534726
0.020000,3.493818,14.076858,3.705392,8.123118,8.926504,0.000000,0.550602
