dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000067,14.093708,0.000223,0.022316,1.115813,55.790649,0.000014
0.020000,0.000798,14.093708,0.000954,0.036564,0.712402,-20.170556,0.000161
0.020000,0.002444,14.093709,0.002600,0.082267,2.285143,78.637078,0.000493
0.020000,0.005369,14.093711,0.005525,0.146244,3.198850,45.685333,0.001083
0.020000,0.009938,14.093718,0.010094,0.228485,4.112022,45.658604,0.002006
0.020000,0.016518,14.093736,0.016674,0.328971,5.024331,45.615454,0.003336
0.020000,0.025471,14.093774,0.025627,0.447679,5.935377,45.552277,0.005148
0.020000,0.037162,14.093848,0.037319,0.584573,6.844709,45.466628,0.007517
0.020000,0.051771,14.093979,0.051928,0.730481,7.295380,22.533557,0.010482
0.020000,0.069295,14.094194,0.069453,0.876238,7.287879,-0.375052,0.014047
0.020000,0.089729,14.094524,0.089890,1.021823,7.279241,-0.431916,0.018214
0.020000,0.113068,14.095004,0.113234,1.167216,7.269671,-0.478523,0.022987
0.020000,0.139307,14.095678,0.139482,1.312405,7.259420,-0.512543,0.028370
0.020000,0.168441,14.096592,0.168630,1.457380,7.248784,-0.531813,0.034367
0.020000,0.200461,14.097799,0.200673,1.602143,7.238109,-0.533739,0.040981
0.020000,0.235360,14.099357,0.235607,1.746698,7.227792,-0.515855,0.048216
0.020000,0.273130,14.101328,0.273428,1.891064,7.218291,-0.475034,0.056076
0.020000,0.313761,14.103782,0.314133,2.035267,7.210119,-0.408588,0.064563
0.020000,0.357244,14.106792,0.357720,2.179344,7.203856,-0.313166,0.073681
0.020000,0.403568,14.110438,0.404187,2.323347,7.200141,-0.185723,0.083430
0.020000,0.452721,14.114806,0.453534,2.467340,7.199680,-0.023057,0.093810
0.020000,0.504692,14.119984,0.505762,2.611405,7.203239,0.177927,0.104821
0.020000,0.559467,14.126069,0.560875,2.755638,7.211640,0.420055,0.116459
0.020000,0.617035,14.133162,0.618878,2.900153,7.225755,0.705778,0.128719
0.020000,0.677381,14.141368,0.679779,3.045083,7.246496,1.037039,0.141593
0.020000,0.740492,14.150799,0.743591,3.190579,7.274796,1.415006,0.155071
0.020000,0.806354,14.161570,0.810327,3.336811,7.311594,1.839866,0.169140
0.020000,0.874951,14.173802,0.880006,3.483967,7.357808,2.310701,0.183782
0.020000,0.946269,14.187621,0.952652,3.632253,7.414309,2.825053,0.198977
0.020000,1.020295,14.203155,1.028289,3.781891,7.481890,3.379036,0.214701
0.020000,1.097012,14.220538,1.106952,3.933115,7.561230,3.967003,0.230924
0.020000,1.176407,14.239907,1.188675,4.086172,7.652856,4.581304,0.247612
0.020000,1.258465,14.261402,1.273501,4.241315,7.757112,5.212840,0.264729
0.020000,1.343171,14.285165,1.361477,4.398797,7.874122,5.850459,0.282230
0.020000,1.430511,14.311340,1.452655,4.558872,8.003759,6.481862,0.300068
0.020000,1.520469,14.340073,1.547090,4.721785,8.145630,7.093544,0.318192
0.020000,1.613032,14.371510,1.644846,4.887766,8.299060,7.671500,0.336545
0.020000,1.708184,14.405796,1.745986,5.057028,8.463096,8.201797,0.355068
0.020000,1.805910,14.443075,1.850582,5.229758,8.636520,8.671237,0.373697
0.020000,1.906195,14.483489,1.958704,5.406116,8.817883,9.068123,0.392365
0.020000,2.009024,14.527176,2.070428,5.586227,9.005541,9.382894,0.411005
0.020000,2.114382,14.574268,2.185832,5.770181,9.197716,9.608774,0.429545
0.020000,2.222254,14.624893,2.304993,5.958032,9.392561,9.742220,0.447914
