dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000091,11.906292,0.000221,0.022108,1.105420,55.270978,0.000014
0.020000,0.001154,11.906292,0.001284,0.053159,1.552523,22.355185,0.000178
0.020000,0.003547,11.906293,0.003677,0.119613,3.322726,88.510119,0.000546
0.020000,0.007800,11.906297,0.007930,0.212666,4.652646,66.496030,0.001200
0.020000,0.014447,11.906308,0.014577,0.332343,5.983837,66.559558,0.002224
0.020000,0.024020,11.906336,0.024150,0.478685,7.317103,66.663292,0.003700
0.020000,0.037055,11.906398,0.037185,0.651754,8.653435,66.816586,0.005714
0.020000,0.054088,11.906518,0.054218,0.851634,9.994005,67.028492,0.008350
0.020000,0.075389,11.906731,0.075521,1.065119,10.674244,34.011964,0.011656
0.020000,0.100966,11.907080,0.101100,1.278983,10.693193,0.947460,0.015638
0.020000,0.130827,11.907616,0.130966,1.493296,10.715648,1.122752,0.020305
0.020000,0.164981,11.908401,0.165129,1.708124,10.741433,1.289214,0.025667
0.020000,0.203436,11.909505,0.203599,1.923531,10.770323,1.444515,0.031733
0.020000,0.246201,11.911008,0.246391,2.139571,10.802031,1.585421,0.038515
0.020000,0.293284,11.912999,0.293517,2.356295,10.836207,1.708774,0.046027
0.020000,0.344695,11.915580,0.344991,2.573744,10.872413,1.810332,0.054280
0.020000,0.400437,11.918860,0.400830,2.791946,10.910123,1.885460,0.063290
0.020000,0.460516,11.922962,0.461049,3.010920,10.948696,1.928679,0.073069
0.020000,0.524931,11.928019,0.525662,3.230667,10.987363,1.933339,0.083633
0.020000,0.593679,11.934175,0.594686,3.451172,11.025221,1.892878,0.094994
0.020000,0.666752,11.941586,0.668133,3.672396,11.061202,1.799057,0.107167
0.020000,0.744135,11.950419,0.746019,3.894277,11.094070,1.643389,0.120163
0.020000,0.825806,11.960854,0.828354,4.116725,11.122401,1.416563,0.133993
0.020000,0.911733,11.973078,0.915146,4.339617,11.144589,1.109436,0.148665
0.020000,1.001875,11.987294,1.006402,4.562794,11.158834,0.712243,0.164183
0.020000,1.096178,12.003711,1.102123,4.786057,11.163160,0.216258,0.180550
0.020000,1.194574,12.022548,1.202306,5.009165,11.155427,-0.386615,0.197763
0.020000,1.296982,12.044031,1.306943,5.231833,11.133389,-1.101893,0.215813
0.020000,1.403301,12.068392,1.416017,5.453728,11.094723,-1.933330,0.234687
0.020000,1.513414,12.095867,1.529507,5.674470,11.037127,-2.879800,0.254363
0.020000,1.627185,12.126693,1.647380,5.893638,10.958394,-3.936618,0.274814
0.020000,1.744456,12.161102,1.769595,6.110769,10.856545,-5.092483,0.296000
0.020000,1.865051,12.199326,1.896102,6.325368,10.729938,-6.330362,0.317877
0.020000,1.988771,12.241585,2.026841,6.536916,10.577414,-7.626175,0.340389
0.020000,2.115400,12.288087,2.161738,6.744885,10.398429,-8.949255,0.363469
0.020000,2.244704,12.339026,2.300713,6.948748,10.193171,-10.262892,0.387043
0.020000,2.376431,12.394573,2.443673,7.148001,9.962654,-11.525874,0.411027
0.020000,2.510319,12.454880,2.590517,7.342176,9.708764,-12.694500,0.435327
0.020000,2.646097,12.520070,2.741134,7.530862,9.434259,-13.725231,0.459844
0.020000,2.783490,12.590242,2.895408,7.713716,9.142700,-14.577962,0.484470
0.020000,2.922219,12.665460,3.053218,7.890482,8.838322,-15.218874,0.509094
0.020000,3.062017,12.745764,3.214438,8.060999,8.525849,-15.623645,0.533603
0.020000,3.202620,12.831159,3.378942,8.225204,8.210260,-15.779463,0.557879
0.020000,3.343783,12.921623,3.546605,8.383135,7.896533,-15.686367,0.581810
0.020000,3.485278,13.017106,3.717303,8.534923,7.589385,-15.357403,0.605282
0.020000,3.626901,13.117533,3.890919,8.680783,7.293033,-14.817604,0.628187
