dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000090,13.000000,0.000223,0.022250,1.112501,55.625073,6.283172
0.020000,0.000980,13.000000,0.001113,0.066750,2.225003,55.625073,6.283035
0.020000,0.002982,12.999999,0.003115,0.133500,3.337504,55.625073,6.282727
0.020000,0.006542,12.999997,0.006675,0.222500,4.450006,55.625073,6.282181
0.020000,0.012105,12.999989,0.012238,0.333750,5.562507,55.625073,6.281326
0.020000,0.020115,12.999969,0.020248,0.467251,6.675009,55.625073,6.280096
0.020000,0.031017,12.999926,0.031150,0.623001,7.787510,55.625073,6.278421
0.020000,0.045257,12.999843,0.045390,0.801001,8.900012,55.625073,6.276232
0.020000,0.063056,12.999695,0.063190,0.979001,8.900012,-0.000000,6.273495
0.020000,0.084415,12.999453,0.084550,1.157002,8.900012,0.000000,6.270209
0.020000,0.109332,12.999081,0.109470,1.335002,8.900012,-0.000000,6.266374
0.020000,0.137807,12.998540,0.137950,1.513002,8.900012,0.000000,6.261989
0.020000,0.169838,12.997782,0.169990,1.691002,8.900012,0.000000,6.257054
0.020000,0.205423,12.996754,0.205590,1.869002,8.900012,-0.000000,6.251568
0.020000,0.244560,12.995398,0.244750,2.047003,8.900012,-0.000000,6.245533
0.020000,0.287244,12.993650,0.287470,2.225003,8.900012,0.000000,6.238948
0.020000,0.333471,12.991438,0.333750,2.403003,8.900012,0.000000,6.231815
0.020000,0.383235,12.988688,0.383591,2.581003,8.900012,0.000000,6.224136
0.020000,0.436529,12.985317,0.436991,2.759004,8.900012,-0.000000,6.215915
0.020000,0.493342,12.981239,0.493951,2.937004,8.900012,0.000000,6.207155
0.020000,0.553665,12.976362,0.554471,3.115004,8.900012,-0.000000,6.197862
0.020000,0.617485,12.970588,0.618551,3.293004,8.900012,0.000000,6.188044
0.020000,0.684784,12.963814,0.686191,3.471005,8.900012,0.000000,6.177708
0.020000,0.755547,12.955934,0.757391,3.649005,8.900012,-0.000000,6.166865
0.020000,0.829751,12.946836,0.832151,3.827005,8.900012,0.000000,6.155528
0.020000,0.907373,12.936406,0.910471,4.005005,8.900012,-0.000000,6.143711
0.020000,0.988386,12.924525,0.992351,4.183006,8.900012,-0.000000,6.131433
0.020000,1.072759,12.911071,1.077791,4.361006,8.900012,0.000000,6.118712
0.020000,1.160460,12.895922,1.166792,4.539006,8.900012,0.000000,6.105572
0.020000,1.251450,12.878951,1.259352,4.717006,8.900012,0.000000,6.092039
0.020000,1.345690,12.860033,1.355472,4.895006,8.900012,0.000000,6.078140
0.020000,1.443134,12.839042,1.455152,5.073007,8.900012,-0.000000,6.063909
0.020000,1.543735,12.815852,1.558392,5.251007,8.900012,0.000000,6.049379
0.020000,1.647442,12.790339,1.665192,5.429007,8.900012,-0.000000,6.034588
0.020000,1.754201,12.762381,1.775552,5.607007,8.900012,0.000000,6.019577
0.020000,1.863955,12.731860,1.889472,5.785008,8.900012,0.000000,6.004390
0.020000,1.976646,12.698663,2.006953,5.963008,8.900012,-0.000000,5.989072
0.020000,2.092213,12.662680,2.127993,6.141008,8.900012,0.000000,5.973672
0.020000,2.210593,12.623809,2.252593,6.319008,8.900012,-0.000000,5.958241
0.020000,2.331725,12.581954,2.380753,6.497009,8.900012,0.000000,5.942830
0.020000,2.455545,12.537027,2.512473,6.675009,8.900012,-0.000000,5.927494
0.020000,2.581992,12.488949,2.647753,6.853009,8.900012,0.000000,5.912287
0.020000,2.711006,12.437650,2.786594,7.031009,8.900012,0.000000,5.897263
0.020000,2.842529,12.383068,2.928994,7.209009,8.900012,-0.000000,5.882480
0.020000,2.976507,12.325155,3.074954,7.387010,8.900012,0.000000,5.867992
0.020000,3.112889,12.263870,3.224474,7.565010,8.900012,-0.000000,5.853854
0.020000,3.251630,12.199186,3.377554,7.743010,8.900012,0.000000,5.840121
0.020000,3.392691,12.131086,3.534195,7.921010,8.900012,-0.000000,5.826848
0.020000,3.536039,12.059566,3.694395,8.099011,8.900012,0.000000,5.814086
0.020000,3.681649,11.984633,3.858155,8.277011,8.900012,-0.000000,5.801887
0.020000,3.829503,11.906308,4.025475,8.455011,8.900012,0.000000,5.790304
0.020000,3.979593,11.824621,4.196356,8.633011,8.900012,0.000000,5.779384
