dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000105,14.093708,0.000223,0.022250,1.112501,55.625073,6.283172
0.020000,0.001144,14.093708,0.001262,0.051973,1.486146,18.682225,6.283035
0.020000,0.003483,14.093707,0.003601,0.116940,3.248345,88.109943,6.282727
0.020000,0.007641,14.093704,0.007759,0.207895,4.547781,64.971820,6.282181
0.020000,0.014138,14.093695,0.014256,0.324843,5.847365,64.979188,6.281326
0.020000,0.023494,14.093672,0.023611,0.467786,7.147180,64.990744,6.280096
0.020000,0.036228,14.093622,0.036346,0.636733,8.447316,65.006823,6.278421
0.020000,0.052862,14.093524,0.052980,0.831690,9.747856,65.027005,6.276232
0.020000,0.073654,14.093351,0.073773,1.039671,10.399039,32.559117,6.273495
0.020000,0.098607,14.093068,0.098727,1.247683,10.400642,0.080160,6.270209
0.020000,0.127718,14.092635,0.127841,1.455728,10.402223,0.079033,6.266374
0.020000,0.160988,14.092003,0.161117,1.663800,10.403589,0.068307,6.261989
0.020000,0.198415,14.091117,0.198555,1.871890,10.404515,0.046293,6.257054
0.020000,0.239998,14.089916,0.240155,2.079985,10.404740,0.011272,6.251568
0.020000,0.285731,14.088331,0.285916,2.288064,10.403967,-0.038666,6.245533
0.020000,0.335612,14.086288,0.335838,2.496101,10.401862,-0.105252,6.238948
0.020000,0.389631,14.083703,0.389919,2.704062,10.398054,-0.190383,6.231815
0.020000,0.447780,14.080490,0.448157,2.911905,10.392139,-0.295773,6.224136
0.020000,0.510048,14.076551,0.510549,3.119579,10.383673,-0.423277,6.215915
0.020000,0.576417,14.071788,0.577090,3.327022,10.372187,-0.574286,6.207155
0.020000,0.646871,14.066091,0.647773,3.534166,10.357178,-0.750452,6.197862
0.020000,0.721385,14.059349,0.722591,3.740928,10.338124,-0.952734,6.188044
0.020000,0.799932,14.051444,0.801536,3.947218,10.314480,-1.182184,6.177708
0.020000,0.882481,14.042251,0.884594,4.152932,10.285699,-1.439059,6.166865
0.020000,0.968992,14.031645,0.971754,4.357957,10.251230,-1.723420,6.155528
0.020000,1.059423,14.019493,1.062997,4.562167,10.210540,-2.034511,6.143711
0.020000,1.153723,14.005664,1.158305,4.765430,10.163117,-2.371161,6.131433
0.020000,1.251835,13.990020,1.257657,4.967600,10.108494,-2.731140,6.118712
0.020000,1.353697,13.972424,1.361028,5.168525,10.046260,-3.111679,6.105572
0.020000,1.459238,13.952740,1.468389,5.368046,9.976079,-3.509055,6.092039
0.020000,1.568381,13.930830,1.579709,5.566000,9.897705,-3.918741,6.078140
0.020000,1.681041,13.906561,1.694953,5.762220,9.810997,-4.335388,6.063909
0.020000,1.797127,13.879802,1.814084,5.956539,9.715936,-4.753055,6.049379
0.020000,1.916543,13.850424,1.937060,6.148792,9.612634,-5.165098,6.034588
0.020000,2.039183,13.818308,2.063836,6.338819,9.501342,-5.564594,6.019577
0.020000,2.164941,13.783337,2.194366,6.526468,9.382452,-5.944494,6.004390
0.020000,2.293702,13.745406,2.328598,6.711598,9.256497,-6.297745,5.989072
0.020000,2.425350,13.704417,2.466479,6.894080,9.124140,-6.617852,5.973672
0.020000,2.559766,13.660281,2.607955,7.073804,8.986161,-6.898962,5.958241
0.020000,2.696828,13.612923,2.752969,7.250672,8.843437,-7.136198,5.942830
0.020000,2.836416,13.562276,2.901461,7.424611,8.696917,-7.326007,5.927494
0.020000,2.978410,13.508287,3.053372,7.595563,8.547592,-7.466259,5.912287
0.020000,3.122692,13.450917,3.208642,7.763492,8.396462,-7.556453,5.897263
0.020000,3.269150,13.390139,3.367210,7.928382,8.244507,-7.597791,5.882480
0.020000,3.417673,13.325939,3.529014,8.090235,8.092644,-7.593149,5.867992
0.020000,3.568159,13.258317,3.693996,8.249069,7.941703,-7.547013,5.853854
0.020000,3.720514,13.187288,3.862094,8.404917,7.792397,-7.465314,5.840121
0.020000,3.874649,13.112877,4.033251,8.557823,7.645293,-7.355228,5.826848
0.020000,4.030487,13.035127,4.207407,8.707839,7.500794,-7.224909,5.814086
0.020000,4.187959,12.954091,4.384508,8.855021,7.359130,-7.083224,5.801887
0.020000,4.347009,12.869835,4.564496,8.999428,7.220340,-6.939478,5.790304
0.020000,4.507590,12.782440,4.747319,9.141114,7.084277,-6.803142,5.779384
0.020000,4.669666,12.691999,4.932921,9.280126,6.950605,-6.683610,5.769177
0.020000,4.833214,12.598616,5.121251,9.416502,6.818805,-6.590015,5.759732
0.020000,4.998221,12.502411,5.312256,9.550265,6.688184,-6.531038,5.751096
0.020000,5.164689,12.403514,5.505885,9.681423,6.557888,-6.514801,5.743316
0.020000,5.332431,12.302191,5.701853,9.798427,5.850198,-35.384501,5.736448
0.020000,5.501084,12.198841,5.899654,9.890050,4.581138,-63.452986,5.730550
0.020000,5.670313,12.093880,6.098790,9.956785,3.336765,-62.218668,5.725669
0.020000,5.839800,11.987734,6.298772,9.999108,2.116159,-61.030317,5.721845
0.020000,6.009248,11.880836,6.499122,10.017476,0.918400,-59.887927,5.719110
0.020000,6.178376,11.773624,6.699368,10.012330,-0.257331,-58.786582,5.717486
0.020000,6.346891,11.666550,6.899023,9.982738,-1.479598,-61.113354,5.716988
0.020000,6.514322,11.560181,7.097385,9.918102,-3.231770,-87.608568,5.717623
0.020000,6.680231,11.455057,7.293795,9.820493,-4.880466,-82.434829,5.719382
0.020000,6.844369,11.351586,7.487825,9.701520,-5.948638,-53.408571,5.722251
0.020000,7.006488,11.250160,7.679058,9.561613,-6.995349,-52.335560,5.726204
0.020000,7.166332,11.151150,7.867082,9.401215,-8.019929,-51.229000,5.731209
0.020000,7.323642,11.054906,8.051498,9.220784,-9.021538,-50.080435,5.737226
0.020000,7.478148,10.961751,8.231914,9.020799,-9.999249,-48.885542,5.744206
0.020000,7.629596,10.871969,8.407975,8.803047,-10.887583,-44.416711,5.752091
0.020000,7.777904,10.785707,8.579545,8.578513,-11.226732,-16.957472,5.760827
0.020000,7.923137,10.703000,8.746677,8.356584,-11.096449,6.514180,5.770366
0.020000,8.065350,10.623870,8.909422,8.137269,-10.965720,6.536427,5.780660
0.020000,8.204588,10.548326,9.067834,7.920595,-10.833712,6.600430,5.791662
0.020000,8.340890,10.476363,9.221966,7.706600,-10.699752,6.697980,5.803322
0.020000,8.474282,10.407964,9.371873,7.495333,-10.563345,6.820335,5.815590
0.020000,8.604789,10.343100,9.517610,7.286850,-10.424179,6.958327,5.828416
0.020000,8.732426,10.281731,9.659234,7.081207,-10.282128,7.102538,5.841747
0.020000,8.857206,10.223806,9.796803,6.878462,-10.137258,7.243493,5.855530
0.020000,8.979136,10.169263,9.930376,6.678665,-9.989819,7.371947,5.869712
0.020000,9.098220,10.118032,10.060013,6.481861,-9.840237,7.479084,5.884238
0.020000,9.214462,10.070033,10.185775,6.288079,-9.689100,7.556859,5.899052
0.020000,9.327860,10.025178,10.307722,6.097336,-9.537135,7.598242,5.914100
0.020000,9.438412,9.983374,10.425914,5.909632,-9.385186,7.597460,5.929324
0.020000,9.546116,9.944517,10.540413,5.724949,-9.234182,7.550224,5.944672
0.020000,9.650969,9.908503,10.651278,5.543247,-9.085105,7.453859,5.960086
0.020000,9.752965,9.875219,10.758568,5.364467,-8.938957,7.307375,5.975515
0.020000,9.852100,9.844552,10.862338,5.188533,-8.796727,7.111492,5.990907
0.020000,9.948370,9.816382,10.962645,5.015346,-8.659357,6.868503,6.006210
0.020000,10.041771,9.790591,11.059541,4.844791,-8.527714,6.582176,6.021377
0.020000,10.132296,9.767057,11.153076,4.676740,-8.402564,6.257496,6.036363
0.020000,10.219943,9.745658,11.243297,4.511049,-8.284555,5.900421,6.051123
0.020000,10.304706,9.726272,11.330248,4.347565,-8.174204,5.517574,6.065618
