dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000071,11.906292,0.000223,0.022301,1.115036,55.751778,6.283169
0.020000,0.000783,11.906292,0.000935,0.035610,0.665470,-22.478253,6.283004
0.020000,0.002386,11.906291,0.002538,0.080119,2.225427,77.997838,6.282634
0.020000,0.005234,11.906289,0.005386,0.142419,3.115025,44.479877,6.281976
0.020000,0.009684,11.906281,0.009836,0.222494,4.003749,44.436220,6.280947
0.020000,0.016090,11.906262,0.016242,0.320315,4.891051,44.365100,6.279465
0.020000,0.024807,11.906221,0.024959,0.435841,5.776270,44.260965,6.277443
0.020000,0.036187,11.906140,0.036339,0.569013,6.658640,44.118484,6.274799
0.020000,0.050404,11.905998,0.050557,0.710877,7.093163,21.726126,6.271486
0.020000,0.067452,11.905764,0.067607,0.852488,7.080587,-0.628795,6.267501
0.020000,0.087325,11.905406,0.087483,0.993807,7.065938,-0.732428,6.262837
0.020000,0.110015,11.904884,0.110179,1.134797,7.049475,-0.823153,6.257489
0.020000,0.135513,11.904152,0.135687,1.275427,7.031518,-0.897859,6.251451
0.020000,0.163809,11.903158,0.164001,1.415676,7.012447,-0.953543,6.244715
0.020000,0.194892,11.901846,0.195111,1.555530,6.992723,-0.986228,6.237273
0.020000,0.228749,11.900152,0.229011,1.694988,6.972876,-0.992333,6.229120
0.020000,0.265368,11.898008,0.265692,1.834059,6.953536,-0.967014,6.220247
0.020000,0.304733,11.895337,0.305148,1.972767,6.935421,-0.905732,6.210648
0.020000,0.346828,11.892060,0.347371,2.111154,6.919355,-0.803307,6.200318
0.020000,0.391638,11.888088,0.392356,2.249280,6.906269,-0.654288,6.189251
0.020000,0.439145,11.883330,0.440101,2.387224,6.897205,-0.453218,6.177444
0.020000,0.489330,11.877685,0.490602,2.525090,6.893316,-0.194456,6.164896
0.020000,0.542175,11.871049,0.543863,2.663007,6.895859,0.127149,6.151608
0.020000,0.597661,11.863309,0.599885,2.801131,6.906187,0.516436,6.137583
0.020000,0.655767,11.854350,0.658678,2.939645,6.925732,0.977233,6.122829
0.020000,0.716475,11.844049,0.720253,3.078765,6.955974,1.512126,6.107356
0.020000,0.779764,11.832276,0.784628,3.218733,6.998415,2.122043,6.091180
0.020000,0.845615,11.818897,0.851825,3.359824,7.054527,2.805583,6.074323
0.020000,0.914009,11.803773,0.921871,3.502338,7.125703,3.558805,6.056809
0.020000,0.984929,11.786759,0.994803,3.646602,7.213195,4.374584,6.038670
0.020000,1.058356,11.767705,1.070663,3.792963,7.318043,5.242409,6.019946
0.020000,1.134275,11.746458,1.149498,3.941783,7.441009,6.148278,6.000681
0.020000,1.212668,11.722859,1.231367,4.093433,7.582500,7.074594,5.980927
0.020000,1.293522,11.696747,1.316333,4.248283,7.742514,8.000699,5.960742
0.020000,1.376822,11.667958,1.404467,4.406695,7.920581,8.903333,5.940192
0.020000,1.462553,11.636328,1.495847,4.569009,8.115736,9.757740,5.919347
0.020000,1.550702,11.601689,1.590557,4.735540,8.326513,10.538839,5.898286
0.020000,1.641256,11.563878,1.688689,4.906559,8.550964,11.222567,5.877089
0.020000,1.734201,11.522729,1.790335,5.082293,8.786717,11.787631,5.855844
0.020000,1.829522,11.478085,1.895593,5.262914,9.031051,12.216734,5.834639
0.020000,1.927207,11.429790,2.004564,5.448535,9.281014,12.498119,5.813566
0.020000,2.027239,11.377696,2.117348,5.639205,9.533540,12.626323,5.792718
0.020000,2.129605,11.321664,2.234046,5.834917,9.785597,12.602844,5.772186
0.020000,2.234292,11.261563,2.354758,6.035604,10.034318,12.436065,5.752061
0.020000,2.341287,11.197276,2.479581,6.241146,10.277135,12.140830,5.732433
0.020000,2.450581,11.128697,2.608609,6.451384,10.511884,11.737472,5.713387
0.020000,2.562166,11.055734,2.741931,6.666122,10.736896,11.250608,5.695005
0.020000,2.676041,10.978309,2.879634,6.885143,10.951050,10.707661,5.677365
0.020000,2.792210,10.896362,3.021798,7.108219,11.153798,10.137439,5.660542
0.020000,2.910687,10.809847,3.168501,7.335122,11.345172,9.568701,5.644607
0.020000,3.031493,10.718734,3.319814,7.565637,11.525753,9.029051,5.629623
0.020000,3.154661,10.623011,3.475805,7.799570,11.696634,8.544050,5.615656
0.020000,3.280238,10.522681,3.636540,8.036758,11.859367,8.136634,5.602762
0.020000,3.408287,10.417764,3.802082,8.277076,12.015904,7.826850,5.591001
0.020000,3.538886,10.308297,3.972491,8.520446,12.168541,7.631863,5.580428
0.020000,3.671974,10.194471,4.147616,8.756259,11.790642,-18.894994,5.571108
0.020000,3.807349,10.076644,4.327085,8.973484,10.861236,-46.470276,5.563110
0.020000,3.944826,9.955210,4.510514,9.171451,9.898359,-48.143831,5.556489
0.020000,4.084239,9.830592,4.697505,9.349554,8.905143,-49.660818,5.551289
0.020000,4.225435,9.703239,4.887650,9.507244,7.884495,-51.032402,5.547546
0.020000,4.368274,9.573625,5.080531,9.644022,6.838902,-52.279644,5.545284
0.020000,4.512623,9.442241,5.275719,9.759428,5.770277,-53.431249,5.544521
0.020000,4.658192,9.309745,5.472558,9.841925,4.124898,-82.268959,5.545263
0.020000,4.804681,9.176811,5.670372,9.890718,2.439648,-84.262496,5.547505
0.020000,4.951946,9.043972,5.868698,9.916285,1.278309,-58.066937,5.551228
0.020000,5.099829,8.911766,6.067061,9.918164,0.093975,-59.216740,5.556408
0.020000,5.248155,8.780728,6.264978,9.895859,-1.115254,-60.461437,5.563010
0.020000,5.396722,8.651393,6.461955,9.848822,-2.351851,-61.829825,5.570990
0.020000,5.545302,8.524289,6.657484,9.776448,-3.618712,-63.343080,5.580292
0.020000,5.693629,8.399930,6.851045,9.678068,-4.918964,-65.012574,5.590848
0.020000,5.841581,8.278669,7.042341,9.564801,-5.663397,-37.221639,5.602593
0.020000,5.989196,8.160694,7.231308,9.448329,-5.823596,-8.009978,5.615471
0.020000,6.136492,8.046178,7.417882,9.328728,-5.980056,-7.822993,5.629424
0.020000,6.283468,7.935284,7.602000,9.205874,-6.142664,-8.130420,5.644393
0.020000,6.430101,7.828165,7.783592,9.079607,-6.313379,-8.535738,5.660316
0.020000,6.576345,7.724957,7.962587,8.949731,-6.493759,-9.018975,5.677127
0.020000,6.722133,7.625788,8.138907,8.816033,-6.684903,-9.557219,5.694755
0.020000,6.867378,7.530767,8.312473,8.678285,-6.887403,-10.124979,5.713127
0.020000,7.011970,7.439991,8.483198,8.536259,-7.101297,-10.694707,5.732164
0.020000,7.155778,7.353536,8.650993,8.389738,-7.326050,-11.237637,5.751784
0.020000,7.298653,7.271463,8.815763,8.238527,-7.560550,-11.725011,5.771902
0.020000,7.440430,7.193811,8.977413,8.082465,-7.803138,-12.129390,5.792428
