dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000088,23.500000,0.000225,0.022473,1.123644,56.182203,6.283171
0.020000,0.000987,23.500000,0.001124,0.067419,2.247288,56.182203,6.283027
0.020000,0.003009,23.499999,0.003146,0.134837,3.370932,56.182203,6.282702
0.020000,0.006605,23.499996,0.006742,0.224729,4.494576,56.182203,6.282125
0.020000,0.012223,23.499988,0.012360,0.337093,5.618220,56.182203,6.281223
0.020000,0.020314,23.499967,0.020450,0.471931,6.741864,56.182203,6.279924
0.020000,0.031325,23.499921,0.031462,0.629241,7.865508,56.182203,6.278154
0.020000,0.045708,23.499832,0.045845,0.809024,8.989152,56.182203,6.275841
0.020000,0.063685,23.499674,0.063823,0.988807,8.989152,-0.000000,6.272947
0.020000,0.085258,23.499416,0.085397,1.168590,8.989152,0.000000,6.269470
0.020000,0.110424,23.499020,0.110567,1.348373,8.989152,-0.000000,6.265409
0.020000,0.139183,23.498441,0.139332,1.528156,8.989152,0.000000,6.260762
0.020000,0.171534,23.497631,0.171693,1.707939,8.989152,0.000000,6.255525
0.020000,0.207474,23.496532,0.207649,1.887722,8.989152,-0.000000,6.249699
0.020000,0.247000,23.495081,0.247202,2.067505,8.989152,-0.000000,6.243280
0.020000,0.290107,23.493208,0.290350,2.247288,8.989152,0.000000,6.236267
0.020000,0.336790,23.490839,0.337093,2.427071,8.989152,-0.000000,6.228660
0.020000,0.387043,23.487889,0.387432,2.606854,8.989152,0.000000,6.220459
0.020000,0.440856,23.484272,0.441367,2.786637,8.989152,0.000000,6.211663
0.020000,0.498219,23.479891,0.498898,2.966420,8.989152,-0.000000,6.202275
0.020000,0.559120,23.474647,0.560024,3.146203,8.989152,0.000000,6.192298
0.020000,0.623543,23.468432,0.624746,3.325986,8.989152,0.000000,6.181737
0.020000,0.691469,23.461135,0.693064,3.505769,8.989152,-0.000000,6.170597
0.020000,0.762878,23.452637,0.764977,3.685553,8.989152,0.000000,6.158888
0.020000,0.837745,23.442816,0.840486,3.865336,8.989152,0.000000,6.146620
0.020000,0.916042,23.431545,0.919590,4.045119,8.989152,-0.000000,6.133807
0.020000,0.997736,23.418692,1.002291,4.224902,8.989152,-0.000000,6.120465
0.020000,1.082793,23.404122,1.088586,4.404685,8.989152,0.000000,6.106614
0.020000,1.171170,23.387697,1.178478,4.584468,8.989152,0.000000,6.092276
0.020000,1.262824,23.369278,1.271965,4.764251,8.989152,-0.000000,6.077479
0.020000,1.357705,23.348724,1.369048,4.944034,8.989152,0.000000,6.062252
0.020000,1.455760,23.325894,1.469726,5.123817,8.989152,0.000000,6.046629
0.020000,1.556930,23.300646,1.574001,5.303600,8.989152,0.000000,6.030648
0.020000,1.661154,23.272841,1.681870,5.483383,8.989152,-0.000000,6.014351
0.020000,1.768365,23.242344,1.793336,5.663166,8.989152,0.000000,5.997783
0.020000,1.878493,23.209021,1.908397,5.842949,8.989152,0.000000,5.980994
0.020000,1.991467,23.172744,2.027054,6.022732,8.989152,-0.000000,5.964036
0.020000,2.107212,23.133394,2.149306,6.202515,8.989152,0.000000,5.946964
0.020000,2.225651,23.090854,2.275154,6.382298,8.989152,-0.000000,5.929835
0.020000,2.346706,23.045018,2.404598,6.562081,8.989152,0.000000,5.912712
0.020000,2.470300,22.995789,2.537638,6.741864,8.989152,-0.000000,5.895655
0.020000,2.596357,22.943079,2.674273,6.921647,8.989152,0.000000,5.878727
0.020000,2.724803,22.886813,2.814504,7.101430,8.989152,0.000000,5.861994
0.020000,2.855566,22.826923,2.958330,7.281214,8.989152,-0.000000,5.845517
0.020000,2.988578,22.763357,3.105752,7.460997,8.989152,0.000000,5.829362
0.020000,3.123777,22.696074,3.256770,7.640780,8.989152,-0.000000,5.813592
0.020000,3.261107,22.625045,3.411383,7.820563,8.989152,0.000000,5.798268
0.020000,3.400520,22.550253,3.569592,8.000346,8.989152,0.000000,5.783451
0.020000,3.541975,22.471698,3.731397,8.180129,8.989152,0.000000,5.769200
0.020000,3.685439,22.389388,3.896798,8.359912,8.989152,0.000000,5.755572
0.020000,3.830891,22.303348,4.065794,8.539695,8.989152,-0.000000,5.742623
0.020000,3.978321,22.213615,4.238385,8.719478,8.989152,0.000000,5.730406
0.020000,4.127728,22.120239,4.414573,8.899261,8.989152,-0.000000,5.718974
0.020000,4.279126,22.023284,4.594356,9.079044,8.989152,0.000000,5.708379
0.020000,4.432540,21.922826,4.777735,9.258827,8.989152,0.000000,5.698669
0.020000,4.588008,21.818957,4.964709,9.438610,8.989152,0.000000,5.689895
0.020000,4.745399,21.711909,5.155054,9.595920,7.865508,-56.182203,5.682116
0.020000,4.904412,21.602061,5.348321,9.730758,6.741864,-56.182203,5.675390
0.020000,5.064770,21.489816,5.544060,9.843122,5.618220,-56.182203,5.669770
0.020000,5.226210,21.375594,5.741821,9.933014,4.494576,-56.182203,5.665295
0.020000,5.388486,21.259832,5.941156,10.000432,3.370932,-56.182203,5.661999
0.020000,5.551362,21.142978,6.141614,10.045378,2.247288,-56.182203,5.659904
0.020000,5.714611,21.025488,6.342746,10.067851,1.123644,-56.182203,5.659026
0.020000,5.877908,20.907898,6.543975,10.055098,-0.637663,-88.065355,5.659373
0.020000,6.040928,20.790745,6.744725,10.019871,-1.761307,-56.182203,5.660941
0.020000,6.203446,20.674487,6.944546,9.962172,-2.884951,-56.182203,5.663718
0.020000,6.365232,20.559576,7.142987,9.882000,-4.008595,-56.182203,5.667684
0.020000,6.526042,20.446453,7.339601,9.779356,-5.132239,-56.182203,5.672809
0.020000,6.685624,20.335547,7.533937,9.654238,-6.255883,-56.182203,5.679058
0.020000,6.843704,20.227268,7.725546,9.506647,-7.379527,-56.182203,5.686383
0.020000,6.999994,20.122006,7.913978,9.336584,-8.503171,-56.182203,5.694729
0.020000,7.154287,20.020056,8.098912,9.156801,-8.989152,-24.299051,5.704037
0.020000,7.306550,19.921571,8.280250,8.977018,-8.989152,0.000000,5.714252
0.020000,7.456812,19.826633,8.457993,8.797235,-8.989152,0.000000,5.725325
0.020000,7.605093,19.735311,8.632139,8.617452,-8.989152,0.000000,5.737205
0.020000,7.751398,19.647662,8.802691,8.437669,-8.989152,0.000000,5.749840
0.020000,7.895720,19.563729,8.969646,8.257886,-8.989152,0.000000,5.763178
0.020000,8.038043,19.483541,9.133006,8.078103,-8.989152,-0.000000,5.777163
0.020000,8.178339,19.407113,9.292770,7.898320,-8.989152,0.000000,5.791739
0.020000,8.316572,19.334450,9.448939,7.718537,-8.989152,0.000000,5.806848
0.020000,8.452695,19.265542,9.601512,7.538754,-8.989152,-0.000000,5.822430
0.020000,8.586657,19.200364,9.750489,7.358970,-8.989152,0.000000,5.838423
0.020000,8.718396,19.138882,9.895871,7.179187,-8.989152,-0.000000,5.854766
0.020000,8.847848,19.081047,10.037657,6.999404,-8.989152,0.000000,5.871393
0.020000,8.974944,19.026799,10.175847,6.819621,-8.989152,-0.000000,5.888242
0.020000,9.099609,18.976065,10.310441,6.639838,-8.989152,0.000000,5.905249
0.020000,9.221768,18.928764,10.441440,6.460055,-8.989152,-0.000000,5.922349
0.020000,9.341345,18.884802,10.568844,6.280272,-8.989152,0.000000,5.939480
0.020000,9.458261,18.844076,10.692651,6.100489,-8.989152,0.000000,5.956582
0.020000,9.572439,18.806475,10.812863,5.920706,-8.989152,-0.000000,5.973595
0.020000,9.683805,18.771881,10.929479,5.740923,-8.989152,0.000000,5.990462
0.020000,9.792284,18.740168,11.042500,5.561140,-8.989152,-0.000000,6.007130
0.020000,9.897805,18.711207,11.151925,5.381357,-8.989152,0.000000,6.023548
0.020000,10.000301,18.684861,11.257754,5.201574,-8.989152,-0.000000,6.039670
0.020000,10.099709,18.660993,11.359988,5.021791,-8.989152,0.000000,6.055451
0.020000,10.195967,18.639463,11.458626,4.842008,-8.989152,-0.000000,6.070853
0.020000,10.289022,18.620130,11.553668,4.662225,-8.989152,0.000000,6.085840
0.020000,10.378820,18.602851,11.645115,4.482442,-8.989152,0.000000,6.100379
0.020000,10.465317,18.587488,11.732966,4.302659,-8.989152,-0.000000,6.114443
0.020000,10.548469,18.573902,11.817221,4.122876,-8.989152,0.000000,6.128007
0.020000,10.628238,18.561955,11.897881,3.943093,-8.989152,0.000000,6.141051
0.020000,10.704591,18.551515,11.974945,3.763309,-8.989152,0.000000,6.153556
0.020000,10.777498,18.542454,12.048413,3.583526,-8.989152,-0.000000,6.165508
0.020000,10.846933,18.534645,12.118286,3.403743,-8.989152,0.000000,6.176895
0.020000,10.912873,18.527970,12.184563,3.223960,-8.989152,0.000000,6.187708
0.020000,10.975298,18.522314,12.247244,3.044177,-8.989152,0.000000,6.197938
0.020000,11.034193,18.517567,12.306330,2.864394,-8.989152,-0.000000,6.207581
0.020000,11.089542,18.513626,12.361820,2.684611,-8.989152,0.000000,6.216633
0.020000,11.141336,18.510394,12.413715,2.504828,-8.989152,-0.000000,6.225092
0.020000,11.189564,18.507780,12.462013,2.325045,-8.989152,0.000000,6.232956
0.020000,11.234218,18.505698,12.506716,2.145262,-8.989152,-0.000000,6.240226
0.020000,11.275293,18.504069,12.547824,1.965479,-8.989152,0.000000,6.246901
0.020000,11.312784,18.502823,12.585336,1.785696,-8.989152,0.000000,6.252984
0.020000,11.346687,18.501892,12.619252,1.605913,-8.989152,0.000000,6.258476
0.020000,11.377000,18.501217,12.649572,1.426130,-8.989152,-0.000000,6.263378
0.020000,11.403721,18.500745,12.676297,1.246347,-8.989152,0.000000,6.267693
0.020000,11.426848,18.500430,12.699426,1.066564,-8.989152,0.000000,6.271422
0.020000,11.446380,18.500231,12.718959,0.886781,-8.989152,0.000000,6.274568
