dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000099,24.593708,0.000222,0.022194,1.109689,55.484443,6.283170
0.020000,0.001167,24.593708,0.001290,0.053397,1.560154,22.523259,6.283005
0.020000,0.003570,24.593707,0.003693,0.120148,3.337561,88.870327,6.282634
0.020000,0.007843,24.593703,0.007965,0.213614,4.673294,66.786689,6.281975
0.020000,0.014519,24.593692,0.014641,0.333816,6.010120,66.841272,6.280944
0.020000,0.024135,24.593663,0.024257,0.480791,7.348716,66.929804,6.279457
0.020000,0.037226,24.593601,0.037349,0.654589,8.689927,67.060545,6.277430
0.020000,0.054332,24.593480,0.054455,0.855284,10.034729,67.240129,6.274777
0.020000,0.075722,24.593264,0.075847,1.069595,10.715559,34.041500,6.271452
0.020000,0.101404,24.592912,0.101531,1.284226,10.731547,0.799367,6.267448
0.020000,0.131384,24.592370,0.131516,1.499233,10.750358,0.940583,6.262760
0.020000,0.165668,24.591577,0.165809,1.714669,10.771772,1.070672,6.257379
0.020000,0.204264,24.590463,0.204421,1.930579,10.795510,1.186928,6.251296
0.020000,0.247177,24.588949,0.247361,2.147003,10.821225,1.285750,6.244503
0.020000,0.294414,24.586943,0.294640,2.363973,10.848506,1.364029,6.236988
0.020000,0.345979,24.584346,0.346270,2.581510,10.876851,1.417236,6.228743
0.020000,0.401874,24.581048,0.402263,2.799624,10.905665,1.440701,6.219755
0.020000,0.462100,24.576929,0.462629,3.018309,10.934251,1.429307,6.210016
0.020000,0.526652,24.571856,0.527380,3.237544,10.961790,1.376945,6.199514
0.020000,0.595522,24.565690,0.596526,3.457291,10.987337,1.277364,6.188240
0.020000,0.668697,24.558276,0.670076,3.677487,11.009809,1.123585,6.176186
0.020000,0.746157,24.549453,0.748037,3.898047,11.027980,0.908545,6.163346
0.020000,0.827875,24.539048,0.830414,4.118856,11.040474,0.624701,6.149715
0.020000,0.913813,24.526878,0.917209,4.339772,11.045780,0.265313,6.135291
0.020000,1.003924,24.512752,1.008421,4.560617,11.042246,-0.176671,6.120074
0.020000,1.098152,24.496470,1.104045,4.781179,11.028117,-0.706494,6.104071
0.020000,1.196423,24.477825,1.204069,5.001210,11.001548,-1.328445,6.087292
0.020000,1.298652,24.456605,1.308478,5.220424,10.960666,-2.044073,6.069750
0.020000,1.404739,24.432595,1.417248,5.438496,10.903614,-2.852585,6.051467
0.020000,1.514566,24.405576,1.530349,5.655068,10.828632,-3.749147,6.032470
0.020000,1.627998,24.375333,1.647744,5.869751,10.734132,-4.724970,6.012794
0.020000,1.744885,24.341651,1.769387,6.082127,10.618803,-5.766451,5.992481
0.020000,1.865056,24.304324,1.895222,6.291761,10.481701,-6.855107,5.971581
0.020000,1.988327,24.263154,2.025186,6.498208,10.322351,-7.967493,5.950152
0.020000,2.114496,24.217955,2.159206,6.701025,10.140832,-9.075934,5.928262
0.020000,2.243347,24.168558,2.297202,6.899782,9.937851,-10.149078,5.905983
0.020000,2.374654,24.114810,2.439084,7.094077,9.714773,-11.153870,5.883398
0.020000,2.508181,24.056581,2.584755,7.283550,9.473637,-12.056835,5.860595
0.020000,2.643686,23.993762,2.734112,7.467892,9.217104,-12.826636,5.837667
0.020000,2.780926,23.926272,2.887050,7.646860,8.948382,-13.436107,5.814714
0.020000,2.919660,23.854052,3.043455,7.820282,8.671095,-13.864326,5.791836
0.020000,3.059652,23.777072,3.203217,7.988064,8.389126,-14.098490,5.769136
0.020000,3.200677,23.695327,3.366220,8.150193,8.106427,-14.134940,5.746719
0.020000,3.342523,23.608838,3.532355,8.306729,7.826833,-13.979683,5.724686
0.020000,3.484995,23.517648,3.701511,8.457807,7.553873,-13.647986,5.703137
0.020000,3.627918,23.421826,3.873584,8.603619,7.290607,-13.163340,5.682169
0.020000,3.771139,23.321459,4.048472,8.744409,7.039491,-12.555794,5.661872
0.020000,3.914529,23.216653,4.226081,8.880455,6.802292,-11.859931,5.642335
0.020000,4.057984,23.107532,4.406322,9.012055,6.580039,-11.112667,5.623639
0.020000,4.201425,22.994231,4.589112,9.139516,6.373013,-10.351271,5.605859
0.020000,4.344799,22.876902,4.774375,9.263131,6.180784,-9.611462,5.589065
0.020000,4.488078,22.755705,4.962038,9.383177,6.002261,-8.926154,5.573323
0.020000,4.631259,22.630811,5.152036,9.499892,5.835772,-8.324471,5.558693
0.020000,4.774362,22.502402,5.344306,9.613475,5.679144,-7.831379,5.545234
0.020000,4.917430,22.370665,5.538787,9.724071,5.529791,-7.467638,5.532999
0.020000,5.060529,22.235801,5.735422,9.831767,5.384788,-7.250137,5.522041
0.020000,5.203574,22.098180,5.933921,9.924917,4.657528,-36.363003,5.512425
0.020000,5.346350,21.958346,6.133767,9.992303,3.369275,-64.412668,5.504214
0.020000,5.488675,21.816851,6.334459,10.034591,2.114432,-62.742155,5.497462
0.020000,5.630399,21.674253,6.535506,10.052375,0.889174,-61.262887,5.492212
0.020000,5.771395,21.531108,6.736430,10.046176,-0.309962,-59.956796,5.488495
0.020000,5.911554,21.387974,6.936759,10.016458,-1.485876,-58.795708,5.486337
0.020000,6.050737,21.245445,7.135974,9.960737,-2.786043,-65.008341,5.485753
0.020000,6.188661,21.104265,7.333344,9.868520,-4.610839,-91.239834,5.486749
0.020000,6.325087,20.965114,7.528215,9.743537,-6.249181,-81.917089,5.489315
0.020000,6.459922,20.828501,7.720162,9.597367,-7.308510,-52.966425,5.493433
0.020000,6.593067,20.694913,7.908771,9.430441,-8.346283,-51.888660,5.499077
0.020000,6.724402,20.564812,8.093636,9.243239,-9.360113,-50.691500,5.506211
0.020000,6.853791,20.438637,8.274362,9.036300,-10.346933,-49.341002,5.514791
0.020000,6.981080,20.316794,8.450566,8.810237,-11.303161,-47.811427,5.524760
0.020000,7.106127,20.199618,8.621935,8.568439,-12.089900,-39.336926,5.536053
