dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000073,22.406292,0.000225,0.022473,1.123644,56.182203,6.283171
0.020000,0.000814,22.406292,0.000966,0.037058,0.729268,-19.718804,6.283027
0.020000,0.002481,22.406291,0.002633,0.083379,2.316059,79.339527,6.282702
0.020000,0.005446,22.406289,0.005598,0.148225,3.242256,46.309858,6.282125
0.020000,0.010078,22.406282,0.010230,0.231587,4.168107,46.292585,6.281223
0.020000,0.016747,22.406265,0.016899,0.333455,5.093407,46.264977,6.279924
0.020000,0.025823,22.406227,0.025975,0.453813,6.017908,46.225049,6.278154
0.020000,0.037675,22.406154,0.037828,0.592640,6.941344,46.171804,6.275841
0.020000,0.052488,22.406024,0.052641,0.740652,7.400595,22.962566,6.272947
0.020000,0.070258,22.405811,0.070412,0.888572,7.396028,-0.228378,6.269470
0.020000,0.090983,22.405484,0.091140,1.036391,7.390920,-0.255386,6.265409
0.020000,0.114660,22.405008,0.114822,1.184100,7.385483,-0.271846,6.260762
0.020000,0.141286,22.404342,0.141456,1.331700,7.379968,-0.275747,6.255525
0.020000,0.170856,22.403437,0.171040,1.479193,7.374670,-0.264925,6.249699
0.020000,0.203366,22.402244,0.203572,1.626592,7.369924,-0.237258,6.243280
0.020000,0.238811,22.400704,0.239050,1.773914,7.366122,-0.190147,6.236267
0.020000,0.277185,22.398756,0.277474,1.921188,7.363691,-0.121525,6.228660
0.020000,0.318483,22.396332,0.318843,2.068450,7.363118,-0.028631,6.220459
0.020000,0.362698,22.393360,0.363158,2.215749,7.364935,0.090834,6.211663
0.020000,0.409824,22.389761,0.410421,2.363143,7.369721,0.239308,6.202275
0.020000,0.459853,22.385453,0.460635,2.510705,7.378103,0.419080,6.192298
0.020000,0.512778,22.380348,0.513805,2.658520,7.390748,0.632262,6.181737
0.020000,0.568590,22.374352,0.569939,2.806688,7.408358,0.880510,6.170597
0.020000,0.627283,22.367367,0.629045,2.955321,7.431662,1.165162,6.158888
0.020000,0.688846,22.359291,0.691136,3.104549,7.461400,1.486907,6.146620
0.020000,0.753272,22.350017,0.756227,3.254515,7.498314,1.845698,6.133807
0.020000,0.820552,22.339431,0.824334,3.405378,7.543127,2.240660,6.120465
0.020000,0.890677,22.327419,0.895480,3.557308,7.596523,2.669797,6.106614
0.020000,0.963637,22.313859,0.969690,3.710491,7.659124,3.130064,6.092276
0.020000,1.039425,22.298629,1.046993,3.865120,7.731467,3.617170,6.077479
0.020000,1.118029,22.281601,1.127421,4.021399,7.813976,4.125433,6.062252
0.020000,1.199442,22.262645,1.211011,4.179538,7.906937,4.648033,6.046629
0.020000,1.283654,22.241628,1.297806,4.339748,8.010475,5.176890,6.030648
0.020000,1.370656,22.218418,1.387851,4.502238,8.124533,5.702907,6.014351
0.020000,1.460439,22.192878,1.481195,4.667215,8.248856,6.216178,5.997783
0.020000,1.552992,22.164872,1.577893,4.834875,8.382985,6.706447,5.980994
0.020000,1.648307,22.134266,1.678001,5.005400,8.526252,7.163317,5.964036
0.020000,1.746373,22.100925,1.781580,5.178956,8.677788,7.576827,5.946964
0.020000,1.847181,22.064716,1.888694,5.355687,8.836548,7.938001,5.929835
0.020000,1.950721,22.025511,1.999408,5.535713,9.001330,8.239118,5.912712
0.020000,2.056985,21.983185,2.113791,5.719130,9.170818,8.474383,5.895655
0.020000,2.165961,21.937616,2.231911,5.906002,9.343621,8.640124,5.878727
0.020000,2.277642,21.888692,2.353838,6.096369,9.518323,8.735126,5.861994
0.020000,2.392021,21.836305,2.479643,6.290239,9.693538,8.760754,5.845517
0.020000,2.509091,21.780357,2.609395,6.487599,9.867956,8.720915,5.829362
0.020000,2.628848,21.720757,2.743163,6.688406,10.040395,8.621947,5.813592
0.020000,2.751291,21.657427,2.881015,6.892603,10.209842,8.472330,5.798268
0.020000,2.876423,21.590295,3.023017,7.100113,10.375489,8.282352,5.783451
0.020000,3.004251,21.519306,3.169234,7.310848,10.536762,8.063641,5.769200
0.020000,3.134787,21.444412,3.319729,7.524715,10.693337,7.828742,5.755572
0.020000,3.268049,21.365582,3.474561,7.741618,10.845150,7.590672,5.742623
0.020000,3.404065,21.282795,3.633790,7.961466,10.992399,7.362444,5.730406
0.020000,3.542869,21.196044,3.797474,8.184177,11.135535,7.156818,5.718974
0.020000,3.684507,21.105338,3.965667,8.409682,11.275252,6.985854,5.708379
0.020000,3.829036,21.010697,4.138426,8.637931,11.412471,6.860914,5.698669
0.020000,3.976525,20.912157,4.315804,8.868898,11.548317,6.792296,5.689895
0.020000,4.126880,20.809894,4.497640,9.091808,11.145538,-20.138912,5.682116
0.020000,4.279841,20.704226,4.683551,9.295546,10.186885,-47.932662,5.675390
0.020000,4.435162,20.595505,4.873142,9.479568,9.201107,-49.288907,5.669770
0.020000,4.592607,20.484110,5.066010,9.643361,8.189635,-50.573624,5.665295
0.020000,4.751947,20.370442,5.261738,9.786438,7.153869,-51.788277,5.661999
0.020000,4.912961,20.254923,5.459905,9.908339,6.095060,-52.940456,5.659904
0.020000,5.075431,20.137994,5.660078,10.008624,5.014205,-54.042741,5.659026
0.020000,5.239037,20.020182,5.861687,10.080453,3.591481,-71.136229,5.659373
0.020000,5.403449,19.902028,6.064151,10.123237,2.139179,-72.615065,5.660941
0.020000,5.568438,19.784003,6.267009,10.142875,0.981931,-57.862435,5.663718
0.020000,5.733759,19.666581,6.469788,10.138935,-0.197021,-58.947552,5.667684
0.020000,5.899156,19.550233,6.672007,10.110964,-1.398532,-60.075573,5.672809
0.020000,6.064349,19.435427,6.873177,10.058489,-2.623749,-61.260847,5.679058
0.020000,6.229040,19.322621,7.072797,9.981009,-3.874014,-62.513266,5.686383
0.020000,6.392901,19.212261,7.270357,9.877994,-5.150756,-63.837109,5.694729
0.020000,6.555688,19.104700,7.465469,9.755635,-6.117925,-48.358441,5.704037
0.020000,6.717332,19.000148,7.657979,9.625485,-6.507533,-19.480402,5.714252
0.020000,6.877834,18.898742,7.847831,9.492605,-6.643993,-6.823011,5.725325
0.020000,7.037178,18.800608,8.034970,9.356955,-6.782474,-6.924024,5.737205
0.020000,7.195338,18.705858,8.219340,9.218476,-6.923988,-7.075689,5.749840
0.020000,7.352271,18.614592,8.400882,9.077089,-7.069330,-7.267111,5.763178
0.020000,7.507921,18.526897,8.579536,8.932708,-7.219060,-7.486487,5.777163
0.020000,7.662217,18.442844,8.755241,8.785238,-7.373487,-7.721380,5.791739
0.020000,7.815077,18.362494,8.927932,8.634585,-7.532664,-7.958822,5.806848
0.020000,7.966406,18.285889,9.097545,8.480657,-7.696379,-8.185778,5.822430
0.020000,8.116097,18.213059,9.264013,8.323374,-7.864168,-8.389453,5.838423
0.020000,8.264033,18.144019,9.427266,8.162667,-8.035324,-8.557766,5.854766
0.020000,8.410089,18.078767,9.587236,7.998489,-8.208920,-8.679801,5.871393
0.020000,8.554133,18.017286,9.743852,7.830812,-8.383845,-8.746250,5.888242
0.020000,8.696027,17.959543,9.897045,7.659635,-8.558841,-8.749803,5.905249
0.020000,8.835627,17.905489,10.046745,7.484984,-8.732550,-8.685466,5.922349
0.020000,8.972789,17.855062,10.192883,7.306913,-8.903565,-8.550753,5.939480
0.020000,9.107368,17.808184,10.335393,7.125503,-9.070480,-8.345766,5.956582
0.020000,9.239220,17.764764,10.474210,6.940865,-9.231942,-8.073095,5.973595
0.020000,9.368203,17.724698,10.609273,6.753131,-9.386696,-7.737679,5.990462
0.020000,9.494180,17.687870,10.740522,6.562458,-9.533624,-7.346378,6.007130
0.020000,9.617018,17.654156,10.867903,6.369023,-9.671778,-6.907708,6.023548
0.020000,9.736591,17.623421,10.991363,6.173015,-9.800403,-6.431248,6.039670
0.020000,9.852782,17.595524,11.110856,5.974636,-9.918947,-5.927203,6.055451
0.020000,9.965479,17.570317,11.226337,5.774094,-10.027066,-5.405966,6.070853
0.020000,10.074581,17.547650,11.337769,5.571602,-10.124619,-4.877657,6.085840
0.020000,10.179995,17.527368,11.445117,5.367369,-10.211653,-4.351685,6.100379
0.020000,10.281636,17.509315,11.548349,5.161601,-10.288385,-3.836598,6.114443
0.020000,10.379429,17.493336,11.647439,4.954497,-10.355183,-3.339911,6.128007
0.020000,10.473307,17.479276,11.742364,4.746247,-10.412534,-2.867570,6.141051
0.020000,10.563211,17.466984,11.833104,4.537026,-10.461028,-2.424674,6.153556
0.020000,10.649091,17.456310,11.919644,4.327000,-10.501322,-2.014718,6.165508
0.020000,10.730901,17.447110,12.001971,4.116317,-10.534125,-1.640132,6.176895
0.020000,10.808607,17.439244,12.080073,3.905114,-10.560171,-1.302309,6.187708
0.020000,10.882175,17.432578,12.153943,3.693510,-10.580203,-1.001588,6.197938
0.020000,10.951582,17.426984,12.223575,3.481611,-10.594956,-0.737666,6.207581
0.020000,11.016808,17.422340,12.288965,3.269508,-10.605144,-0.509368,6.216633
0.020000,11.077834,17.418531,12.350111,3.057279,-10.611450,-0.315316,6.225092
0.020000,11.134651,17.415451,12.407011,2.844988,-10.614518,-0.153393,6.232956
0.020000,11.187247,17.412999,12.459665,2.632690,-10.614948,-0.021537,6.240226
0.020000,11.235618,17.411081,12.508073,2.420424,-10.613294,0.082701,6.246901
0.020000,11.279758,17.409613,12.552238,2.208222,-10.610061,0.161690,6.252984
0.020000,11.319665,17.408517,12.592160,1.996108,-10.605702,0.217908,6.258476
0.020000,11.355338,17.407723,12.627842,1.784096,-10.600625,0.253884,6.263378
0.020000,11.386777,17.407168,12.659285,1.572192,-10.595187,0.271872,6.267693
0.020000,11.413982,17.406798,12.686493,1.360398,-10.589703,0.274200,6.271422
0.020000,11.436955,17.406564,12.709468,1.148709,-10.584442,0.263062,6.274568
0.020000,11.455697,17.406426,12.728210,0.937117,-10.579632,0.240497,6.277132
0.020000,11.470359,17.406352,12.742872,0.733105,-10.200594,18.951924,6.279137
0.020000,11.481356,17.406316,12.753869,0.549866,-9.161955,51.931922,6.280639
0.020000,11.489218,17.406300,12.761731,0.393091,-7.838729,66.161307,6.281713
0.020000,11.494474,17.406294,12.766986,0.262763,-6.516413,66.115790,6.282431
0.020000,11.497651,17.406292,12.770164,0.158868,-5.194754,66.082981,6.282865
0.020000,11.499279,17.406292,12.771792,0.081397,-3.873526,66.061389,6.283087
0.020000,11.499886,17.406292,12.772399,0.030346,-2.552546,66.049012,6.283170
0.020000,11.500000,17.406292,12.772513,0.005713,-1.231680,66.043275,0.000000
0.020000,11.500000,17.406292,12.772513,0.000000,-0.285632,47.302410,0.000000
