dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,23.500000,0.000222,0.022177,1.108871,55.443548,0.000004
0.020000,0.000788,23.500000,0.001109,0.066532,2.217742,55.443548,6.283157
0.020000,0.002784,23.500000,0.003105,0.133065,3.326613,55.443548,6.283084
0.020000,0.006333,23.499999,0.006653,0.221774,4.435484,55.443548,6.282954
0.020000,0.011877,23.499997,0.012198,0.332661,5.544355,55.443548,6.282751
0.020000,0.019861,23.499993,0.020181,0.465726,6.653226,55.443548,6.282458
0.020000,0.030728,23.499983,0.031048,0.620968,7.762097,55.443548,6.282059
0.020000,0.044921,23.499963,0.045242,0.798387,8.870968,55.443548,6.281535
0.020000,0.062663,23.499928,0.062984,0.975806,8.870968,-0.000000,6.280878
0.020000,0.083953,23.499870,0.084274,1.153226,8.870968,0.000000,6.280085
0.020000,0.108792,23.499782,0.109113,1.330645,8.870968,-0.000000,6.279155
0.020000,0.137179,23.499652,0.137500,1.508065,8.870968,0.000000,6.278083
0.020000,0.169114,23.499470,0.169435,1.685484,8.870968,0.000000,6.276868
0.020000,0.204597,23.499222,0.204919,1.862903,8.870968,-0.000000,6.275504
0.020000,0.243628,23.498892,0.243952,2.040323,8.870968,0.000000,6.273989
0.020000,0.286206,23.498465,0.286532,2.217742,8.870968,-0.000000,6.272317
0.020000,0.332332,23.497922,0.332661,2.395161,8.870968,0.000000,6.270483
0.020000,0.382005,23.497241,0.382339,2.572581,8.870968,0.000000,6.268481
0.020000,0.435224,23.496401,0.435565,2.750000,8.870968,0.000000,6.266304
0.020000,0.491989,23.495376,0.492339,2.927419,8.870968,-0.000000,6.263945
0.020000,0.552299,23.494138,0.552661,3.104839,8.870968,0.000000,6.261396
0.020000,0.616152,23.492659,0.616532,3.282258,8.870968,-0.000000,6.258646
0.020000,0.683549,23.490906,0.683952,3.459677,8.870968,0.000000,6.255687
0.020000,0.754487,23.488842,0.754919,3.637097,8.870968,0.000000,6.252507
0.020000,0.828964,23.486430,0.829435,3.814516,8.870968,0.000000,6.249093
0.020000,0.906978,23.483626,0.907500,3.991935,8.870968,-0.000000,6.245431
0.020000,0.988526,23.480387,0.989113,4.169355,8.870968,-0.000000,6.241507
0.020000,1.073606,23.476660,1.074274,4.346774,8.870968,0.000000,6.237302
0.020000,1.162213,23.472393,1.162984,4.524194,8.870968,0.000000,6.232798
0.020000,1.254342,23.467525,1.255242,4.701613,8.870968,0.000000,6.227973
0.020000,1.349989,23.461992,1.351048,4.879032,8.870968,-0.000000,6.222804
0.020000,1.449146,23.455723,1.450403,5.056452,8.870968,0.000000,6.217264
0.020000,1.551805,23.448642,1.553306,5.233871,8.870968,0.000000,6.211323
0.020000,1.657957,23.440662,1.659758,5.411290,8.870968,-0.000000,6.204948
0.020000,1.767590,23.431692,1.769758,5.588710,8.870968,0.000000,6.198099
0.020000,1.880691,23.421629,1.883306,5.766129,8.870968,-0.000000,6.190735
0.020000,1.997244,23.410360,2.000403,5.943548,8.870968,0.000000,6.182807
0.020000,2.117229,23.397761,2.121048,6.120968,8.870968,-0.000000,6.174258
0.020000,2.240623,23.383694,2.245242,6.298387,8.870968,0.000000,6.165025
0.020000,2.367398,23.368008,2.372984,6.475806,8.870968,-0.000000,6.155034
0.020000,2.497519,23.350530,2.504274,6.653226,8.870968,-0.000000,6.144202
0.020000,2.630946,23.331072,2.639113,6.830645,8.870968,0.000000,6.132431
0.020000,2.767628,23.309421,2.777500,7.008065,8.870968,-0.000000,6.119606
0.020000,2.907504,23.285337,2.919435,7.185484,8.870968,0.000000,6.105595
0.020000,3.050499,23.258550,3.064919,7.362903,8.870968,-0.000000,6.090241
0.020000,3.196521,23.228755,3.213952,7.540323,8.870968,0.000000,6.073361
0.020000,3.345454,23.195604,3.366532,7.717742,8.870968,0.000000,6.054735
0.020000,3.497156,23.158701,3.522661,7.895161,8.870968,-0.000000,6.034104
0.020000,3.651448,23.117592,3.682339,8.072581,8.870968,0.000000,6.011155
0.020000,3.808101,23.071755,3.845565,8.250000,8.870968,0.000000,5.985515
0.020000,3.966826,23.020590,4.012339,8.427419,8.870968,0.000000,5.956733
0.020000,4.127254,22.963406,4.182661,8.604839,8.870968,0.000000,5.924267
0.020000,4.288907,22.899403,4.356532,8.782258,8.870968,-0.000000,5.887468
0.020000,4.451162,22.827667,4.533952,8.959677,8.870968,0.000000,5.845562
0.020000,4.613214,22.747154,4.714919,9.137097,8.870968,-0.000000,5.797646
0.020000,4.774006,22.656691,4.899435,9.314516,8.870968,0.000000,5.742697
0.020000,4.932169,22.555000,5.087500,9.491935,8.870968,0.000000,5.679623
0.020000,5.085943,22.440750,5.279113,9.669355,8.870968,0.000000,5.607390
0.020000,5.233120,22.312666,5.474274,9.846774,8.870968,-0.000000,5.525249
0.020000,5.371037,22.169710,5.672984,10.024194,8.870968,0.000000,5.433106
0.020000,5.496689,22.011328,5.875242,10.201613,8.870968,0.000000,5.331962
0.020000,5.606996,21.837697,6.081048,10.379032,8.870968,0.000000,5.224250
0.020000,5.699148,21.650080,6.290181,10.534274,7.762097,-55.443548,5.113861
0.020000,5.771176,21.450784,6.502198,10.667339,6.653226,-55.443548,5.005459
0.020000,5.822385,21.242628,6.716653,10.778226,5.544355,-55.443548,4.903273
0.020000,5.853320,21.028478,6.933105,10.866935,4.435484,-55.443548,4.810239
0.020000,5.865445,20.810873,7.151109,10.933468,3.326613,-55.443548,4.727748
0.020000,5.860747,20.591857,7.370222,10.977823,2.217742,-55.443548,4.655928
0.020000,5.841396,20.372968,7.590000,11.000000,1.108871,-55.443548,4.594107
0.020000,5.809521,20.155315,7.810000,11.000000,0.000000,-55.443548,4.541237
0.020000,5.767047,19.939473,8.030000,11.000000,0.000000,0.000000,4.496133
0.020000,5.715610,19.725585,8.250000,11.000000,0.000000,0.000000,4.457650
0.020000,5.656593,19.513659,8.470000,11.000000,0.000000,0.000000,4.424802
0.020000,5.591166,19.303620,8.690000,11.000000,0.000000,0.000000,4.396764
0.020000,5.520316,19.095347,8.910000,11.000000,0.000000,0.000000,4.372858
0.020000,5.444885,18.888686,9.130000,11.000000,0.000000,0.000000,4.352529
0.020000,5.365596,18.683474,9.350000,11.000000,0.000000,0.000000,4.335330
0.020000,5.283078,18.479538,9.570000,11.000000,0.000000,0.000000,4.320901
0.020000,5.197881,18.276706,9.790000,11.000000,0.000000,0.000000,4.308951
0.020000,5.110497,18.074806,10.010000,11.000000,0.000000,0.000000,4.299253
0.020000,5.021369,17.873669,10.230000,11.000000,0.000000,0.000000,4.291628
0.020000,4.930907,17.673128,10.450000,11.000000,0.000000,0.000000,4.285938
0.020000,4.839490,17.473021,10.670000,11.000000,0.000000,0.000000,4.282085
0.020000,4.747481,17.273186,10.890000,11.000000,0.000000,0.000000,4.280003
0.020000,4.655229,17.073462,11.110000,11.000000,0.000000,0.000000,4.279657
0.020000,4.563081,16.873690,11.330000,11.000000,0.000000,0.000000,4.281042
0.020000,4.471384,16.673711,11.550000,11.000000,0.000000,0.000000,4.284179
0.020000,4.380495,16.473364,11.770000,11.000000,0.000000,0.000000,4.289123
0.020000,4.290786,16.272485,11.990000,11.000000,0.000000,0.000000,4.295960
0.020000,4.202653,16.070911,12.210000,11.000000,0.000000,0.000000,4.304809
0.020000,4.116524,15.868472,12.430000,11.000000,0.000000,0.000000,4.315833
0.020000,4.032870,15.664999,12.650000,11.000000,0.000000,0.000000,4.329238
0.020000,3.952218,15.460318,12.870000,11.000000,0.000000,0.000000,4.345289
0.020000,3.875162,15.254258,13.090000,11.000000,0.000000,0.000000,4.364316
0.020000,3.802384,15.046649,13.310000,11.000000,0.000000,0.000000,4.386730
0.020000,3.734675,14.837334,13.530000,11.000000,0.000000,0.000000,4.413040
0.020000,3.672963,14.626176,13.750000,11.000000,0.000000,0.000000,4.443871
0.020000,3.618337,14.413078,13.970000,11.000000,0.000000,0.000000,4.479989
0.020000,3.572093,14.198010,14.190000,11.000000,0.000000,0.000000,4.522313
