dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000002,24.593708,0.000222,0.022177,1.108871,55.443548,0.000002
0.020000,0.000911,24.593708,0.001135,0.045661,1.174156,3.264265,6.283137
0.020000,0.003030,24.593708,0.003253,0.105914,3.012674,91.925910,6.283025
0.020000,0.006796,24.593707,0.007019,0.188300,4.119308,55.331691,6.282826
0.020000,0.012681,24.593704,0.012904,0.294241,5.297044,58.886788,6.282515
0.020000,0.021156,24.593696,0.021379,0.423754,6.475671,58.931342,6.282066
0.020000,0.032693,24.593680,0.032917,0.576867,7.655626,58.997776,6.281453
0.020000,0.047765,24.593648,0.047989,0.753616,8.837452,59.091256,6.280650
0.020000,0.066611,24.593590,0.066834,0.942272,9.432789,29.766880,6.279641
0.020000,0.089232,24.593496,0.089456,1.131098,9.441325,0.426814,6.278423
0.020000,0.115635,24.593352,0.115859,1.320132,9.451706,0.519048,6.276993
0.020000,0.145822,24.593140,0.146047,1.509413,9.464025,0.615947,6.275346
0.020000,0.179800,24.592842,0.180027,1.698980,9.478368,0.717135,6.273477
0.020000,0.217576,24.592436,0.217804,1.888878,9.494859,0.824564,6.271380
0.020000,0.259155,24.591896,0.259387,2.079150,9.513631,0.938566,6.269048
0.020000,0.304547,24.591196,0.304784,2.269847,9.534835,1.060221,6.266473
0.020000,0.353759,24.590304,0.354005,2.461020,9.558664,1.191450,6.263646
0.020000,0.406802,24.589186,0.407059,2.652726,9.585310,1.332285,6.260559
0.020000,0.463686,24.587803,0.463960,2.845027,9.615019,1.485471,6.257199
0.020000,0.524422,24.586114,0.524719,3.037988,9.648055,1.651787,6.253555
0.020000,0.589023,24.584072,0.589353,3.231683,9.684739,1.834206,6.249613
0.020000,0.657504,24.581627,0.657877,3.426191,9.725398,2.032945,6.245359
0.020000,0.729877,24.578723,0.730309,3.621600,9.770459,2.253072,6.240775
0.020000,0.806161,24.575298,0.806669,3.818007,9.820359,2.494965,6.235845
0.020000,0.886371,24.571285,0.886979,4.015519,9.875625,2.763294,6.230547
0.020000,0.970526,24.566612,0.971265,4.214256,9.936843,3.060911,6.224859
0.020000,1.058647,24.561198,1.059552,4.414350,10.004706,3.393146,6.218757
0.020000,1.150755,24.554954,1.151871,4.615950,10.079967,3.763075,6.212212
