dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000004,22.406292,0.000222,0.022177,1.108871,55.443548,0.000004
0.020000,0.000757,22.406292,0.000975,0.037637,0.772966,-16.795236,6.283157
0.020000,0.002673,22.406292,0.002891,0.095812,2.908750,106.789173,6.283084
0.020000,0.006079,22.406291,0.006297,0.170327,3.725748,40.849899,6.282954
0.020000,0.011402,22.406290,0.011620,0.266122,4.789758,53.200503,6.282751
0.020000,0.019066,22.406285,0.019283,0.383186,5.853224,53.173292,6.282458
0.020000,0.029496,22.406275,0.029714,0.521504,6.915866,53.132134,6.282059
0.020000,0.043117,22.406257,0.043335,0.681051,7.977357,53.074531,6.281535
0.020000,0.060140,22.406223,0.060358,0.851158,8.505366,26.400450,6.280878
0.020000,0.080563,22.406168,0.080781,1.021160,8.500113,-0.262647,6.280085
0.020000,0.104383,22.406083,0.104602,1.191035,8.493708,-0.320235,6.279155
0.020000,0.131598,22.405958,0.131817,1.360757,8.486115,-0.379649,6.278083
0.020000,0.162204,22.405784,0.162423,1.530302,8.477272,-0.442160,6.276868
0.020000,0.196196,22.405546,0.196416,1.699645,8.467112,-0.507988,6.275504
0.020000,0.233570,22.405230,0.233791,1.868755,8.455542,-0.578539,6.273989
0.020000,0.274320,22.404822,0.274543,2.037605,8.442466,-0.653776,6.272317
0.020000,0.318440,22.404302,0.318666,2.206160,8.427789,-0.733827,6.270483
0.020000,0.365923,22.403651,0.366154,2.374388,8.411357,-0.821599,6.268481
0.020000,0.416762,22.402848,0.416999,2.542248,8.393040,-0.915886,6.266304
0.020000,0.470947,22.401870,0.471193,2.709702,8.372667,-1.018640,6.263945
0.020000,0.528469,22.400690,0.528727,2.876702,8.350033,-1.131720,6.261396
0.020000,0.589317,22.399280,0.589591,3.043201,8.324925,-1.255377,6.258646
0.020000,0.653478,22.397611,0.653774,3.209143,8.297084,-1.392053,6.255687
0.020000,0.720939,22.395649,0.721263,3.374467,8.266216,-1.543376,6.252507
0.020000,0.791684,22.393357,0.792045,3.539107,8.231992,-1.711198,6.249093
0.020000,0.865696,22.390698,0.866105,3.702987,8.194004,-1.899437,6.245431
0.020000,0.942955,22.387628,0.943425,3.866023,8.151824,-2.108970,6.241507
0.020000,1.023440,22.384103,1.023988,4.028122,8.104925,-2.344964,6.237302
0.020000,1.107127,22.380073,1.107771,4.189176,8.052689,-2.611796,6.232798
0.020000,1.193987,22.375483,1.194753,4.349064,7.994440,-2.912472,6.227973
0.020000,1.283990,22.370277,1.284906,4.507651,7.929333,-3.255323,6.222804
0.020000,1.377099,22.364391,1.378201,4.664780,7.856426,-3.645339,6.217264
0.020000,1.473276,22.357756,1.474607,4.820271,7.774574,-4.092597,6.211323
0.020000,1.572475,22.350300,1.574085,4.973920,7.682448,-4.606327,6.204948
0.020000,1.674643,22.341940,1.676595,5.125489,7.578464,-5.199205,6.198099
0.020000,1.779722,22.332591,1.782089,5.274704,7.460747,-5.885832,6.190735
0.020000,1.887644,22.322157,1.890514,5.421245,7.327032,-6.685767,6.182807
0.020000,1.998330,22.310535,2.001809,5.564738,7.174641,-7.619525,6.174258
0.020000,2.111691,22.297613,2.115903,5.704744,7.000298,-8.717159,6.165025
0.020000,2.227622,22.283268,2.232718,5.840745,6.800081,-10.010835,6.155034
0.020000,2.346001,22.267368,2.352161,5.972129,6.569189,-11.544622,6.144202
0.020000,2.466688,22.249769,2.474124,6.098165,6.301779,-13.370497,6.132431
0.020000,2.589516,22.230313,2.598484,6.217978,5.990654,-15.556271,6.119606
0.020000,2.714291,22.208831,2.725094,6.330517,5.626987,-18.183326,6.105595
0.020000,2.840781,22.185137,2.853784,6.434515,5.199858,-21.356466,6.090241
0.020000,2.968714,22.159035,2.984353,6.528429,4.695728,-25.206499,6.073361
0.020000,3.097764,22.130312,3.116561,6.610386,4.097856,-29.893606,6.054735
0.020000,3.227542,22.098746,3.250123,6.678096,3.385508,-35.617398,6.034104
0.020000,3.357582,22.064102,3.384698,6.728760,2.533153,-42.617746,6.011155
0.020000,3.487323,22.026146,3.519877,6.758954,1.509736,-51.170835,5.985515
0.020000,3.616091,21.984645,3.655167,6.764518,0.278197,-61.576959,5.956733
0.020000,3.743077,21.939392,3.789976,6.740438,-1.203996,-74.109658,5.924267
0.020000,3.867315,21.890217,3.923592,6.680795,-2.982160,-88.908207,5.887468
0.020000,3.987662,21.837029,4.055169,6.578851,-5.097208,-105.752379,5.845562
0.020000,4.102796,21.779853,4.183718,6.427458,-7.569645,-123.621875,5.797646
0.020000,4.211233,21.718883,4.308120,6.220099,-10.367969,-139.916173,5.742697
0.020000,4.311403,21.654529,4.427181,5.953053,-13.352278,-149.215456,5.679623
0.020000,4.401809,21.587428,4.539768,5.629322,-16.186537,-141.712955,5.607390
0.020000,4.481278,21.518354,4.645061,5.264676,-18.232329,-102.289594,5.525249
0.020000,4.549299,21.447947,4.742958,4.894856,-18.491003,-12.933705,5.433106
0.020000,4.606273,21.376225,4.834556,4.579883,-15.748643,137.118016,5.331962
0.020000,4.653464,21.301998,4.922513,4.397871,-9.100567,332.403785,5.224250
0.020000,4.692405,21.222687,5.010869,4.417762,0.994541,504.755421,5.113861
0.020000,4.724102,21.134819,5.104279,4.670521,12.637921,582.168994,5.005459
0.020000,4.748542,21.035122,5.206928,5.132472,23.097540,522.980959,4.903273
0.020000,4.764843,20.921629,5.321586,5.732865,30.019684,346.107164,4.810239
0.020000,4.771866,20.794075,5.449333,6.387371,32.725289,135.280274,4.727748
0.020000,4.768782,20.653577,5.589865,7.026613,31.962126,-38.158155,4.655928
0.020000,4.755330,20.502033,5.742005,7.606993,29.018975,-147.157532,4.594107
0.020000,4.731793,20.341593,5.904163,8.107870,25.043873,-198.755101,4.541237
0.020000,4.698814,20.174155,6.074817,8.532714,21.242173,-190.085017,4.496133
0.020000,4.657197,20.001192,6.252717,8.894992,18.113909,-156.413193,4.457650
0.020000,4.607802,19.823877,6.436783,9.203300,15.415371,-134.926887,4.424802
0.020000,4.551484,19.643119,6.626112,9.466442,13.157121,-112.912500,4.396764
0.020000,4.489046,19.459601,6.819960,9.692427,11.299271,-92.892523,4.372858
0.020000,4.421233,19.273828,7.017723,9.888143,9.785765,-75.675302,4.352529
0.020000,4.348719,19.086163,7.218910,10.059351,8.560436,-61.266446,4.335330
0.020000,4.272117,18.896858,7.423127,10.210821,7.573491,-49.347240,4.320901
0.020000,4.191979,18.706076,7.630056,10.346489,6.783377,-39.505690,4.308951
0.020000,4.108806,18.513911,7.839449,10.469621,6.156617,-31.338018,4.299253
0.020000,4.023057,18.320400,8.051108,10.582959,5.666906,-24.485567,4.291628
0.020000,3.935152,18.125532,8.264885,10.688840,5.294034,-18.643583,4.285938
0.020000,3.845486,17.929258,8.480671,10.789298,5.022912,-13.556085,4.282085
0.020000,3.754428,17.731491,8.698394,10.886154,4.842768,-9.007241,4.280003
0.020000,3.662335,17.532111,8.918015,10.981084,4.746550,-4.810887,4.279657
0.020000,3.569553,17.330964,9.139529,11.075695,4.730530,-0.801013,4.281042
0.020000,3.476426,17.127865,9.362961,11.171577,4.794085,3.177790,4.284179
0.020000,3.383304,16.922593,9.588368,11.270370,4.939667,7.279106,4.289123
0.020000,3.290547,16.714887,9.815845,11.373829,5.172937,11.663492,4.295960
0.020000,3.198538,16.504444,10.045523,11.483891,5.503090,16.507645,4.304809
0.020000,3.107692,16.290911,10.277578,11.602758,5.943368,22.013914,4.315833
0.020000,3.018466,16.073876,10.512238,11.732994,6.511776,28.420395,4.329238
0.020000,2.931381,15.852861,10.749790,11.877633,7.231988,36.010593,4.345289
0.020000,2.847041,15.627308,10.990597,12.040321,8.134392,45.120201,4.364316
0.020000,2.766161,15.396563,11.235106,12.225463,9.257099,56.135344,4.386730
0.020000,2.689606,15.159867,11.483874,12.438393,10.646493,69.469692,4.413040
0.020000,2.618447,14.916340,11.737584,12.685520,12.356370,85.493840,4.443871
0.020000,2.554032,14.664975,11.997072,12.974395,14.443712,104.367136,4.479989
0.020000,2.498082,14.404648,12.263343,13.313540,16.957251,125.676940,4.522313
0.020000,2.452824,14.134173,12.537579,13.711776,19.911808,147.727842,4.571927
0.020000,2.421137,13.852419,12.821109,14.176521,23.237236,166.271387,4.630051
0.020000,2.406716,13.558567,13.115315,14.710284,26.688168,172.546606,4.697951
0.020000,2.407838,13.305424,13.368460,12.657253,-102.651548,-6466.985793,4.728393
0.020000,2.414249,13.062578,13.611391,12.146578,-25.533758,3855.889509,4.749363
0.020000,2.425975,12.818515,13.855736,12.217223,3.532245,1453.300149,4.771627
0.020000,2.443406,12.573270,14.101599,12.293174,3.797569,13.266167,4.795279
0.020000,2.466968,12.326901,14.349093,12.374670,4.074816,13.862391,4.820423
0.020000,2.497122,12.079494,14.598330,12.461877,4.360350,14.276704,4.847162
0.020000,2.534364,11.831174,14.849427,12.554852,4.648722,14.418568,4.875603
0.020000,2.579223,11.582112,15.102497,12.653495,4.932173,14.172557,4.905848
0.020000,2.632260,11.332535,15.357647,12.757498,5.200157,13.399209,4.937997
0.020000,2.694060,11.082740,15.614973,12.866276,5.438853,11.934782,4.972135
0.020000,2.765222,10.833107,15.874550,12.978893,5.630871,9.600922,5.008335
0.020000,2.846344,10.584109,16.136430,13.093998,5.755233,6.218071,5.046642
0.020000,2.938007,10.336325,16.400625,13.209755,5.787887,1.632709,5.087067
0.020000,3.040743,10.090452,16.667099,13.323684,5.696419,-4.573405,5.129579
0.020000,3.154888,9.847548,16.935486,13.419325,4.782068,-45.717513,5.174048
0.020000,3.280484,9.609003,17.205074,13.479433,3.005378,-88.834508,5.220231
0.020000,3.417333,9.376257,17.475071,13.499835,1.020118,-99.263016,5.267806
0.020000,3.564959,9.150747,17.744605,13.476685,-1.157498,-108.880796,5.316382
0.020000,3.722606,8.933848,18.012742,13.406875,-3.490497,-116.649949,5.365511
0.020000,3.889242,8.726809,18.278511,13.288417,-5.922916,-121.620968,5.414708
0.020000,4.063592,8.530688,18.540925,13.120704,-8.385637,-123.136018,5.463477
0.020000,4.244192,8.346307,18.799019,12.904732,-10.798602,-120.648264,5.511339
0.020000,4.429661,8.174037,19.052151,12.656566,-12.408301,-80.484957,5.557906
0.020000,4.618798,8.013847,19.300009,12.392924,-13.182096,-38.689752,5.602895
0.020000,4.810451,7.865526,19.542351,12.117114,-13.790518,-30.421110,5.646082
0.020000,5.003548,7.728717,19.779002,11.832516,-14.229878,-21.967970,5.687308
0.020000,5.197122,7.602941,20.009849,11.542344,-14.508590,-13.935600,5.726469
0.020000,5.390317,7.487634,20.234838,11.249471,-14.643691,-6.755062,5.763518
0.020000,5.582397,7.382175,20.453964,10.956327,-14.657175,-0.674213,5.798449
0.020000,5.772739,7.285915,20.667262,10.664871,-14.572792,4.219159,5.831294
0.020000,5.960821,7.198197,20.874794,10.376598,-14.413639,7.957668,5.862110
0.020000,6.146220,7.118376,21.076646,10.092586,-14.200610,10.651445,5.890975
0.020000,6.328591,7.045827,21.272917,9.813554,-13.951587,12.451125,5.917982
0.020000,6.507658,6.979955,21.463715,9.539931,-13.681196,13.519579,5.943228
0.020000,6.683205,6.920201,21.649154,9.271912,-13.400930,14.013296,5.966817
0.020000,6.855064,6.866043,21.829344,9.009522,-13.119489,14.072059,5.988852
0.020000,7.023106,6.816998,22.004397,8.752658,-12.843204,13.814224,6.009434
0.020000,7.187235,6.772619,22.174420,8.501128,-12.576483,13.336055,6.028659
0.020000,7.347379,6.732497,22.339513,8.254684,-12.322215,12.713420,6.046622
0.020000,7.503488,6.696255,22.499774,8.013042,-12.082129,12.004279,6.063411
0.020000,7.655528,6.663550,22.655292,7.775900,-11.857094,11.251773,6.079107
