dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000104,3.500000,0.000223,0.022251,1.112526,55.626294,0.000009
0.020000,0.000994,3.500000,0.001113,0.066752,2.225052,55.626294,0.000085
0.020000,0.002997,3.500000,0.003115,0.133503,3.337578,55.626294,0.000256
0.020000,0.006557,3.500002,0.006675,0.222505,4.450104,55.626294,0.000560
0.020000,0.012119,3.500006,0.012238,0.333758,5.562629,55.626294,0.001035
0.020000,0.020129,3.500017,0.020248,0.467261,6.675155,55.626294,0.001719
0.020000,0.031032,3.500041,0.031151,0.623014,7.787681,55.626294,0.002648
0.020000,0.045272,3.500087,0.045391,0.801019,8.900207,55.626294,0.003859
0.020000,0.063073,3.500170,0.063191,0.979023,8.900207,-0.000000,0.005371
0.020000,0.084433,3.500304,0.084552,1.157027,8.900207,0.000000,0.007180
0.020000,0.109352,3.500509,0.109473,1.335031,8.900207,0.000000,0.009284
0.020000,0.137832,3.500807,0.137953,1.513035,8.900207,-0.000000,0.011681
0.020000,0.169870,3.501225,0.169994,1.691039,8.900207,0.000000,0.014366
0.020000,0.205466,3.501789,0.205595,1.869043,8.900207,0.000000,0.017336
0.020000,0.244620,3.502532,0.244756,2.047048,8.900207,0.000000,0.020587
0.020000,0.287330,3.503486,0.287477,2.225052,8.900207,-0.000000,0.024113
0.020000,0.333595,3.504690,0.333758,2.403056,8.900207,0.000000,0.027909
0.020000,0.383414,3.506182,0.383599,2.581060,8.900207,0.000000,0.031968
0.020000,0.436784,3.508004,0.437000,2.759064,8.900207,-0.000000,0.036285
0.020000,0.493703,3.510201,0.493961,2.937068,8.900207,0.000000,0.040852
0.020000,0.554168,3.512818,0.554483,3.115072,8.900207,-0.000000,0.045660
0.020000,0.618175,3.515905,0.618564,3.293077,8.900207,0.000000,0.050701
0.020000,0.685720,3.519511,0.686206,3.471081,8.900207,-0.000000,0.055966
0.020000,0.756799,3.523689,0.757408,3.649085,8.900207,0.000000,0.061445
0.020000,0.831406,3.528492,0.832169,3.827089,8.900207,-0.000000,0.067127
0.020000,0.909536,3.533976,0.910491,4.005093,8.900207,0.000000,0.073001
0.020000,0.991181,3.540196,0.992373,4.183097,8.900207,0.000000,0.079054
