dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000058,4.593708,0.000224,0.022429,1.121448,56.072400,0.000013
0.020000,0.000776,4.593708,0.000942,0.035899,0.673495,-22.397646,0.000177
0.020000,0.002391,4.593709,0.002558,0.080766,2.243336,78.492052,0.000546
0.020000,0.005263,4.593711,0.005429,0.143560,3.139713,44.818833,0.001202
0.020000,0.009748,4.593719,0.009914,0.224252,4.034621,44.745399,0.002228
0.020000,0.016204,4.593738,0.016370,0.322795,4.927129,44.625420,0.003708
0.020000,0.024986,4.593779,0.025152,0.439116,5.816081,44.447581,0.005726
0.020000,0.036448,4.593860,0.036614,0.573118,6.700099,44.200887,0.008371
0.020000,0.050762,4.594004,0.050929,0.715729,7.130507,21.520404,0.011688
0.020000,0.067918,4.594239,0.068087,0.857896,7.108367,-1.106958,0.015688
0.020000,0.087905,4.594599,0.088078,0.999536,7.081997,-1.318515,0.020378
0.020000,0.110711,4.595125,0.110889,1.140566,7.051523,-1.523685,0.025770
0.020000,0.136318,4.595863,0.136507,1.280909,7.017123,-1.720007,0.031877
0.020000,0.164710,4.596866,0.164917,1.420489,6.979022,-1.905084,0.038713
0.020000,0.195867,4.598191,0.196102,1.559239,6.937511,-2.075543,0.046293
0.020000,0.229766,4.599902,0.230044,1.697099,6.892966,-2.227257,0.054633
0.020000,0.266382,4.602072,0.266724,1.834016,6.845851,-2.355732,0.063751
0.020000,0.305688,4.604776,0.306123,1.969951,6.796754,-2.454860,0.073663
0.020000,0.347654,4.608099,0.348221,2.104879,6.746396,-2.517877,0.084390
0.020000,0.392248,4.612131,0.392996,2.238792,6.695652,-2.537206,0.095949
0.020000,0.439435,4.616967,0.440430,2.371704,6.645586,-2.503279,0.108358
0.020000,0.489177,4.622712,0.490504,2.503653,6.597460,-2.406330,0.121636
0.020000,0.541436,4.629475,0.543198,2.634708,6.552764,-2.234784,0.135798
0.020000,0.596168,4.637373,0.598497,2.764973,6.513232,-1.976600,0.150860
0.020000,0.653331,4.646529,0.656389,2.894590,6.480854,-1.618908,0.166832
0.020000,0.712880,4.657074,0.716864,3.023747,6.457875,-1.148975,0.183723
0.020000,0.774768,4.669144,0.779918,3.152683,6.446787,-0.554353,0.201538
0.020000,0.838947,4.682883,0.845551,3.281689,6.450303,0.175786,0.220275
0.020000,0.905372,4.698442,0.913774,3.411115,6.471298,1.049733,0.239926
