dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000114,2.406292,0.000223,0.022251,1.112526,55.626294,0.000009
0.020000,0.001087,2.406292,0.001196,0.048662,1.320551,10.401258,0.000085
0.020000,0.003277,2.406292,0.003385,0.109487,3.041262,86.035545,0.000256
0.020000,0.007169,2.406294,0.007278,0.194637,4.257531,60.813468,0.000560
0.020000,0.013252,2.406299,0.013360,0.304106,5.473438,60.795353,0.001035
0.020000,0.022009,2.406311,0.022118,0.437881,6.688750,60.765588,0.001719
0.020000,0.033928,2.406337,0.034037,0.595945,7.903172,60.721093,0.002648
0.020000,0.049493,2.406388,0.049602,0.778272,9.116344,60.658622,0.003859
0.020000,0.068947,2.406477,0.069056,0.972671,9.719979,30.181722,0.005371
0.020000,0.092285,2.406624,0.092395,1.166957,9.714295,-0.284211,0.007180
0.020000,0.119506,2.406848,0.119617,1.361105,9.707401,-0.344708,0.009284
0.020000,0.150607,2.407174,0.150719,1.555090,9.699257,-0.407156,0.011681
0.020000,0.185581,2.407630,0.185696,1.748887,9.689822,-0.471787,0.014366
0.020000,0.224426,2.408245,0.224546,1.942467,9.679044,-0.538865,0.017336
0.020000,0.267134,2.409055,0.267262,2.135805,9.666873,-0.608588,0.020587
0.020000,0.313700,2.410096,0.313839,2.328870,9.653250,-0.681153,0.024113
0.020000,0.364116,2.411408,0.364272,2.521632,9.638116,-0.756671,0.027909
0.020000,0.418372,2.413033,0.418553,2.714060,9.621411,-0.835267,0.031968
0.020000,0.476461,2.415016,0.476676,2.906122,9.603071,-0.916972,0.036285
0.020000,0.538371,2.417405,0.538631,3.097783,9.583035,-1.001813,0.040852
0.020000,0.604089,2.420250,0.604411,3.289007,9.561241,-1.089713,0.045660
0.020000,0.673604,2.423602,0.674007,3.479760,9.537629,-1.180614,0.050701
0.020000,0.746899,2.427515,0.747407,3.670003,9.512142,-1.274311,0.055966
0.020000,0.823960,2.432045,0.824601,3.859697,9.484729,-1.370642,0.061445
0.020000,0.904769,2.437248,0.905577,4.048804,9.455343,-1.469300,0.067127
0.020000,0.989307,2.443181,0.990322,4.237283,9.423944,-1.569987,0.073001
0.020000,1.077553,2.449904,1.078824,4.425093,9.390497,-1.672330,0.079054
0.020000,1.169486,2.457475,1.171068,4.612193,9.354979,-1.775897,0.085273
0.020000,1.265081,2.465954,1.267039,4.798540,9.317374,-1.880241,0.091645
0.020000,1.364314,2.475401,1.366721,4.984094,9.277677,-1.984857,0.098155
0.020000,1.467159,2.485873,1.470097,5.168812,9.235893,-2.089223,0.104787
0.020000,1.573586,2.497430,1.577150,5.352652,9.192037,-2.192801,0.111527
0.020000,1.683567,2.510129,1.687862,5.535575,9.146136,-2.295047,0.118356
0.020000,1.797070,2.524025,1.802212,5.717540,9.098227,-2.395422,0.125258
0.020000,1.914064,2.539172,1.920182,5.898507,9.048359,-2.493405,0.132214
0.020000,2.034515,2.555621,2.041751,6.078439,8.996589,-2.588515,0.139205
0.020000,2.158388,2.573422,2.166897,6.257298,8.942983,-2.680308,0.146212
0.020000,2.285649,2.592620,2.295598,6.435050,8.887615,-2.768412,0.153214
0.020000,2.416262,2.613259,2.427831,6.611662,8.830564,-2.852522,0.160191
0.020000,2.550190,2.635378,2.563573,6.787100,8.771916,-2.932419,0.167121
0.020000,2.687396,2.659011,2.702800,6.961335,8.711756,-3.007987,0.173982
0.020000,2.827844,2.684190,2.845487,7.134339,8.650172,-3.079208,0.180752
0.020000,2.971496,2.710939,2.991609,7.306084,8.587248,-3.146183,0.187407
0.020000,3.118316,2.739281,3.141139,7.476545,8.523066,-3.209131,0.193924
0.020000,3.268269,2.769229,3.294053,7.645699,8.457698,-3.268388,0.200279
0.020000,3.421318,2.800795,3.450324,7.813523,8.391210,-3.324412,0.206448
0.020000,3.577430,2.833980,3.609924,7.979996,8.323654,-3.377777,0.212406
0.020000,3.736571,2.868782,3.772826,8.145098,8.255071,-3.429165,0.218129
0.020000,3.898709,2.905191,3.939002,8.308807,8.185483,-3.479366,0.223590
0.020000,4.063815,2.943190,4.108424,8.471105,8.114898,-3.529251,0.228763
0.020000,4.231860,2.982755,4.281063,8.631971,8.043303,-3.579773,0.233624
0.020000,4.402817,3.023852,4.456891,8.791384,7.970664,-3.631939,0.238144
