dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000026,3.500000,0.000222,0.022177,1.108871,55.443548,0.000002
0.020000,0.000913,3.500000,0.001109,0.066532,2.217742,55.443548,0.000064
0.020000,0.002909,3.500000,0.003105,0.133065,3.326613,55.443548,0.000203
0.020000,0.006458,3.500001,0.006653,0.221774,4.435484,55.443548,0.000451
0.020000,0.012002,3.500005,0.012198,0.332661,5.544355,55.443548,0.000840
0.020000,0.019986,3.500014,0.020181,0.465726,6.653226,55.443548,0.001400
0.020000,0.030853,3.500033,0.031048,0.620968,7.762097,55.443548,0.002166
0.020000,0.045046,3.500071,0.045242,0.798387,8.870968,55.443548,0.003171
0.020000,0.062788,3.500139,0.062984,0.975806,8.870968,-0.000000,0.004435
0.020000,0.084078,3.500249,0.084274,1.153226,8.870968,0.000000,0.005964
0.020000,0.108916,3.500420,0.109113,1.330645,8.870968,-0.000000,0.007763
0.020000,0.137302,3.500670,0.137500,1.508065,8.870968,0.000000,0.009841
0.020000,0.169236,3.501022,0.169435,1.685484,8.870968,0.000000,0.012206
0.020000,0.204716,3.501502,0.204919,1.862903,8.870968,-0.000000,0.014869
0.020000,0.243743,3.502140,0.243952,2.040323,8.870968,0.000000,0.017842
0.020000,0.286316,3.502970,0.286532,2.217742,8.870968,-0.000000,0.021139
0.020000,0.332433,3.504028,0.332661,2.395161,8.870968,0.000000,0.024775
0.020000,0.382092,3.505358,0.382339,2.572581,8.870968,0.000000,0.028768
0.020000,0.435293,3.507005,0.435565,2.750000,8.870968,0.000000,0.033138
0.020000,0.492031,3.509020,0.492339,2.927419,8.870968,-0.000000,0.037908
0.020000,0.552304,3.511462,0.552661,3.104839,8.870968,0.000000,0.043102
0.020000,0.616108,3.514394,0.616532,3.282258,8.870968,-0.000000,0.048749
0.020000,0.683436,3.517885,0.683952,3.459677,8.870968,0.000000,0.054881
0.020000,0.754284,3.522012,0.754919,3.637097,8.870968,0.000000,0.061535
0.020000,0.828642,3.526861,0.829435,3.814516,8.870968,0.000000,0.068752
0.020000,0.906500,3.532527,0.907500,3.991935,8.870968,-0.000000,0.076578
0.020000,0.987847,3.539114,0.989113,4.169355,8.870968,-0.000000,0.085066
0.020000,1.072666,3.546737,1.074274,4.346774,8.870968,0.000000,0.094275
0.020000,1.160939,3.555526,1.162984,4.524194,8.870968,0.000000,0.104273
0.020000,1.252642,3.565623,1.255242,4.701613,8.870968,0.000000,0.115139
0.020000,1.347747,3.577188,1.351048,4.879032,8.870968,-0.000000,0.126961
0.020000,1.446220,3.590397,1.450403,5.056452,8.870968,0.000000,0.139840
0.020000,1.548015,3.605449,1.553306,5.233871,8.870968,0.000000,0.153894
0.020000,1.653080,3.622567,1.659758,5.411290,8.870968,-0.000000,0.169259
0.020000,1.761349,3.641999,1.769758,5.588710,8.870968,0.000000,0.186089
0.020000,1.872739,3.664026,1.883306,5.766129,8.870968,-0.000000,0.204567
0.020000,1.987147,3.688965,2.000403,5.943548,8.870968,0.000000,0.224901
0.020000,2.104446,3.717171,2.121048,6.120968,8.870968,-0.000000,0.247335
0.020000,2.224475,3.749049,2.245242,6.298387,8.870968,0.000000,0.272150
0.020000,2.347034,3.785054,2.372984,6.475806,8.870968,-0.000000,0.299672
