dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000024,4.593708,0.000222,0.022177,1.108871,55.443548,0.000002
0.020000,0.000843,4.593708,0.001041,0.040969,0.939556,-8.465769,0.000064
0.020000,0.002687,4.593708,0.002885,0.092175,2.560321,81.038287,0.000203
0.020000,0.005964,4.593709,0.006162,0.163852,3.583865,51.177178,0.000451
0.020000,0.011084,4.593713,0.011281,0.255982,4.606505,51.132009,0.000840
0.020000,0.018454,4.593721,0.018652,0.368535,5.627650,51.057229,0.001400
0.020000,0.028484,4.593739,0.028681,0.501467,6.646564,50.945706,0.002166
0.020000,0.041578,4.593774,0.041776,0.654713,7.662325,50.788066,0.003171
0.020000,0.057937,4.593836,0.058135,0.817968,8.162735,25.020482,0.004435
0.020000,0.077556,4.593938,0.077754,0.980934,8.148290,-0.722255,0.005964
0.020000,0.100426,4.594095,0.100625,1.143546,8.130627,-0.883131,0.007763
0.020000,0.126540,4.594325,0.126739,1.305737,8.109555,-1.053592,0.009841
0.020000,0.155887,4.594648,0.156088,1.467434,8.084838,-1.235868,0.012206
0.020000,0.188455,4.595089,0.188659,1.628558,8.056203,-1.431749,0.014869
0.020000,0.224230,4.595674,0.224440,1.789024,8.023315,-1.644388,0.017842
0.020000,0.263198,4.596433,0.263414,1.948740,7.985797,-1.875890,0.021139
0.020000,0.305339,4.597401,0.305567,2.107604,7.943185,-2.130623,0.024775
0.020000,0.350633,4.598613,0.350877,2.265503,7.894955,-2.411503,0.028768
0.020000,0.399056,4.600112,0.399323,2.422313,7.840489,-2.723297,0.033138
0.020000,0.450581,4.601943,0.450881,2.577894,7.779056,-3.071629,0.037908
0.020000,0.505178,4.604155,0.505523,2.732090,7.709822,-3.461707,0.043102
0.020000,0.562812,4.606802,0.563217,2.884726,7.631795,-3.901345,0.048749
0.020000,0.623442,4.609946,0.623929,3.035603,7.543825,-4.398502,0.054881
0.020000,0.687025,4.613650,0.687619,3.184494,7.444560,-4.963283,0.061535
0.020000,0.753506,4.617985,0.754242,3.331142,7.332411,-5.607401,0.068752
0.020000,0.822828,4.623030,0.823747,3.475252,7.205511,-6.345020,0.076578
0.020000,0.894922,4.628867,0.896077,3.616486,7.061660,-7.192578,0.085066
0.020000,0.969709,4.635589,0.971166,3.754451,6.898254,-8.170259,0.094275
0.020000,1.047101,4.643294,1.048940,3.888695,6.712220,-9.301694,0.104273
0.020000,1.126992,4.652090,1.129313,4.018693,6.499910,-10.615521,0.115139
0.020000,1.209262,4.662093,1.212190,4.143833,6.256997,-12.145654,0.126961
0.020000,1.293774,4.673429,1.297458,4.263400,5.978344,-13.932650,0.139840
0.020000,1.380363,4.686232,1.384989,4.376558,5.657872,-16.023608,0.153894
0.020000,1.468843,4.700646,1.474636,4.482325,5.288379,-18.474656,0.169259
0.020000,1.558994,4.716825,1.566227,4.579553,4.861391,-21.349379,0.186089
0.020000,1.650559,4.734929,1.659565,4.666893,4.367022,-24.718456,0.204567
0.020000,1.743239,4.755129,1.754420,4.742771,3.793872,-28.657502,0.224901
0.020000,1.836683,4.777596,1.850527,4.805353,3.129094,-33.238890,0.247335
0.020000,1.930483,4.802503,1.947578,4.852527,2.358709,-38.519250,0.272150
0.020000,2.024164,4.830019,2.045216,4.881896,1.468441,-44.513416,0.299672
0.020000,2.117176,4.860296,2.143032,4.890804,0.445417,-51.151204,0.330275
0.020000,2.208892,4.893463,2.240560,4.876431,-0.718634,-58.202525,0.364384
0.020000,2.298602,4.929612,2.337280,4.835995,-2.021833,-65.159986,0.402476
0.020000,2.385530,4.968777,2.432623,4.767133,-3.443067,-71.061690,0.445070
0.020000,2.468846,5.010926,2.525994,4.668571,-4.928126,-74.252938,0.492709
0.020000,2.547723,5.055951,2.616817,4.541159,-6.370573,-72.122332,0.545921
0.020000,2.621401,5.103681,2.704605,4.389373,-7.589338,-60.938258,0.605151
