dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000028,2.406292,0.000222,0.022177,1.108871,55.443548,0.000002
0.020000,0.000983,2.406292,0.001177,0.047741,1.278188,8.465846,0.000064
0.020000,0.003131,2.406292,0.003325,0.107422,2.984030,85.292128,0.000203
0.020000,0.006951,2.406294,0.007145,0.190986,4.178232,59.710072,0.000451
0.020000,0.012920,2.406297,0.013114,0.298453,5.373338,59.755317,0.000840
0.020000,0.021517,2.406307,0.021711,0.429852,6.569927,59.829433,0.001400
0.020000,0.033222,2.406328,0.033415,0.585227,7.768756,59.941447,0.002166
0.020000,0.048514,2.406369,0.048708,0.764642,8.970741,60.099268,0.003171
0.020000,0.067639,2.406441,0.067833,0.956226,9.579200,30.422918,0.004435
0.020000,0.090600,2.406561,0.090795,1.148098,9.593639,0.721971,0.005964
0.020000,0.117406,2.406745,0.117601,1.340324,9.611300,0.883066,0.007763
0.020000,0.148065,2.407015,0.148261,1.532972,9.632374,1.053665,0.009841
0.020000,0.182585,2.407395,0.182783,1.726114,9.657086,1.235596,0.012206
0.020000,0.220978,2.407915,0.221179,1.919828,9.685720,1.431710,0.014869
0.020000,0.263256,2.408606,0.263463,2.114200,9.718597,1.643880,0.017842
0.020000,0.309434,2.409506,0.309650,2.309322,9.756117,1.875967,0.021139
0.020000,0.359527,2.410656,0.359756,2.505297,9.798718,2.130075,0.024775
0.020000,0.413552,2.412102,0.413801,2.702235,9.846941,2.411121,0.028768
0.020000,0.471529,2.413897,0.471806,2.900264,9.901404,2.723167,0.033138
0.020000,0.533481,2.416098,0.533796,3.099520,9.962821,3.070836,0.037908
0.020000,0.599430,2.418770,0.599799,3.300161,10.032044,3.461184,0.043102
0.020000,0.669403,2.421985,0.669847,3.502362,10.110054,3.900470,0.048749
0.020000,0.743430,2.425823,0.743973,3.706322,10.198005,4.397577,0.054881
0.020000,0.821543,2.430374,0.822218,3.912267,10.297249,4.962194,0.061535
0.020000,0.903778,2.435737,0.904628,4.120454,10.409372,5.606153,0.068752
0.020000,0.990173,2.442024,0.991251,4.331179,10.536237,6.343260,0.076578
0.020000,1.080772,2.449360,1.082147,4.544780,10.680048,7.190529,0.085066
0.020000,1.175622,2.457886,1.177380,4.761648,10.843400,8.167601,0.094275
0.020000,1.274777,2.467759,1.277024,4.982236,11.029371,9.298553,0.104273
0.020000,1.378292,2.479157,1.381166,5.207068,11.241604,10.611640,0.115139
0.020000,1.486232,2.492283,1.489901,5.436756,11.484421,12.140849,0.126961
0.020000,1.598666,2.507366,1.603341,5.672015,11.762945,13.926202,0.139840
0.020000,1.715667,2.524667,1.721615,5.913680,12.083263,16.015919,0.153894
0.020000,1.837317,2.544488,1.844869,6.162731,12.452558,18.464748,0.169259
0.020000,1.963704,2.567174,1.973276,6.420317,12.879287,21.336425,0.186089
0.020000,2.094918,2.593123,2.107031,6.687784,13.373329,24.702113,0.204567
0.020000,2.231055,2.622801,2.246366,6.966705,13.946053,28.636215,0.224901
0.020000,2.372209,2.656747,2.391544,7.258910,14.610280,33.211342,0.247335
0.020000,2.518468,2.695595,2.542874,7.566509,15.379943,38.483134,0.272150
0.020000,2.669904,2.740089,2.700712,7.891895,16.269270,44.466383,0.299672
0.020000,2.826562,2.791103,2.865466,8.237716,17.291062,51.089558,0.330275
0.020000,2.988429,2.849666,3.037602,8.606786,18.453506,58.122198,0.364384
0.020000,3.155408,2.916983,3.217639,9.001878,19.754621,65.055777,0.402476
0.020000,3.327258,2.994458,3.406146,9.425342,21.173188,70.928341,0.445070
0.020000,3.503526,3.083693,3.603715,9.878441,22.654925,74.086835,0.492709
0.020000,3.683442,3.186478,3.810921,10.360308,24.093379,71.922714,0.545921
0.020000,3.865793,3.304716,4.028250,10.866462,25.307663,60.714212,0.605151
0.020000,4.048783,3.440287,4.255990,11.386959,26.024859,35.859804,0.670663
0.020000,4.229920,3.594812,4.494083,11.904653,25.884737,-7.006111,0.742407
0.020000,4.405984,3.769315,4.741973,12.394521,24.493386,-69.567527,0.819874
0.020000,4.573182,3.963844,4.998482,12.825464,21.547126,-147.313014,0.901987
0.020000,4.727517,4.177185,5.261795,13.165645,17.009079,-226.902360,0.987083
0.020000,4.865352,4.406806,5.529609,13.390673,11.251378,-287.885066,1.073052
0.020000,4.983988,4.649154,5.799437,13.491413,5.037011,-310.718344,1.157617
0.020000,5.082040,4.900232,6.068981,13.477211,-0.710108,-287.355957,1.238672
0.020000,5.159482,5.156225,6.336432,13.372532,-5.233939,-226.191513,1.314559
0.020000,5.217378,5.413985,6.600614,13.209083,-8.172457,-146.925942,1.384203
0.020000,5.257483,5.671230,6.860967,13.017653,-9.571473,-69.950757,1.447093
0.020000,5.281855,5.926526,7.117424,12.822848,-9.740298,-8.441286,1.503168
0.020000,5.292571,6.179126,7.370250,12.641337,-9.075515,33.239169,1.552672
0.020000,5.291572,6.428775,7.619902,12.482568,-7.938478,56.851857,1.596022
0.020000,5.280587,6.675541,7.866912,12.350507,-6.603034,66.772214,1.633709
0.020000,5.261146,6.919421,8.111565,12.232658,-5.892453,35.529027,1.666196
0.020000,5.234638,7.160281,8.353880,12.115748,-5.845493,2.348008,1.693906
0.020000,5.202315,7.398066,8.593851,11.998574,-5.858719,-0.661301,1.717240
0.020000,5.165307,7.632745,8.831430,11.878939,-5.981755,-6.151824,1.736561
0.020000,5.124642,7.864285,9.066514,11.754191,-6.237381,-12.781271,1.752179
0.020000,5.081262,8.092631,9.298945,11.621545,-6.632317,-19.746810,1.764357
0.020000,5.036040,8.317698,9.528510,11.478254,-7.164510,-26.609654,1.773306
0.020000,4.989791,8.539359,9.754944,11.321700,-7.827723,-33.160632,1.779189
