dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.000120,19.093708,0.000220,0.022019,1.100963,55.048130,0.000025
0.020000,17.000839,19.093708,0.000939,0.035952,0.696654,-20.215414,0.000173
0.020000,17.002457,19.093709,0.002557,0.080897,2.247237,77.529113,0.000505
0.020000,17.005334,19.093711,0.005434,0.143832,3.146735,44.974933,0.001096
0.020000,17.009829,19.093718,0.009929,0.224775,4.047167,45.021575,0.002019
0.020000,17.016304,19.093735,0.016404,0.323758,4.949141,45.098725,0.003346
0.020000,17.025121,19.093773,0.025221,0.440827,5.853445,45.215181,0.005150
0.020000,17.036641,19.093846,0.036742,0.576048,6.761061,45.380831,0.007501
0.020000,17.051051,19.093975,0.051152,0.720503,7.222733,23.083601,0.010432
0.020000,17.068355,19.094186,0.068457,0.865263,7.238014,0.764040,0.013937
0.020000,17.088560,19.094509,0.088665,1.010400,7.256867,0.942659,0.018009
0.020000,17.111675,19.094978,0.111785,1.155992,7.279562,1.134743,0.022640
0.020000,17.137709,19.095636,0.137828,1.302120,7.306402,1.341994,0.027820
0.020000,17.166673,19.096524,0.166805,1.448874,7.337719,1.565827,0.033537
0.020000,17.198579,19.097695,0.198732,1.596351,7.373866,1.807382,0.039779
0.020000,17.233440,19.099200,0.233625,1.744656,7.415214,2.067369,0.046530
0.020000,17.271270,19.101099,0.271503,1.893898,7.462136,2.346103,0.053773
0.020000,17.312086,19.103455,0.312387,2.044198,7.515004,2.643401,0.061489
0.020000,17.355905,19.106333,0.356301,2.195682,7.574175,2.958581,0.069656
0.020000,17.402746,19.109804,0.403270,2.348482,7.639983,3.290376,0.078251
0.020000,17.452630,19.113942,0.453325,2.502736,7.712722,3.636973,0.087245
0.020000,17.505577,19.118823,0.506497,2.658589,7.792642,3.995964,0.096611
0.020000,17.561611,19.124530,0.562821,2.816187,7.879930,4.364397,0.106316
0.020000,17.620756,19.131142,0.622334,2.975682,7.974706,4.738810,0.116326
0.020000,17.683038,19.138746,0.685079,3.137222,8.077012,5.115320,0.126603
0.020000,17.748484,19.147428,0.751098,3.300958,8.186807,5.489720,0.137107
0.020000,17.817122,19.157274,0.820439,3.467037,8.303959,5.857609,0.147795
0.020000,17.888982,19.168373,0.893151,3.635602,8.428250,6.214581,0.158622
0.020000,17.964095,19.180812,0.969286,3.806790,8.559378,6.556377,0.169540
0.020000,18.042492,19.194678,1.048901,3.980729,8.696960,6.879098,0.180498
0.020000,18.124209,19.210056,1.132052,4.157540,8.840548,7.179400,0.191444
0.020000,18.209279,19.227029,1.218798,4.337333,8.989642,7.454685,0.202324
0.020000,18.297739,19.245676,1.309203,4.520207,9.143707,7.703277,0.213081
0.020000,18.389628,19.266072,1.403328,4.706251,9.302199,7.924566,0.223657
0.020000,18.484985,19.288286,1.501238,4.895542,9.464581,8.119114,0.233992
0.020000,18.583854,19.312384,1.603001,5.088150,9.630355,8.288715,0.244027
0.020000,18.686279,19.338420,1.708684,5.284131,9.799083,8.436410,0.253699
0.020000,18.792309,19.366443,1.818355,5.483539,9.970412,8.566436,0.262946
0.020000,18.901996,19.396493,1.932083,5.686421,10.144095,8.684150,0.271705
0.020000,19.015396,19.428596,2.049940,5.892822,10.320013,8.795875,0.279910
0.020000,19.132570,19.462770,2.171995,6.102785,10.498187,8.908737,0.287497
0.020000,19.253585,19.499018,2.298323,6.316361,10.678796,9.030440,0.294400
0.020000,19.378314,19.537267,2.428784,6.523093,10.336591,-17.110258,0.300542
0.020000,19.506430,19.577359,2.563027,6.712114,9.451040,-44.277535,0.305845
0.020000,19.637602,19.619106,2.700683,6.882809,8.534777,-45.813139,0.310241
0.020000,19.771499,19.662300,2.841374,7.034556,7.587338,-47.371991,0.313675
0.020000,19.907782,19.706704,2.984709,7.166726,6.608510,-48.941390,0.316100
0.020000,20.046108,19.752065,3.130282,7.278691,5.598232,-50.513875,0.317485
0.020000,20.186043,19.798087,3.277591,7.365439,4.337397,-63.041781,0.317808
0.020000,20.326932,19.844389,3.425893,7.415088,2.482438,-92.747918,0.317063
0.020000,20.468181,19.890610,3.574512,7.430971,0.794173,-84.413247,0.315263
0.020000,20.609393,19.936458,3.722980,7.423400,-0.378557,-58.636498,0.312435
0.020000,20.750153,19.981642,3.870815,7.391746,-1.582721,-60.208218,0.308617
0.020000,20.890032,20.025881,4.017523,7.335380,-2.818297,-61.778825,0.303857
0.020000,21.028578,20.068908,4.162596,7.253676,-4.085173,-63.343776,0.298217
0.020000,21.165322,20.110469,4.305517,7.146015,-5.383045,-64.893615,0.291768
0.020000,21.299861,20.150361,4.445846,7.016439,-6.478796,-54.787533,0.284588
0.020000,21.432003,20.188464,4.583371,6.876265,-7.008711,-26.495765,0.276751
0.020000,21.561681,20.224716,4.718021,6.732499,-7.188293,-8.979078,0.268322
0.020000,21.688825,20.259071,4.849725,6.585189,-7.365523,-8.861504,0.259364
0.020000,21.813360,20.291496,4.978412,6.434379,-7.540518,-8.749742,0.249944
0.020000,21.935209,20.321972,5.104014,6.280114,-7.713243,-8.636284,0.240123
0.020000,22.054290,20.350494,5.226463,6.122443,-7.883529,-8.514299,0.229964
0.020000,22.170519,20.377070,5.345692,5.961421,-8.051086,-8.377819,0.219528
0.020000,22.283810,20.401720,5.461634,5.797111,-8.215524,-8.221916,0.208876
0.020000,22.394078,20.424476,5.574226,5.629583,-8.376380,-8.042810,0.198066
0.020000,22.501237,20.445379,5.683404,5.458921,-8.533139,-7.837948,0.187156
0.020000,22.605201,20.464481,5.789108,5.285215,-8.685260,-7.606018,0.176201
0.020000,22.705887,20.481843,5.891280,5.108571,-8.832198,-7.346929,0.165255
0.020000,22.803212,20.497533,5.989862,4.929103,-8.973432,-7.061715,0.154369
0.020000,22.897099,20.511627,6.084800,4.746933,-9.108481,-6.752432,0.143594
0.020000,22.987471,20.524206,6.176044,4.562195,-9.236921,-6.421984,0.132975
0.020000,23.074258,20.535357,6.263545,4.375027,-9.358400,-6.073955,0.122558
0.020000,23.157393,20.545169,6.347256,4.185574,-9.472648,-5.712397,0.112384
0.020000,23.236812,20.553736,6.427136,3.993984,-9.579481,-5.341647,0.102493
0.020000,23.312457,20.561152,6.503144,3.800408,-9.678803,-4.966130,0.092920
0.020000,23.384276,20.567511,6.575244,3.604996,-9.770607,-4.590172,0.083699
0.020000,23.452220,20.572910,6.643402,3.407897,-9.854964,-4.217870,0.074861
0.020000,23.516245,20.577441,6.707587,3.209256,-9.932023,-3.852950,0.066435
0.020000,23.576312,20.581197,6.767772,3.009216,-10.001997,-3.498679,0.058445
0.020000,23.632386,20.584267,6.823930,2.807913,-10.065153,-3.157787,0.050915
0.020000,23.684437,20.586736,6.876039,2.605477,-10.121802,-2.832465,0.043866
