dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.000174,16.906292,0.000220,0.022019,1.100963,55.048130,0.000025
0.020000,17.001216,16.906292,0.001263,0.052125,1.505271,20.215414,0.000173
0.020000,17.003562,16.906293,0.003608,0.117276,3.257576,87.615275,0.000505
0.020000,17.007732,16.906296,0.007778,0.208476,4.560003,65.121319,0.001096
0.020000,17.014246,16.906306,0.014292,0.325706,5.861496,65.074659,0.002019
0.020000,17.023624,16.906332,0.023671,0.468935,7.161445,64.997472,0.003346
0.020000,17.036387,16.906386,0.036433,0.638116,8.459065,64.880962,0.005150
0.020000,17.053050,16.906491,0.053097,0.833184,9.753369,64.715196,0.007501
0.020000,17.073870,16.906678,0.073917,1.041037,10.392653,31.964220,0.010432
0.020000,17.098840,16.906982,0.098889,1.248584,10.377365,-0.764407,0.013937
0.020000,17.127951,16.907447,0.128004,1.455754,10.358503,-0.943092,0.018009
0.020000,17.161193,16.908123,0.161253,1.662470,10.335798,-1.135225,0.022640
0.020000,17.198555,16.909066,0.198626,1.868649,10.308948,-1.342511,0.027820
0.020000,17.240019,16.910338,0.240110,2.074201,10.277620,-1.566407,0.033537
0.020000,17.285569,16.912009,0.285691,2.279031,10.241461,-1.807976,0.039779
0.020000,17.335183,16.914152,0.335352,2.483033,10.200101,-2.067982,0.046530
0.020000,17.388838,16.916845,0.389074,2.686096,10.153167,-2.346713,0.053773
0.020000,17.446504,16.920173,0.446836,2.888102,10.100286,-2.644007,0.061489
0.020000,17.508150,16.924221,0.508614,3.088924,10.041104,-2.959147,0.069656
0.020000,17.573738,16.929081,0.574383,3.288430,9.975286,-3.290901,0.078251
0.020000,17.643229,16.934845,0.644112,3.486480,9.902537,-3.637426,0.087245
0.020000,17.716577,16.941608,0.717771,3.682933,9.822610,-3.996330,0.096611
0.020000,17.793731,16.949464,0.795324,3.877639,9.735317,-4.364655,0.106316
0.020000,17.874636,16.958509,0.876733,4.070450,9.640538,-4.738946,0.116326
0.020000,17.959232,16.968837,0.961957,4.261214,9.538232,-5.115312,0.126603
0.020000,18.047455,16.980539,1.050953,4.449783,9.428441,-5.489547,0.137107
0.020000,18.139236,16.993705,1.143673,4.636009,9.311296,-5.857270,0.147795
0.020000,18.234501,17.008418,1.240068,4.819749,9.187015,-6.214059,0.158622
0.020000,18.333175,17.024758,1.340085,5.000867,9.055901,-6.555669,0.169540
0.020000,18.435176,17.042798,1.443670,5.179234,8.918337,-6.878204,0.180498
0.020000,18.540424,17.062603,1.550765,5.354729,8.774771,-7.178326,0.191444
0.020000,18.648832,17.084231,1.661309,5.527244,8.625702,-7.453444,0.202324
