dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.000161,18.000000,0.000222,0.022177,1.108871,55.443548,6.283169
0.020000,17.001048,18.000000,0.001109,0.066532,2.217742,55.443548,6.283076
0.020000,17.003044,18.000000,0.003105,0.133065,3.326613,55.443548,6.282868
0.020000,17.006593,17.999998,0.006653,0.221774,4.435484,55.443548,6.282499
0.020000,17.012137,17.999992,0.012198,0.332661,5.544355,55.443548,6.281919
0.020000,17.020121,17.999979,0.020181,0.465726,6.653226,55.443548,6.281081
0.020000,17.030988,17.999950,0.031048,0.620968,7.762097,55.443548,6.279935
0.020000,17.045181,17.999893,0.045242,0.798387,8.870968,55.443548,6.278428
0.020000,17.062923,17.999792,0.062984,0.975806,8.870968,-0.000000,6.276528
0.020000,17.084212,17.999626,0.084274,1.153226,8.870968,0.000000,6.274223
0.020000,17.109050,17.999369,0.109113,1.330645,8.870968,-0.000000,6.271499
0.020000,17.137434,17.998993,0.137500,1.508065,8.870968,0.000000,6.268340
0.020000,17.169365,17.998461,0.169435,1.685484,8.870968,0.000000,6.264727
0.020000,17.204842,17.997734,0.204919,1.862903,8.870968,-0.000000,6.260637
0.020000,17.243862,17.996765,0.243952,2.040323,8.870968,0.000000,6.256043
0.020000,17.286424,17.995500,0.286532,2.217742,8.870968,-0.000000,6.250917
0.020000,17.332524,17.993881,0.332661,2.395161,8.870968,0.000000,6.245225
0.020000,17.382160,17.991841,0.382339,2.572581,8.870968,0.000000,6.238927
0.020000,17.435325,17.989302,0.435565,2.750000,8.870968,0.000000,6.231981
0.020000,17.492013,17.986181,0.492339,2.927419,8.870968,-0.000000,6.224338
0.020000,17.552216,17.982382,0.552661,3.104839,8.870968,0.000000,6.215942
0.020000,17.615922,17.977798,0.616532,3.282258,8.870968,-0.000000,6.206731
0.020000,17.683117,17.972312,0.683952,3.459677,8.870968,0.000000,6.196634
0.020000,17.753784,17.965789,0.754919,3.637097,8.870968,0.000000,6.185572
0.020000,17.827900,17.958081,0.829435,3.814516,8.870968,0.000000,6.173455
0.020000,17.905437,17.949021,0.907500,3.991935,8.870968,-0.000000,6.160181
0.020000,17.986358,17.938424,0.989113,4.169355,8.870968,-0.000000,6.145637
0.020000,18.070619,17.926080,1.074274,4.346774,8.870968,0.000000,6.129692
0.020000,18.158164,17.911758,1.162984,4.524194,8.870968,0.000000,6.112201
0.020000,18.248922,17.895197,1.255242,4.701613,8.870968,0.000000,6.093001
0.020000,18.342805,17.876104,1.351048,4.879032,8.870968,-0.000000,6.071908
0.020000,18.439702,17.854155,1.450403,5.056452,8.870968,0.000000,6.048716
0.020000,18.539477,17.828986,1.553306,5.233871,8.870968,0.000000,6.023200
0.020000,18.641958,17.800195,1.659758,5.411290,8.870968,-0.000000,5.995109
0.020000,18.746930,17.767335,1.769758,5.588710,8.870968,0.000000,5.964175
0.020000,18.854129,17.729913,1.883306,5.766129,8.870968,-0.000000,5.930114
0.020000,18.963227,17.687396,2.000403,5.943548,8.870968,0.000000,5.892635
0.020000,19.073821,17.639208,2.121048,6.120968,8.870968,-0.000000,5.851457
0.020000,19.185421,17.584738,2.245242,6.298387,8.870968,0.000000,5.806328
0.020000,19.297437,17.523361,2.372984,6.475806,8.870968,-0.000000,5.757058
0.020000,19.409170,17.454450,2.504274,6.653226,8.870968,-0.000000,5.703560
0.020000,19.519810,17.377410,2.639113,6.830645,8.870968,0.000000,5.645896
0.020000,19.628444,17.291715,2.777500,7.008065,8.870968,-0.000000,5.584323
0.020000,19.734076,17.196949,2.919435,7.185484,8.870968,0.000000,5.519333
0.020000,19.835662,17.092844,3.064919,7.362903,8.870968,-0.000000,5.451658
0.020000,19.932167,16.979317,3.213952,7.540323,8.870968,0.000000,5.382252
0.020000,20.022620,16.856478,3.366532,7.717742,8.870968,0.000000,5.312215
0.020000,20.106177,16.724627,3.522661,7.895161,8.870968,-0.000000,5.242696
0.020000,20.182161,16.584222,3.682339,8.072581,8.870968,0.000000,5.174780
0.020000,20.250095,16.435837,3.845565,8.250000,8.870968,0.000000,5.109392
0.020000,20.309696,16.280105,4.012339,8.427419,8.870968,0.000000,5.047234
0.020000,20.360866,16.117676,4.182661,8.604839,8.870968,0.000000,4.988768
0.020000,20.403656,15.949175,4.356532,8.782258,8.870968,-0.000000,4.934233
0.020000,20.438231,15.775176,4.533952,8.959677,8.870968,0.000000,4.883679
0.020000,20.464837,15.596192,4.714919,9.137097,8.870968,-0.000000,4.837021
0.020000,20.483768,15.412664,4.899435,9.314516,8.870968,0.000000,4.794075
0.020000,20.495347,15.224968,5.087500,9.491935,8.870968,0.000000,4.754604
0.020000,20.499901,15.033420,5.279113,9.669355,8.870968,0.000000,4.718341
0.020000,20.500000,14.838309,5.474274,9.846774,8.870968,-0.000000,4.712389
0.020000,20.500000,14.639599,5.672984,10.024194,8.870968,0.000000,4.712389
0.020000,20.500000,14.437341,5.875242,10.201613,8.870968,0.000000,4.712389
0.020000,20.500000,14.231534,6.081048,10.379032,8.870968,0.000000,4.712389
0.020000,20.500000,14.022401,6.290181,10.534274,7.762097,-55.443548,4.712389
