dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.000179,19.093708,0.000222,0.022177,1.108871,55.443548,6.283169
0.020000,17.001167,19.093708,0.001210,0.049401,1.361190,12.615973,6.283076
0.020000,17.003391,19.093707,0.003433,0.111162,3.088024,86.341698,6.282868
0.020000,17.007344,19.093705,0.007386,0.197651,4.324488,61.823186,6.282499
0.020000,17.013522,19.093699,0.013564,0.308909,5.562883,61.919758,6.281919
0.020000,17.022422,19.093684,0.022464,0.444998,6.804463,62.078975,6.281081
0.020000,17.034542,19.093652,0.034585,0.606015,8.050822,62.317946,6.279935
0.020000,17.050384,19.093589,0.050426,0.792093,9.303933,62.655584,6.278428
0.020000,17.070204,19.093476,0.070247,0.991023,9.946480,32.127356,6.276528
0.020000,17.094015,19.093290,0.094058,1.190572,9.977423,1.547151,6.274223
0.020000,17.121831,19.093002,0.121876,1.390878,10.015309,1.894266,6.271499
0.020000,17.153670,19.092580,0.153718,1.592089,10.060573,2.263188,6.268340
0.020000,17.189552,19.091983,0.189605,1.794364,10.113744,2.658547,6.264727
0.020000,17.229501,19.091164,0.229562,1.997873,10.175456,3.085626,6.260637
0.020000,17.273544,19.090070,0.273618,2.202802,10.246461,3.550267,6.256043
0.020000,17.321709,19.088639,0.321806,2.409355,10.327643,4.059066,6.250917
0.020000,17.374032,19.086802,0.374161,2.617756,10.420034,4.619588,6.245225
0.020000,17.430550,19.084478,0.430726,2.828253,10.524841,5.240330,6.238927
0.020000,17.491303,19.081576,0.491548,3.041122,10.643463,5.931085,6.231981
0.020000,17.556338,19.077995,0.556682,3.256672,10.777522,6.702956,6.224338
0.020000,17.625705,19.073618,0.626187,3.475250,10.928892,7.568515,6.215942
0.020000,17.699459,19.068311,0.700131,3.697245,11.099734,8.542109,6.206731
0.020000,17.777661,19.061926,0.778593,3.923096,11.292529,9.639709,6.196634
0.020000,17.860375,19.054290,0.861659,4.153298,11.510110,10.879085,6.185572
0.020000,17.947672,19.045211,0.949428,4.388412,11.755702,12.279592,6.173455
0.020000,18.039628,19.034466,1.042009,4.629071,12.032935,13.861629,6.160181
0.020000,18.136322,19.021802,1.139529,4.875988,12.345851,15.645805,6.145637
0.020000,18.237838,19.006930,1.242128,5.129965,12.698876,17.651241,6.129692
0.020000,18.344261,18.989517,1.349966,5.391900,13.096730,19.892719,6.112201
0.020000,18.455676,18.969184,1.463222,5.662785,13.544253,22.376175,6.093001
0.020000,18.572165,18.945492,1.582096,5.943706,14.046084,25.091540,6.071908
0.020000,18.693800,18.917937,1.706812,6.235829,14.606119,28.001759,6.048716
0.020000,18.820633,18.885939,1.837620,6.540362,15.226657,31.026874,6.023200
0.020000,18.952689,18.848834,1.974790,6.858503,15.907074,34.020852,5.995109
0.020000,19.089946,18.805861,2.118617,7.191341,16.641880,36.740298,5.964175
0.020000,19.232313,18.756156,2.269411,7.539700,17.417968,38.804387,5.930114
0.020000,19.379599,18.698748,2.427489,7.903919,18.210952,39.649237,5.892635
0.020000,19.531474,18.632561,2.593160,8.283533,18.980676,38.486199,5.851457
0.020000,19.687422,18.556434,2.766697,8.676861,19.666401,34.286210,5.806328
0.020000,19.846684,18.469154,2.948307,9.080521,20.182984,25.829196,5.757058
0.020000,20.008205,18.369520,3.138086,9.488930,20.420489,11.875206,5.703560
0.020000,20.170588,18.256436,3.335965,9.893947,20.250807,-8.484082,5.645896
0.020000,20.332078,18.129031,3.541662,10.284851,19.545220,-35.279358,5.584323
0.020000,20.490603,17.986799,3.754641,10.648943,18.204608,-67.030569,5.519333
0.020000,20.643869,17.829728,3.974099,10.972907,16.198202,-100.320335,5.451658
0.020000,20.789532,17.658377,4.198996,11.244870,13.598158,-130.002163,5.382252
0.020000,20.925404,17.473874,4.428130,11.456697,10.591359,-150.339965,5.312215
0.020000,21.049666,17.277822,4.660246,11.605779,7.454070,-156.864446,5.242696
0.020000,21.161017,17.072113,4.894158,11.695619,4.491981,-148.104479,5.174780
0.020000,21.258738,16.858725,5.128858,11.734981,1.968121,-126.192999,5.109392
0.020000,21.342661,16.639522,5.363577,11.735956,0.048760,-95.968029,5.047234
0.020000,21.413068,16.416121,5.597810,11.711677,-1.213933,-63.134647,4.988768
0.020000,21.470561,16.189822,5.831298,11.674392,-1.864275,-32.517118,4.934233
0.020000,21.515933,15.961603,6.063983,11.634258,-2.006723,-7.122396,4.883679
0.020000,21.550061,15.732150,6.295961,11.598885,-1.768617,11.905295,4.837021
0.020000,21.573829,15.501905,6.527430,11.573429,-1.272792,24.791247,4.794075
0.020000,21.588080,15.271125,6.758649,11.560977,-0.622616,32.508814,4.754604
0.020000,21.593589,15.039930,6.989910,11.563036,0.102938,36.277708,4.718341
0.020000,21.593708,14.838309,7.191531,10.081051,-74.099231,-3710.108473,4.712389
0.020000,21.593708,14.639599,7.390241,9.935484,-7.278363,3341.043408,4.712389
0.020000,21.593708,14.437341,7.592499,10.112903,8.870968,807.466545,4.712389
0.020000,21.593708,14.231534,7.798305,10.290323,8.870968,-0.000000,4.712389
