dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.000143,16.906292,0.000222,0.022177,1.108871,55.443548,6.283169
0.020000,17.000929,16.906292,0.001008,0.039308,0.856551,-12.615974,6.283076
0.020000,17.002698,16.906292,0.002777,0.088435,2.456330,79.988947,6.282868
0.020000,17.005841,16.906290,0.005920,0.157187,3.437609,49.063917,6.282499
0.020000,17.010752,16.906285,0.010831,0.245526,4.416955,48.967307,6.281919
0.020000,17.017820,16.906273,0.017899,0.353389,5.393117,48.808129,6.281081
0.020000,17.027433,16.906248,0.027512,0.480679,6.364499,48.569068,6.279935
0.020000,17.039978,16.906197,0.040057,0.627261,7.329128,48.231440,6.278428
0.020000,17.055641,16.906108,0.055721,0.783170,7.795448,23.316031,6.276528
0.020000,17.074410,16.905961,0.074490,0.938460,7.764502,-1.547324,6.274223
0.020000,17.096269,16.905736,0.096350,1.092992,7.726612,-1.894505,6.271499
0.020000,17.121199,16.905405,0.121282,1.246619,7.681343,-2.263457,6.268340
0.020000,17.149179,16.904939,0.149266,1.399183,7.628164,-2.658923,6.264727
0.020000,17.180182,16.904304,0.180276,1.550511,7.566443,-3.086079,6.260637
0.020000,17.214180,16.903459,0.214285,1.700420,7.495426,-3.550809,6.256043
0.020000,17.251138,16.902362,0.251259,1.848705,7.414231,-4.059759,6.250917
0.020000,17.291016,16.900961,0.291162,1.995141,7.321823,-4.620413,6.245225
0.020000,17.333770,16.899204,0.333951,2.139481,7.216995,-5.241375,6.238927
0.020000,17.379347,16.897027,0.379580,2.281448,7.098348,-5.932367,6.231981
0.020000,17.427688,16.894366,0.427995,2.420733,6.964258,-6.704511,6.224338
0.020000,17.478727,16.891145,0.479135,2.556990,6.812848,-7.570476,6.215942
0.020000,17.532385,16.887285,0.532931,2.689829,6.641958,-8.544510,6.206731
0.020000,17.588574,16.882698,0.589307,2.818811,6.449104,-9.642695,6.196634
0.020000,17.647194,16.877287,0.648176,2.943440,6.231448,-10.882819,6.185572
0.020000,17.708128,16.870951,0.709439,3.063155,5.985763,-12.284227,6.173455
0.020000,17.771245,16.863576,0.772986,3.177324,5.708415,-13.867424,6.160181
0.020000,17.836394,16.855046,0.838690,3.285231,5.395353,-15.653072,6.145637
0.020000,17.903400,16.845231,0.906412,3.386074,5.042146,-17.660355,6.129692
0.020000,17.972067,16.833999,0.975991,3.478955,4.644063,-19.904186,6.112201
0.020000,18.042167,16.821209,1.047249,3.562880,4.196250,-22.390613,6.093001
0.020000,18.113444,16.806716,1.119984,3.636761,3.694057,-25.109685,6.071908
0.020000,18.185605,16.790373,1.193972,3.699432,3.133564,-28.024615,6.048716
0.020000,18.258322,16.772034,1.268966,3.749682,2.512453,-31.055550,6.023200
0.020000,18.331226,16.751556,1.344692,3.786308,1.831320,-34.056660,5.995109
0.020000,18.403914,16.728808,1.420857,3.808220,1.095627,-36.784661,5.964175
0.020000,18.475946,16.703670,1.497148,3.814589,0.318452,-38.858726,5.930114
0.020000,18.546856,16.676045,1.573250,3.805073,-0.475839,-39.714583,5.892635
0.020000,18.616169,16.645854,1.648852,3.780131,-1.247094,-38.562739,5.851457
0.020000,18.683420,16.613043,1.723681,3.741440,-1.934543,-34.372457,5.806328
0.020000,18.748189,16.577568,1.797529,3.692381,-2.452960,-25.920833,5.757058
0.020000,18.810135,16.539379,1.870300,3.638536,-2.692238,-11.963899,5.703560
0.020000,18.869033,16.498384,1.942061,3.588056,-2.524007,8.411558,5.645896
0.020000,18.924811,16.454400,2.013094,3.551672,-1.819191,35.240768,5.584323
0.020000,18.977548,16.407099,2.083936,3.542106,-0.478283,67.045442,5.519333
0.020000,19.027454,16.355961,2.155390,3.572703,1.529806,100.404444,5.451658
0.020000,19.074801,16.300257,2.228498,3.655363,4.133012,130.160301,5.382252
0.020000,19.119836,16.239081,2.304463,3.798247,7.144220,150.560397,5.312215
0.020000,19.162688,16.171431,2.384542,4.003979,10.286602,157.119089,5.242696
0.020000,19.203305,16.096331,2.469923,4.269054,13.253728,148.356316,5.174780
0.020000,19.241451,16.012948,2.561617,4.584691,15.781881,126.407637,5.109392
0.020000,19.276731,15.920688,2.660393,4.938778,17.704346,96.123260,5.047234
0.020000,19.308665,15.819232,2.766756,5.318155,18.968829,63.224138,4.988768
0.020000,19.336751,15.708528,2.880967,5.710551,19.619780,32.547528,4.934233
0.020000,19.360529,15.588749,3.003082,6.105789,19.761931,7.107592,4.883679
0.020000,19.379612,15.460234,3.133007,6.496248,19.522939,-11.949642,4.837021
0.020000,19.393707,15.323422,3.270543,6.876766,19.025906,-24.851623,4.794075
0.020000,19.402613,15.178811,3.415428,7.244254,18.374406,-32.574987,4.754604
0.020000,19.406212,15.026910,3.567372,7.597205,17.647545,-36.343085,4.718341
0.020000,19.406292,14.838309,3.755973,9.430061,91.642790,3699.762269,4.712389
0.020000,19.406292,14.639599,3.954683,9.935484,25.271151,-3318.581955,4.712389
0.020000,19.406292,14.437341,4.156941,10.112903,8.870968,-820.009163,4.712389
0.020000,19.406292,14.231534,4.362747,10.290323,8.870968,-0.000000,4.712389
0.020000,19.406292,14.022401,4.571880,10.456653,8.316532,-27.721774,4.712389
0.020000,19.406292,13.810385,4.783897,10.600806,7.207661,-55.443548,4.712389
0.020000,19.406292,13.595930,4.998352,10.722782,6.098790,-55.443548,4.712389
0.020000,19.406292,13.379478,5.214804,10.822581,4.989919,-55.443548,4.712389
0.020000,19.406292,13.161474,5.432808,10.900202,3.881048,-55.443548,4.712389
0.020000,19.406292,12.942361,5.651921,10.955645,2.772177,-55.443548,4.712389
0.020000,19.406292,12.722583,5.871699,10.988911,1.663306,-55.443548,4.712389
0.020000,19.406292,12.502583,6.091699,11.000000,0.554435,-55.443548,4.712389
0.020000,19.406292,12.282583,6.311699,11.000000,0.000000,-27.721774,4.712389
0.020000,19.406292,12.062799,6.531482,10.989170,-0.541518,-27.075888,4.712389
0.020000,19.406292,11.843671,6.750611,10.956420,-1.637471,-54.797662,4.712389
0.020000,19.406292,11.625641,6.968641,10.901493,-2.746342,-55.443548,4.712389
0.020000,19.406292,11.409153,7.185128,10.824389,-3.855213,-55.443548,4.712389
0.020000,19.406292,11.194651,7.399631,10.725107,-4.964084,-55.443548,4.712389
0.020000,19.406292,10.982578,7.611704,10.603648,-6.072955,-55.443548,4.712389
0.020000,19.406292,10.773378,7.820904,10.460012,-7.181826,-55.443548,4.712389
0.020000,19.406292,10.567494,8.026788,10.294198,-8.290697,-55.443548,4.712389
0.020000,19.406292,10.365153,8.229128,10.117037,-8.858050,-28.367661,4.712389
0.020000,19.406292,10.166361,8.427921,9.939618,-8.870968,-0.645886,4.712389
0.020000,19.406380,9.965582,8.628699,10.038925,4.965376,691.817189,4.717514
0.020000,19.411690,9.734380,8.859962,11.563154,76.211441,3562.303266,4.753703
0.020000,19.425723,9.503592,9.091177,11.560737,-0.120860,-3816.615059,4.793094
0.020000,19.449255,9.273334,9.322634,11.572851,0.605691,36.327521,4.835954
0.020000,19.483125,9.043860,9.554595,11.598020,1.258451,32.638027,4.882521
0.020000,19.528218,8.815608,9.787259,11.633200,1.759035,25.029187,4.932980
0.020000,19.585411,8.589255,10.020724,11.673293,2.004640,12.280259,4.987419
0.020000,19.655501,8.365774,10.254939,11.710749,1.872774,-6.593280,5.045792
0.020000,19.739094,8.146455,10.489649,11.735467,1.235947,-31.841348,5.107866
0.020000,19.836484,7.932910,10.724354,11.735243,-0.011246,-62.359674,5.173183
0.020000,19.947513,7.726998,10.958292,11.696942,-1.915011,-95.188253,5.241047
0.020000,20.071477,7.530694,11.190461,11.608426,-4.425807,-125.539779,5.310539
0.020000,20.207089,7.345897,11.419677,11.460825,-7.380057,-147.712502,5.380576
0.020000,20.352539,7.174218,11.644687,11.250494,-10.516557,-156.825008,5.450009
0.020000,20.505647,7.016798,11.864285,10.979897,-13.529833,-150.663823,5.517736
0.020000,20.664071,6.874211,12.077426,10.657055,-16.142129,-130.614767,5.582800
0.020000,20.825512,6.746456,12.283302,10.293775,-18.163978,-101.092485,5.644460
0.020000,20.987892,6.633038,12.481369,9.903365,-19.520489,-67.825534,5.702221
0.020000,21.149448,6.533095,12.671340,9.498559,-20.240314,-35.991250,5.755819
0.020000,21.308775,6.445533,12.853143,9.090131,-20.421394,-9.054006,5.805189
0.020000,21.464810,6.369154,13.026869,8.686289,-20.192132,11.463089,5.850416
0.020000,21.616786,6.302742,13.192722,8.292671,-19.680896,25.561826,5.891686
0.020000,21.764184,6.245137,13.350976,7.912707,-18.998167,34.136419,5.929250
0.020000,21.906668,6.195259,13.501939,7.548113,-18.229693,38.423721,5.963389
0.020000,22.044046,6.152135,13.645926,7.199378,-17.436758,39.646740,5.994394
0.020000,22.176225,6.114898,13.783250,6.866179,-16.659956,38.840095,6.022550
0.020000,22.303180,6.082786,13.914204,6.547699,-15.923996,36.798006,6.048125
0.020000,22.424936,6.055131,14.039061,6.242855,-15.242208,34.089419,6.071369
0.020000,22.541545,6.031351,14.158070,5.950450,-14.620230,31.098895,6.092510
0.020000,22.653079,6.010942,14.271455,5.669275,-14.058777,28.072663,6.111753
0.020000,22.759618,5.993465,14.379419,5.398163,-13.555603,25.158661,6.129283
0.020000,22.861248,5.978535,14.482139,5.136026,-13.106840,22.438180,6.145263
0.020000,22.958054,5.965821,14.579776,4.881869,-12.707859,19.949051,6.159840
0.020000,23.050120,5.955033,14.672472,4.634792,-12.353822,17.701853,6.173143
0.020000,23.137525,5.945916,14.760352,4.393992,-12.040002,15.690978,6.185286
0.020000,23.220346,5.938247,14.843527,4.158753,-11.761968,13.901733,6.196372
0.020000,23.298653,5.931834,14.922096,3.928440,-11.515665,12.315140,6.206491
0.020000,23.372511,5.926503,14.996146,3.702491,-11.297454,10.910553,6.215723
0.020000,23.441980,5.922104,15.065754,3.480409,-11.104103,9.667540,6.224137
0.020000,23.507115,5.918505,15.130989,3.261753,-10.932767,8.566793,6.231798
0.020000,23.567968,5.915588,15.191912,3.046134,-10.780958,7.590429,6.238760
0.020000,23.624584,5.913251,15.248576,2.833204,-10.646509,6.722450,6.245072
0.020000,23.677004,5.911403,15.301029,2.622653,-10.527540,5.948492,6.250779
0.020000,23.725267,5.909963,15.349313,2.414205,-10.422420,5.255958,6.255918
0.020000,23.769406,5.908861,15.393465,2.207610,-10.329748,4.633613,6.260524
0.020000,23.809450,5.908036,15.433518,2.002643,-10.248312,4.071788,6.264626
0.020000,23.845427,5.907433,15.469500,1.799102,-10.177076,3.561812,6.268250
0.020000,23.877360,5.907007,15.501436,1.596799,-10.115152,3.096211,6.271419
0.020000,23.905270,5.906717,15.529347,1.395563,-10.061786,2.668284,6.274153
0.020000,23.929174,5.906529,15.553252,1.195236,-10.016342,2.272214,6.276468
0.020000,23.949087,5.906414,15.573165,0.995671,-9.978287,1.902729,6.278378
0.020000,23.965021,5.906349,15.589100,0.796727,-9.947185,1.555114,6.279894
