dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.000169,8.500000,0.000222,0.022177,1.108871,55.443548,0.000001
0.020000,17.001056,8.500000,0.001109,0.066532,2.217742,55.443548,0.000008
0.020000,17.003052,8.500000,0.003105,0.133065,3.326613,55.443548,0.000022
0.020000,17.006600,8.500000,0.006653,0.221774,4.435484,55.443548,0.000049
0.020000,17.012145,8.500001,0.012198,0.332661,5.544355,55.443548,0.000094
0.020000,17.020129,8.500002,0.020181,0.465726,6.653226,55.443548,0.000164
0.020000,17.030996,8.500004,0.031048,0.620968,7.762097,55.443548,0.000269
0.020000,17.045189,8.500009,0.045242,0.798387,8.870968,55.443548,0.000423
0.020000,17.062931,8.500018,0.062984,0.975806,8.870968,-0.000000,0.000644
0.020000,17.084221,8.500035,0.084274,1.153226,8.870968,0.000000,0.000950
0.020000,17.109060,8.500064,0.109113,1.330645,8.870968,-0.000000,0.001363
0.020000,17.137447,8.500110,0.137500,1.508065,8.870968,0.000000,0.001909
0.020000,17.169382,8.500182,0.169435,1.685484,8.870968,0.000000,0.002619
0.020000,17.204866,8.500291,0.204919,1.862903,8.870968,-0.000000,0.003527
0.020000,17.243898,8.500450,0.243952,2.040323,8.870968,0.000000,0.004672
0.020000,17.286478,8.500679,0.286532,2.217742,8.870968,-0.000000,0.006095
0.020000,17.332606,8.501000,0.332661,2.395161,8.870968,0.000000,0.007846
0.020000,17.382281,8.501441,0.382339,2.572581,8.870968,0.000000,0.009978
0.020000,17.435504,8.502039,0.435565,2.750000,8.870968,0.000000,0.012548
0.020000,17.492272,8.502837,0.492339,2.927419,8.870968,-0.000000,0.015622
0.020000,17.552586,8.503888,0.552661,3.104839,8.870968,0.000000,0.019272
0.020000,17.616442,8.505254,0.616532,3.282258,8.870968,-0.000000,0.023579
0.020000,17.683839,8.507010,0.683952,3.459677,8.870968,0.000000,0.028632
0.020000,17.754771,8.509248,0.754919,3.637097,8.870968,0.000000,0.034532
0.020000,17.829233,8.512072,0.829435,3.814516,8.870968,0.000000,0.041390
0.020000,17.907218,8.515606,0.907500,3.991935,8.870968,-0.000000,0.049336
0.020000,17.988712,8.519999,0.989113,4.169355,8.870968,-0.000000,0.058514
0.020000,18.073700,8.525421,1.074274,4.346774,8.870968,0.000000,0.069089
0.020000,18.162159,8.532074,1.162984,4.524194,8.870968,0.000000,0.081252
0.020000,18.254059,8.540194,1.255242,4.701613,8.870968,0.000000,0.095220
0.020000,18.349355,8.550054,1.351048,4.879032,8.870968,-0.000000,0.111247
0.020000,18.447991,8.561975,1.450403,5.056452,8.870968,0.000000,0.129625
0.020000,18.549886,8.576332,1.553306,5.233871,8.870968,0.000000,0.150694
0.020000,18.654931,8.593561,1.659758,5.411290,8.870968,-0.000000,0.174847
0.020000,18.762980,8.614167,1.769758,5.588710,8.870968,0.000000,0.202536
0.020000,18.873834,8.638739,1.883306,5.766129,8.870968,-0.000000,0.234278
0.020000,18.987221,8.667951,2.000403,5.943548,8.870968,0.000000,0.270655
0.020000,19.102782,8.702575,2.121048,6.120968,8.870968,-0.000000,0.312299
0.020000,19.220033,8.743482,2.245242,6.298387,8.870968,0.000000,0.359868
0.020000,19.338338,8.791626,2.372984,6.475806,8.870968,-0.000000,0.413992
0.020000,19.456874,8.848028,2.504274,6.653226,8.870968,-0.000000,0.475179
0.020000,19.574598,8.913719,2.639113,6.830645,8.870968,0.000000,0.543675
0.020000,19.690245,8.989665,2.777500,7.008065,8.870968,-0.000000,0.619294
0.020000,19.802345,9.076659,2.919435,7.185484,8.870968,0.000000,0.701237
0.020000,19.909306,9.175206,3.064919,7.362903,8.870968,-0.000000,0.788003
0.020000,20.009545,9.285424,3.213952,7.540323,8.870968,0.000000,0.877446
0.020000,20.101645,9.407009,3.366532,7.717742,8.870968,0.000000,0.967048
0.020000,20.184507,9.539276,3.522661,7.895161,8.870968,-0.000000,1.054320
0.020000,20.257434,9.681276,3.682339,8.072581,8.870968,0.000000,1.137189
0.020000,20.320142,9.831932,3.845565,8.250000,8.870968,0.000000,1.214236
0.020000,20.372692,9.990174,4.012339,8.427419,8.870968,0.000000,1.284730
0.020000,20.415403,10.155025,4.182661,8.604839,8.870968,0.000000,1.348508
0.020000,20.448750,10.325644,4.356532,8.782258,8.870968,-0.000000,1.405811
0.020000,20.473289,10.501338,4.533952,8.959677,8.870968,0.000000,1.457113
0.020000,20.489597,10.681554,4.714919,9.137097,8.870968,-0.000000,1.502993
0.020000,20.498234,10.865854,4.899435,9.314516,8.870968,0.000000,1.544056
0.020000,20.500000,11.053853,5.087500,9.491935,8.870968,0.000000,1.570796
0.020000,20.500000,11.245466,5.279113,9.669355,8.870968,0.000000,1.570796
0.020000,20.500000,11.440628,5.474274,9.846774,8.870968,-0.000000,1.570796
0.020000,20.500000,11.639337,5.672984,10.024194,8.870968,0.000000,1.570796
0.020000,20.500000,11.841595,5.875242,10.201613,8.870968,0.000000,1.570796
0.020000,20.500000,12.047402,6.081048,10.379032,8.870968,0.000000,1.570796
0.020000,20.500000,12.256535,6.290181,10.534274,7.762097,-55.443548,1.570796
0.020000,20.500000,12.468551,6.502198,10.667339,6.653226,-55.443548,1.570796
0.020000,20.500000,12.683007,6.716653,10.778226,5.544355,-55.443548,1.570796
0.020000,20.500000,12.899458,6.933105,10.866935,4.435484,-55.443548,1.570796
0.020000,20.500000,13.117462,7.151109,10.933468,3.326613,-55.443548,1.570796
0.020000,20.500000,13.336575,7.370222,10.977823,2.217742,-55.443548,1.570796
0.020000,20.500000,13.556353,7.590000,11.000000,1.108871,-55.443548,1.570796
0.020000,20.500000,13.776353,7.810000,11.000000,0.000000,-55.443548,1.570796
