dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.000168,9.593708,0.000222,0.022177,1.108871,55.443548,0.000001
0.020000,17.001048,9.593708,0.001102,0.044005,1.091363,-0.875422,0.000008
0.020000,17.003028,9.593708,0.003082,0.098995,2.749524,82.908065,0.000022
0.020000,17.006546,9.593708,0.006601,0.175939,3.847185,54.883065,0.000049
0.020000,17.012042,9.593709,0.012096,0.274770,4.941549,54.718210,0.000094
0.020000,17.019949,9.593710,0.020004,0.395380,6.030511,54.448096,0.000164
0.020000,17.030702,9.593712,0.030756,0.537609,7.111433,54.046109,0.000269
0.020000,17.044726,9.593717,0.044780,0.701231,8.181138,53.485240,0.000423
0.020000,17.062227,9.593726,0.062281,0.875022,8.689538,25.420008,0.000644
0.020000,17.083183,9.593743,0.083237,1.047798,8.638791,-2.537384,0.000950
0.020000,17.107570,9.593771,0.107624,1.219351,8.577671,-3.055969,0.001363
0.020000,17.135359,9.593816,0.135413,1.389472,8.506002,-3.583479,0.001909
0.020000,17.166518,9.593886,0.166572,1.557942,8.423525,-4.123817,0.002619
0.020000,17.201008,9.593992,0.201063,1.724540,8.329885,-4.682041,0.003527
0.020000,17.238789,9.594146,0.238843,1.889032,8.224593,-5.264580,0.004672
0.020000,17.279812,9.594366,0.279867,2.051172,8.107004,-5.879446,0.006095
0.020000,17.324024,9.594674,0.324081,2.210697,7.976274,-6.536518,0.007846
0.020000,17.371369,9.595095,0.371427,2.367323,7.831316,-7.247868,0.009978
0.020000,17.421781,9.595661,0.421842,2.520739,7.670754,-8.028112,0.012548
0.020000,17.475187,9.596412,0.475254,2.670596,7.492856,-8.894899,0.015622
0.020000,17.531509,9.597393,0.531584,2.816505,7.295467,-9.869469,0.019272
0.020000,17.590656,9.598658,0.590745,2.958023,7.075920,-10.977315,0.023579
0.020000,17.652528,9.600270,0.652637,3.094642,6.830939,-12.249063,0.028632
0.020000,17.717011,9.602304,0.717153,3.225772,6.556512,-13.721376,0.034532
0.020000,17.783977,9.604843,0.784167,3.350727,6.247748,-15.438199,0.041390
0.020000,17.853280,9.607984,0.853541,3.468702,5.898709,-17.451953,0.049336
0.020000,17.924751,9.611835,0.925116,3.578746,5.502210,-19.824943,0.058514
0.020000,17.998197,9.616520,0.998711,3.679738,5.049599,-22.630512,0.069089
0.020000,18.073392,9.622174,1.074118,3.770348,4.530525,-25.953749,0.081252
0.020000,18.150073,9.628947,1.151098,3.849002,3.932706,-29.890902,0.095220
0.020000,18.227935,9.637001,1.229375,3.913838,3.241783,-34.546180,0.111247
0.020000,18.306616,9.646508,1.308628,3.962664,2.441312,-40.023554,0.129625
0.020000,18.385694,9.657646,1.388487,3.992927,1.513124,-46.409391,0.150694
0.020000,18.464673,9.670593,1.468521,4.001694,0.438345,-53.738960,0.174847
0.020000,18.542977,9.685520,1.548234,3.985686,-0.800367,-61.935577,0.202536
0.020000,18.619939,9.702569,1.627062,3.941397,-2.214485,-70.705896,0.234278
0.020000,18.694805,9.721843,1.704369,3.865359,-3.801856,-79.368590,0.270655
0.020000,18.766744,9.743381,1.779463,3.754684,-5.533753,-86.594803,0.312299
0.020000,18.834883,9.767131,1.851623,3.607986,-7.334905,-90.057601,0.359868
0.020000,18.898375,9.792940,1.920160,3.426865,-9.056091,-86.059302,0.413992
0.020000,18.956505,9.820565,1.984520,3.217994,-10.443521,-69.371510,0.475179
0.020000,19.008840,9.849729,2.044432,2.995600,-11.119687,-33.808315,0.543675
0.020000,19.055391,9.880259,2.100102,2.783480,-10.606021,25.683311,0.619294
0.020000,19.096724,9.912301,2.152400,2.614926,-8.427694,108.916342,0.701237
0.020000,19.133926,9.946557,2.202972,2.528577,-4.317461,205.511650,0.788003
0.020000,19.168364,9.984432,2.254162,2.559506,1.546473,293.196707,0.877446
0.020000,19.201289,10.027942,2.308726,2.728189,8.434158,344.384223,0.967048
0.020000,19.233457,10.079371,2.369386,3.033029,15.241990,340.391603,1.054320
0.020000,19.264943,10.140794,2.438409,3.451157,20.906394,283.220214,1.137189
