dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.000170,7.406292,0.000222,0.022177,1.108871,55.443548,0.000001
0.020000,17.001064,7.406292,0.001116,0.044705,1.126379,0.875422,0.000008
0.020000,17.003076,7.406292,0.003128,0.100602,2.794831,83.422581,0.000022
0.020000,17.006654,7.406292,0.006706,0.178900,3.914912,56.004031,0.000049
0.020000,17.012248,7.406293,0.012299,0.279666,5.038289,56.168888,0.000094
0.020000,17.020308,7.406294,0.020359,0.403007,6.167069,56.439000,0.000164
0.020000,17.031290,7.406296,0.031341,0.549085,7.303889,56.840988,0.000269
0.020000,17.045652,7.406301,0.045704,0.718123,8.451926,57.401854,0.000423
0.020000,17.063635,7.406310,0.063687,0.899171,9.052397,30.023539,0.000644
0.020000,17.085260,7.406328,0.085312,1.081234,9.103145,2.537376,0.000950
0.020000,17.110550,7.406357,0.110602,1.264519,9.164264,3.055958,0.001363
0.020000,17.139535,7.406404,0.139587,1.449238,9.235933,3.583458,0.001909
0.020000,17.172247,7.406478,0.172299,1.635606,9.318408,4.123781,0.002619
0.020000,17.208724,7.406589,0.208776,1.823847,9.412048,4.681986,0.003527
0.020000,17.249008,7.406754,0.249060,2.014194,9.517338,5.264487,0.004672
0.020000,17.293145,7.406991,0.293198,2.206892,9.634924,5.879305,0.006095
0.020000,17.341188,7.407325,0.341242,2.402205,9.765650,6.536315,0.007846
0.020000,17.393194,7.407788,0.393250,2.600418,9.910602,7.247564,0.009978
0.020000,17.449227,7.408417,0.449287,2.801841,10.071155,8.027676,0.012548
0.020000,17.509358,7.409263,0.509423,3.006821,10.249041,8.894286,0.015622
0.020000,17.573663,7.410383,0.573738,3.215750,10.446413,9.868607,0.019272
0.020000,17.642229,7.411850,0.642320,3.429068,10.665936,10.976138,0.023579
0.020000,17.715150,7.413751,0.715265,3.647286,10.910884,12.247434,0.028632
0.020000,17.792531,7.416192,0.792685,3.870991,11.185268,13.719174,0.034532
0.020000,17.874489,7.419300,0.874703,4.100871,11.493972,15.435205,0.041390
0.020000,17.961155,7.423229,0.961457,4.337730,11.842930,17.447918,0.049336
0.020000,18.052672,7.428163,1.053108,4.582516,12.239320,19.819499,0.058514
0.020000,18.149203,7.434323,1.149835,4.836352,12.691784,22.623179,0.069089
0.020000,18.250927,7.441975,1.251846,5.100565,13.210661,25.943870,0.081252
0.020000,18.358044,7.451440,1.359380,5.376729,13.808213,29.877570,0.095220
0.020000,18.470776,7.463107,1.472715,5.666705,14.498776,34.528163,0.111247
0.020000,18.589366,7.477443,1.592168,5.972680,15.298760,39.999179,0.129625
0.020000,18.714078,7.495019,1.718112,6.297206,16.226287,46.376372,0.150694
0.020000,18.845190,7.516528,1.850976,6.643209,17.300171,53.694177,0.174847
0.020000,18.982984,7.542815,1.991256,7.013962,18.537671,61.875006,0.202536
0.020000,19.127728,7.574908,2.139515,7.412965,19.950156,70.624257,0.234278
0.020000,19.279638,7.614058,2.296388,7.843672,21.535349,79.259637,0.270655
0.020000,19.438820,7.661770,2.462568,8.308960,23.264383,86.451731,0.312299
0.020000,19.605183,7.719833,2.638772,8.810198,25.061882,89.874938,0.359868
0.020000,19.778302,7.790312,2.825687,9.345770,26.778613,85.836548,0.413992
0.020000,19.957242,7.875491,3.023867,9.908990,28.161010,69.119848,0.475179
0.020000,20.140357,7.977709,3.233579,10.485634,28.832208,33.559883,0.543675
0.020000,20.325098,8.099071,3.454618,11.051932,28.314859,-25.867450,0.619294
0.020000,20.507965,8.241017,3.686111,11.574649,26.135872,-108.949326,0.701237
0.020000,20.684686,8.403855,3.926416,12.015243,22.029710,-205.308087,0.788003
0.020000,20.850726,8.586416,4.173191,12.338748,16.175216,-292.724701,0.877446
0.020000,21.002000,8.786076,4.423686,12.524767,9.300988,-343.711408,0.967048
0.020000,21.135556,8.999182,4.675185,12.574917,2.507493,-339.674735,1.054320
0.020000,21.249926,9.221757,4.925425,12.512015,-3.145095,-282.629416,1.137189
0.020000,21.345059,9.450170,5.172857,12.371615,-7.020035,-193.746987,1.214236
