dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.000152,8.500000,0.000224,0.022375,1.118762,55.938107,6.283167
0.020000,17.001047,8.500000,0.001119,0.067126,2.237524,55.938107,6.283062
0.020000,17.003061,8.499999,0.003133,0.134251,3.356286,55.938107,6.282825
0.020000,17.006641,8.499997,0.006713,0.223752,4.475049,55.938107,6.282405
0.020000,17.012235,8.499991,0.012306,0.335629,5.593811,55.938107,6.281749
0.020000,17.020290,8.499976,0.020361,0.469880,6.712573,55.938107,6.280805
0.020000,17.031254,8.499943,0.031325,0.626507,7.831335,55.938107,6.279523
0.020000,17.045574,8.499878,0.045645,0.805509,8.950097,55.938107,6.277854
0.020000,17.063474,8.499764,0.063546,0.984511,8.950097,0.000000,6.275776
0.020000,17.084953,8.499578,0.085026,1.163513,8.950097,-0.000000,6.273293
0.020000,17.110012,8.499294,0.110086,1.342515,8.950097,0.000000,6.270413
0.020000,17.138649,8.498882,0.138727,1.521517,8.950097,0.000000,6.267143
0.020000,17.170864,8.498306,0.170947,1.700518,8.950097,0.000000,6.263493
0.020000,17.206656,8.497529,0.206747,1.879520,8.950097,-0.000000,6.259471
0.020000,17.246023,8.496509,0.246128,2.058522,8.950097,0.000000,6.255090
0.020000,17.288964,8.495200,0.289088,2.237524,8.950097,-0.000000,6.250362
0.020000,17.335475,8.493555,0.335629,2.416526,8.950097,0.000000,6.245302
0.020000,17.385554,8.491522,0.385749,2.595528,8.950097,0.000000,6.239925
0.020000,17.439198,8.489047,0.439450,2.774530,8.950097,0.000000,6.234249
0.020000,17.496401,8.486074,0.496730,2.953532,8.950097,0.000000,6.228291
0.020000,17.557159,8.482545,0.557591,3.132534,8.950097,-0.000000,6.222073
0.020000,17.621467,8.478401,0.622032,3.311536,8.950097,0.000000,6.215615
0.020000,17.689316,8.473581,0.690052,3.490538,8.950097,-0.000000,6.208941
0.020000,17.760701,8.468024,0.761653,3.669540,8.950097,0.000000,6.202077
0.020000,17.835612,8.461669,0.836834,3.848542,8.950097,0.000000,6.195048
0.020000,17.914042,8.454453,0.915595,4.027544,8.950097,-0.000000,6.187882
0.020000,17.995980,8.446318,0.997936,4.206546,8.950097,-0.000000,6.180610
0.020000,18.081416,8.437205,1.083857,4.385548,8.950097,0.000000,6.173262
0.020000,18.170339,8.427056,1.173358,4.564550,8.950097,-0.000000,6.165872
