dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.000133,7.406292,0.000224,0.022375,1.118762,55.938107,6.283167
0.020000,17.000913,7.406292,0.001004,0.038995,0.831011,-14.387543,6.283062
0.020000,17.002668,7.406292,0.002759,0.087744,2.437433,80.321090,6.282825
0.020000,17.005788,7.406290,0.005879,0.156004,3.413012,48.778941,6.282405
0.020000,17.010664,7.406284,0.010755,0.243795,4.389522,48.825511,6.281749
0.020000,17.017686,7.406271,0.017777,0.351146,5.367563,48.902056,6.280805
0.020000,17.027248,7.406242,0.027340,0.478104,6.347894,49.016521,6.279523
0.020000,17.039743,7.406186,0.039834,0.624733,7.331438,49.177235,6.277854
0.020000,17.055370,7.406086,0.055461,0.781349,7.830805,24.968350,6.275776
0.020000,17.074134,7.405924,0.074226,0.938257,7.845433,0.731361,6.273293
0.020000,17.096043,7.405676,0.096137,1.095521,7.863176,0.887185,6.270413
0.020000,17.121105,7.405314,0.121201,1.253204,7.884134,1.047890,6.267143
0.020000,17.149327,7.404810,0.149428,1.411372,7.908414,1.214017,6.263493
0.020000,17.180722,7.404128,0.180830,1.570095,7.936134,1.385976,6.259471
0.020000,17.215299,7.403232,0.215419,1.729443,7.967415,1.564049,6.255090
0.020000,17.253072,7.402081,0.253209,1.889491,8.002382,1.748349,6.250362
0.020000,17.294052,7.400632,0.294215,2.050314,8.041159,1.938846,6.245302
0.020000,17.338256,7.398837,0.338455,2.211991,8.083865,2.135310,6.239925
0.020000,17.385697,7.396648,0.385947,2.374603,8.130612,2.337361,6.234249
0.020000,17.436393,7.394013,0.436712,2.538233,8.181501,2.544416,6.228291
0.020000,17.490362,7.390879,0.490771,2.702966,8.236615,2.755735,6.222073
0.020000,17.547621,7.387189,0.548149,2.868886,8.296023,2.970409,6.215615
0.020000,17.608190,7.382886,0.608870,3.036082,8.359771,3.187379,6.208941
0.020000,17.672089,7.377912,0.672963,3.204639,8.427880,3.405473,6.202077
0.020000,17.739340,7.372206,0.740456,3.374646,8.500349,3.623418,6.195048
0.020000,17.809966,7.365709,0.811380,3.546189,8.577147,3.839889,6.187882
0.020000,17.883989,7.358359,0.885767,3.719353,8.658218,4.053548,6.180610
0.020000,17.961434,7.350098,0.963651,3.894223,8.743479,4.263089,6.173262
0.020000,18.042327,7.340865,1.045069,4.070879,8.832825,4.467290,6.165872
0.020000,18.126693,7.330603,1.130057,4.249402,8.926127,4.665071,6.158472
0.020000,18.214561,7.319256,1.218654,4.429867,9.023237,4.855534,6.151100
0.020000,18.305959,7.306770,1.310901,4.612347,9.123998,5.038027,6.143791
0.020000,18.400917,7.293095,1.406839,4.796912,9.228241,5.212179,6.136583
0.020000,18.499468,7.278183,1.506512,4.983628,9.335800,5.377946,6.129517
0.020000,18.601644,7.261993,1.609963,5.172558,9.446513,5.535637,6.122632
0.020000,18.707481,7.244486,1.717238,5.363762,9.560232,5.685937,6.115971
0.020000,18.817017,7.225633,1.828384,5.557299,9.676830,5.829910,6.109575
0.020000,18.930290,7.205406,1.943449,5.753223,9.796210,5.968998,6.103489
0.020000,19.047342,7.183791,2.062481,5.951589,9.918310,6.104995,6.097756
0.020000,19.168220,7.160776,2.185530,6.152452,10.043110,6.240019,6.092424
0.020000,19.292971,7.136362,2.312647,6.355864,10.170639,6.376451,6.087538
0.020000,19.421435,7.110603,2.443668,6.551063,9.759927,-20.535630,6.083152
0.020000,19.553239,7.083610,2.578208,6.726994,8.796555,-48.168577,6.079325
0.020000,19.688006,7.055514,2.715873,6.883239,7.812231,-49.216215,6.076103
0.020000,19.825355,7.026465,2.856260,7.019362,6.806178,-50.302632,6.073530
0.020000,19.964899,6.996626,2.998958,7.134919,5.777817,-51.418036,6.071638
0.020000,20.106245,6.966174,3.143548,7.229453,4.726730,-52.554380,6.070452
0.020000,20.248993,6.935296,3.289598,7.302506,3.652625,-53.705233,6.069988
0.020000,20.392578,6.904222,3.436506,7.345437,2.146545,-75.303999,6.070253
0.020000,20.536421,6.873188,3.583658,7.357603,0.608314,-76.911571,6.071242
0.020000,20.680090,6.842393,3.730591,7.346627,-0.548810,-57.856198,6.072943
0.020000,20.823145,6.812035,3.876832,7.312047,-1.729001,-59.009540,6.075331
0.020000,20.965135,6.782307,4.021900,7.253407,-2.931997,-60.149783,6.078377
0.020000,21.105594,6.753391,4.165305,7.170258,-4.157415,-61.270900,6.082041
0.020000,21.244048,6.725458,4.306548,7.062164,-5.404721,-62.365329,6.086277
0.020000,21.380007,6.698664,4.445122,6.928700,-6.673197,-63.423781,6.091029
0.020000,21.513137,6.673116,4.580682,6.777976,-7.536188,-43.149561,6.096243
0.020000,21.643328,6.648864,4.713113,6.621525,-7.822546,-14.317909,6.101869
0.020000,21.770529,6.625933,4.842364,6.462564,-7.948071,-6.276247,6.107861
0.020000,21.894688,6.604338,4.968387,6.301146,-8.070891,-6.140981,6.114175
0.020000,22.015752,6.584086,5.091133,6.137326,-8.190999,-6.005404,6.120767
0.020000,22.133668,6.565173,5.210556,5.971159,-8.308345,-5.867318,6.127593
0.020000,22.248382,6.547587,5.326610,5.802702,-8.422842,-5.724831,6.134613
0.020000,22.359840,6.531310,5.439251,5.632015,-8.534370,-5.576401,6.141784
0.020000,22.467988,6.516313,5.548434,5.459159,-8.642787,-5.420855,6.149067
0.020000,22.572774,6.502564,5.654118,5.284201,-8.747935,-5.257402,6.156425
0.020000,22.674146,6.490024,5.756262,5.107208,-8.849648,-5.085627,6.163819
0.020000,22.772052,6.478646,5.854827,4.928252,-8.947757,-4.905478,6.171215
0.020000,22.866444,6.468382,5.949775,4.747410,-9.042102,-4.717236,6.178576
0.020000,22.957274,6.459179,6.041071,4.564760,-9.132531,-4.521479,6.185871
0.020000,23.044497,6.450979,6.128678,4.380382,-9.218912,-4.319038,6.193067
0.020000,23.128070,6.443724,6.212565,4.194359,-9.301131,-4.110945,6.200135
0.020000,23.207951,6.437351,6.292701,4.006777,-9.379099,-3.898389,6.207046
0.020000,23.284104,6.431799,6.369055,3.817722,-9.452752,-3.682652,6.213774
0.020000,23.356491,6.427002,6.441601,3.627281,-9.522053,-3.465069,6.220292
0.020000,23.425079,6.422899,6.510312,3.435541,-9.586993,-3.246972,6.226577
0.020000,23.489837,6.419424,6.575164,3.242589,-9.647586,-3.029646,6.232607
0.020000,23.550738,6.416517,6.636134,3.048512,-9.703872,-2.814300,6.238361
0.020000,23.607756,6.414115,6.693202,2.853394,-9.755912,-2.602022,6.243821
0.020000,23.660866,6.412160,6.746348,2.657318,-9.803787,-2.393761,6.248968
0.020000,23.710048,6.410595,6.795555,2.460366,-9.847593,-2.190310,6.253788
0.020000,23.755284,6.409366,6.840808,2.262617,-9.887439,-1.992293,6.258264
0.020000,23.796556,6.408422,6.882091,2.064148,-9.923442,-1.800145,6.262384
0.020000,23.833850,6.407716,6.919391,1.865034,-9.955725,-1.614135,6.266137
0.020000,23.867153,6.407204,6.952698,1.665346,-9.984412,-1.434357,6.269511
0.020000,23.896454,6.406847,6.982001,1.465153,-10.009627,-1.260729,6.272498
0.020000,23.921743,6.406610,7.007292,1.264523,-10.031487,-1.093016,6.275089
0.020000,23.943013,6.406461,7.028562,1.063521,-10.050104,-0.930839,6.277278
0.020000,23.960257,6.406374,7.045806,0.862210,-10.065578,-0.773700,6.279059
0.020000,23.973654,6.406328,7.059203,0.669828,-9.619092,22.324266,6.280447
0.020000,23.983635,6.406306,7.069184,0.499065,-8.538134,54.047904,6.281483
0.020000,23.990704,6.406296,7.076253,0.353430,-7.281760,62.818717,6.282217
0.020000,23.995363,6.406293,7.080912,0.232973,-6.022854,62.945303,6.282702
0.020000,23.998118,6.406292,7.083667,0.137729,-4.762220,63.031718,6.282989
0.020000,23.999472,6.406292,7.085021,0.067719,-3.500499,63.086006,6.283130
0.020000,23.999931,6.406292,7.085480,0.022955,-2.238182,63.115898,6.283178
0.020000,24.000000,6.406292,7.085549,0.003443,-0.975603,63.128925,0.000000
0.020000,24.000000,6.406292,7.085549,0.000000,-0.172141,40.173105,0.000000
