dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.000000,20.000123,0.000223,0.022329,1.116452,55.822579,1.570779
0.020000,14.000000,20.001016,0.001116,0.066987,2.232903,55.822579,1.570654
0.020000,14.000001,20.003026,0.003126,0.133974,3.349355,55.822579,1.570372
0.020000,14.000003,20.006599,0.006699,0.223290,4.465806,55.822579,1.569870
0.020000,14.000010,20.012181,0.012281,0.334935,5.582258,55.822579,1.569084
0.020000,14.000029,20.020219,0.020319,0.468910,6.698709,55.822579,1.567945
0.020000,14.000068,20.031161,0.031261,0.625213,7.815161,55.822579,1.566385
0.020000,14.000146,20.045451,0.045551,0.803845,8.931613,55.822579,1.564329
0.020000,14.000285,20.063314,0.063414,0.982477,8.931613,0.000000,1.561728
0.020000,14.000513,20.084748,0.084850,1.161110,8.931613,-0.000000,1.558563
0.020000,14.000866,20.109754,0.109859,1.339742,8.931613,0.000000,1.554806
0.020000,14.001385,20.138331,0.138440,1.518374,8.931613,0.000000,1.550427
0.020000,14.002121,20.170476,0.170594,1.697006,8.931613,0.000000,1.545387
0.020000,14.003131,20.206188,0.206320,1.875639,8.931613,0.000000,1.539641
0.020000,14.004482,20.245464,0.245619,2.054271,8.931613,-0.000000,1.533137
0.020000,14.006252,20.288299,0.288491,2.232903,8.931613,0.000000,1.525810
0.020000,14.008530,20.334687,0.334935,2.411535,8.931613,-0.000000,1.517589
0.020000,14.011419,20.384621,0.384953,2.590168,8.931613,0.000000,1.508385
0.020000,14.015034,20.438088,0.438542,2.768800,8.931613,0.000000,1.498096
0.020000,14.019511,20.495075,0.495704,2.947432,8.931613,-0.000000,1.486602
0.020000,14.025004,20.555560,0.556439,3.126064,8.931613,0.000000,1.473760
0.020000,14.031689,20.619519,0.620747,3.304697,8.931613,-0.000000,1.459401
0.020000,14.039771,20.686915,0.688627,3.483329,8.931613,0.000000,1.443324
0.020000,14.049487,20.757704,0.760080,3.661961,8.931613,-0.000000,1.425286
0.020000,14.061108,20.831822,0.835106,3.840593,8.931613,0.000000,1.405001
0.020000,14.074954,20.909190,0.913704,4.019226,8.931613,0.000000,1.382119
0.020000,14.091395,20.989697,0.995875,4.197858,8.931613,0.000000,1.356223
0.020000,14.110864,21.073197,1.081618,4.376490,8.931613,0.000000,1.326809
0.020000,14.133867,21.159496,1.170934,4.555122,8.931613,0.000000,1.293269
0.020000,14.160997,21.248329,1.263823,4.733755,8.931613,-0.000000,1.254881
0.020000,14.192943,21.339338,1.360285,4.912387,8.931613,0.000000,1.210794
0.020000,14.230502,21.432042,1.460319,5.091019,8.931613,0.000000,1.160035
0.020000,14.274577,21.525790,1.563925,5.269651,8.931613,0.000000,1.101546
0.020000,14.326168,21.619713,1.671105,5.448284,8.931613,0.000000,1.034283
0.020000,14.386322,21.712672,1.781857,5.626916,8.931613,-0.000000,0.957413
0.020000,14.456049,21.803227,1.896181,5.805548,8.931613,0.000000,0.870638
0.020000,14.536183,21.889642,2.014079,5.984180,8.931613,0.000000,0.774621
0.020000,14.627205,21.969996,2.135549,6.162813,8.931613,0.000000,0.671378
0.020000,14.729090,22.042386,2.260591,6.341445,8.931613,-0.000000,0.564338
0.020000,14.841246,22.105212,2.389206,6.520077,8.931613,0.000000,0.457856
0.020000,14.962622,22.157427,2.521394,6.698709,8.931613,-0.000000,0.356261
0.020000,15.091922,22.198646,2.657155,6.877342,8.931613,0.000000,0.262924
0.020000,15.227849,22.229083,2.796488,7.055974,8.931613,0.000000,0.179801
0.020000,15.369274,22.249390,2.939394,7.234606,8.931613,-0.000000,0.107529
0.020000,15.515309,22.260466,3.085872,7.413238,8.931613,0.000000,0.045829
0.020000,15.665317,22.263316,3.235923,7.591871,8.931613,0.000000,6.277114
0.020000,15.818867,22.258958,3.389547,7.770503,8.931613,0.000000,6.234071
0.020000,15.975699,22.248378,3.546743,7.949135,8.931613,0.000000,6.198970
0.020000,16.135678,22.232519,3.707512,8.127767,8.931613,-0.000000,6.171024
0.020000,16.298766,22.212286,3.871854,8.306400,8.931613,0.000000,6.149615
0.020000,16.464995,22.188566,4.039768,8.485032,8.931613,-0.000000,6.134320
0.020000,16.634450,22.162249,4.211255,8.663664,8.931613,0.000000,6.124910
0.020000,16.807258,22.134265,4.386315,8.842296,8.931613,-0.000000,6.121373
0.020000,16.983579,22.105619,4.564947,9.020929,8.931613,0.000000,6.123926
0.020000,17.163592,22.077445,4.747152,9.199561,8.931613,0.000000,6.133067
0.020000,17.347264,22.051096,4.932706,9.355864,7.815161,-55.822579,6.149609
0.020000,17.534320,22.028207,5.121163,9.489838,6.698709,-55.822579,6.174740
0.020000,17.724422,22.010735,5.312077,9.601484,5.582258,-55.822579,6.210141
0.020000,17.917084,22.001059,5.504999,9.690800,4.465806,-55.822579,6.258122
0.020000,18.111469,21.998114,5.699485,9.757787,3.349355,-55.822579,6.249309
0.020000,18.306645,21.985655,5.895088,9.802445,2.232903,-55.822579,6.189551
0.020000,18.501394,21.961486,6.091360,9.824774,1.116452,-55.822579,6.130037
0.020000,18.694404,21.925899,6.287650,9.804277,-1.024817,-107.063419,6.071996
0.020000,18.884469,21.879559,6.483308,9.761452,-2.141268,-55.822579,6.016569
0.020000,19.070740,21.823392,6.677885,9.696298,-3.257720,-55.822579,5.964665
0.020000,19.252548,21.758525,6.870936,9.608814,-4.374172,-55.822579,5.916959
0.020000,19.429400,21.686218,7.062014,9.499002,-5.490623,-55.822579,5.873886
0.020000,19.600970,21.607786,7.250673,9.366860,-6.607075,-55.822579,5.835655
0.020000,19.767064,21.524548,7.436465,9.212390,-7.723526,-55.822579,5.802291
0.020000,19.927588,21.437780,7.618945,9.035590,-8.839978,-55.822579,5.773682
0.020000,20.082692,21.348587,7.797871,8.856958,-8.931613,-4.581738,5.749590
0.020000,20.232744,21.257857,7.973224,8.678326,-8.931613,-0.000000,5.729716
0.020000,20.378126,21.166358,8.145004,8.499693,-8.931613,0.000000,5.713753
