dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.906292,20.000142,0.000223,0.022329,1.116452,55.822579,1.570779
0.020000,12.906292,20.001172,0.001253,0.051499,1.458490,17.101933,1.570654
0.020000,12.906293,20.003490,0.003571,0.115888,3.219473,88.049156,1.570372
0.020000,12.906296,20.007611,0.007693,0.206078,4.509492,64.500939,1.569870
0.020000,12.906304,20.014054,0.014135,0.322137,5.802961,64.673462,1.569084
0.020000,12.906325,20.023338,0.023419,0.464180,7.102139,64.958900,1.567945
0.020000,12.906371,20.035985,0.036067,0.632379,8.409951,65.390602,1.566385
0.020000,12.906461,20.052525,0.052606,0.826981,9.730096,66.007218,1.564329
0.020000,12.906622,20.073231,0.073314,1.035371,10.419478,34.469116,1.561728
0.020000,12.906887,20.098128,0.098212,1.244904,10.476645,2.858352,1.558563
0.020000,12.907298,20.127242,0.127329,1.455858,10.547704,3.552922,1.554806
0.020000,12.907904,20.160608,0.160700,1.668541,10.634143,4.321990,1.550427
0.020000,12.908766,20.198264,0.198366,1.883297,10.737826,5.184155,1.545387
0.020000,12.909953,20.240257,0.240376,2.100518,10.861062,6.161765,1.539641
0.020000,12.911549,20.286643,0.286789,2.320652,11.006706,7.282194,1.533137
0.020000,12.913651,20.337484,0.337673,2.544218,11.178271,8.578282,1.525810
0.020000,12.916370,20.392854,0.393110,2.771819,11.380083,10.090573,1.517589
0.020000,12.919840,20.452837,0.453193,3.004169,11.617457,11.868722,1.508385
0.020000,12.924215,20.517531,0.518035,3.242108,11.896968,13.975551,1.498096
0.020000,12.929677,20.587050,0.587768,3.486642,12.226725,16.487864,1.486602
0.020000,12.936441,20.661523,0.662548,3.738978,12.616783,19.502853,1.473760
0.020000,12.944760,20.741100,0.742559,4.000570,13.079592,23.140498,1.459401
0.020000,12.954937,20.825956,0.828023,4.273183,13.630627,27.551717,1.443324
0.020000,12.967337,20.916288,0.919202,4.558963,14.289027,32.919997,1.425286
0.020000,12.982398,21.012325,1.016413,4.860531,15.078420,39.469676,1.405001
0.020000,13.000656,21.114325,1.120034,5.181084,16.027648,47.461371,1.382119
0.020000,13.022769,21.222580,1.230524,5.524511,17.171318,57.183525,1.356223
0.020000,13.049549,21.337409,1.348435,5.895502,18.549579,68.913021,1.326809
0.020000,13.082009,21.459148,1.474427,6.299626,20.206195,82.830808,1.293269
0.020000,13.121414,21.588129,1.609293,6.743284,22.182898,98.835140,1.254881
