dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.093708,20.000104,0.000223,0.022329,1.116452,55.822579,1.570779
0.020000,15.093708,20.000861,0.000980,0.037817,0.774413,-17.101947,1.570654
0.020000,15.093709,20.002562,0.002681,0.085073,2.362785,79.418628,1.570372
0.020000,15.093711,20.005586,0.005705,0.151186,3.305667,47.144102,1.569870
0.020000,15.093717,20.010308,0.010427,0.236088,4.245103,46.971794,1.569084
0.020000,15.093732,20.017101,0.017220,0.339665,5.178828,46.686234,1.567945
0.020000,15.093766,20.026336,0.026455,0.461743,6.103913,46.254284,1.566385
0.020000,15.093831,20.038377,0.038496,0.602077,7.016673,45.637995,1.564329
0.020000,15.093948,20.053396,0.053515,0.750951,7.443732,21.352941,1.561728
0.020000,15.094139,20.071368,0.071489,0.898683,7.386562,-2.858533,1.558563
0.020000,15.094434,20.092266,0.092389,1.044992,7.315492,-3.553478,1.554806
0.020000,15.094866,20.116054,0.116180,1.189573,7.229041,-4.322556,1.550427
0.020000,15.095476,20.142688,0.142822,1.332080,7.125344,-5.184824,1.545387
0.020000,15.096308,20.172119,0.172264,1.472122,7.002088,-6.162838,1.539641
0.020000,15.097414,20.204285,0.204449,1.609250,6.856418,-7.283491,1.533137
0.020000,15.098854,20.239114,0.239308,1.742947,6.684820,-8.579884,1.525810
0.020000,15.100690,20.276521,0.276760,1.872606,6.482970,-10.092490,1.517589
0.020000,15.102997,20.316405,0.316711,1.997517,6.245538,-11.871622,1.508385
0.020000,15.105853,20.358645,0.359047,2.116836,5.965958,-13.978994,1.498096
0.020000,15.109345,20.403099,0.403639,2.229558,5.636107,-16.492549,1.486602
0.020000,15.113567,20.449598,0.450328,2.334477,5.245932,-19.508757,1.473760
0.020000,15.118618,20.497937,0.498931,2.430136,4.782955,-23.148848,1.459401
0.020000,15.124605,20.547875,0.549226,2.514770,4.231708,-27.562361,1.443324
0.020000,15.131636,20.599119,0.600951,2.586230,3.573009,-32.934909,1.425286
0.020000,15.139819,20.651320,0.653789,2.641894,2.783217,-39.489620,1.405001
0.020000,15.149252,20.704054,0.707360,2.678563,1.833435,-47.489077,1.382119
0.020000,15.160022,20.756813,0.761207,2.692343,0.689003,-57.221618,1.356223
0.020000,15.172179,20.808986,0.814778,2.678537,-0.690327,-68.966528,1.326809
0.020000,15.185726,20.859844,0.867409,2.631568,-2.348443,-82.905785,1.293269
0.020000,15.200580,20.908529,0.918309,2.545023,-4.327254,-98.940555,1.254881
0.020000,15.216540,20.954051,0.966548,2.411947,-6.653808,-116.327710,1.210794
0.020000,15.233232,20.995316,1.011062,2.225663,-9.314189,-133.019031,1.160035
0.020000,15.250063,21.031195,1.050693,1.981549,-12.205690,-144.575030,1.101546
0.020000,15.266206,21.060672,1.084300,1.680363,-15.059284,-142.679714,1.034283
0.020000,15.280652,21.083093,1.110972,1.333621,-17.337129,-113.892256,0.957413
0.020000,15.292451,21.098508,1.130384,0.970588,-18.151656,-40.726360,0.870638
0.020000,15.301172,21.107984,1.143263,0.643936,-16.332601,90.952778,0.774621
0.020000,15.307564,21.113661,1.151811,0.427420,-10.825804,275.339848,0.671378
0.020000,15.314067,21.118265,1.159779,0.398411,-1.450441,468.768155,0.564338
0.020000,15.324694,21.124154,1.171929,0.607461,10.452492,595.146619,0.457856
0.020000,15.344078,21.132396,1.192992,1.053192,22.286558,591.703329,0.356261
0.020000,15.376183,21.142524,1.226657,1.683230,31.501937,460.768923,0.262924
0.020000,15.423441,21.153006,1.275063,2.420323,36.854636,267.634945,0.179801
0.020000,15.486653,21.161998,1.338912,3.192418,38.604722,87.504315,0.107529
0.020000,15.565416,21.167906,1.417896,3.949212,37.839717,-38.250262,0.045829
0.020000,15.658676,21.169628,1.511173,4.663825,35.730634,-105.454114,6.277114
0.020000,15.765172,21.166569,1.617712,5.326959,33.156733,-128.695059,6.234071
0.020000,15.883701,21.158546,1.736512,5.940022,30.653142,-125.179547,6.198970
0.020000,16.013263,21.145683,1.866711,6.509967,28.497245,-107.794853,6.171024
0.020000,16.153114,21.128320,2.007636,7.046221,26.812700,-84.227283,6.149615
0.020000,16.302780,21.106954,2.158820,7.559188,25.648338,-58.218099,6.134320
