dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.000000,20.000122,0.000222,0.022177,1.108871,55.443548,1.570779
0.020000,14.000000,20.001009,0.001109,0.066532,2.217742,55.443548,1.570655
0.020000,14.000001,20.003005,0.003105,0.133065,3.326613,55.443548,1.570375
0.020000,14.000003,20.006553,0.006653,0.221774,4.435484,55.443548,1.569877
0.020000,14.000010,20.012098,0.012198,0.332661,5.544355,55.443548,1.569095
0.020000,14.000028,20.020081,0.020181,0.465726,6.653226,55.443548,1.567965
0.020000,14.000068,20.030948,0.031048,0.620968,7.762097,55.443548,1.566415
0.020000,14.000144,20.045142,0.045242,0.798387,8.870968,55.443548,1.564373
0.020000,14.000281,20.062883,0.062984,0.975806,8.870968,-0.000000,1.561791
0.020000,14.000506,20.084172,0.084274,1.153226,8.870968,0.000000,1.558648
0.020000,14.000854,20.109008,0.109113,1.330645,8.870968,-0.000000,1.554919
0.020000,14.001366,20.137391,0.137500,1.508065,8.870968,0.000000,1.550572
0.020000,14.002092,20.169318,0.169435,1.685484,8.870968,0.000000,1.545570
0.020000,14.003087,20.204788,0.204919,1.862903,8.870968,-0.000000,1.539869
0.020000,14.004419,20.243797,0.243952,2.040323,8.870968,0.000000,1.533417
0.020000,14.006164,20.286342,0.286532,2.217742,8.870968,-0.000000,1.526151
0.020000,14.008410,20.332416,0.332661,2.395161,8.870968,0.000000,1.517998
0.020000,14.011256,20.382012,0.382339,2.572581,8.870968,0.000000,1.508875
0.020000,14.014819,20.435118,0.435565,2.750000,8.870968,0.000000,1.498680
0.020000,14.019229,20.491721,0.492339,2.927419,8.870968,-0.000000,1.487294
0.020000,14.024639,20.551800,0.552661,3.104839,8.870968,0.000000,1.474579
0.020000,14.031222,20.615330,0.616532,3.282258,8.870968,-0.000000,1.460368
0.020000,14.039179,20.682277,0.683952,3.459677,8.870968,0.000000,1.444463
0.020000,14.048742,20.752597,0.754919,3.637097,8.870968,0.000000,1.426630
0.020000,14.060177,20.826229,0.829435,3.814516,8.870968,0.000000,1.406585
0.020000,14.073796,20.903095,0.907500,3.991935,8.870968,-0.000000,1.383990
0.020000,14.089963,20.983088,0.989113,4.169355,8.870968,-0.000000,1.358436
0.020000,14.109099,21.066068,1.074274,4.346774,8.870968,0.000000,1.329431
0.020000,14.131701,21.151846,1.162984,4.524194,8.870968,0.000000,1.296383
0.020000,14.158346,21.240167,1.255242,4.701613,8.870968,0.000000,1.258588
0.020000,14.189709,21.330687,1.351048,4.879032,8.870968,-0.000000,1.215215
0.020000,14.226566,21.422941,1.450403,5.056452,8.870968,0.000000,1.165309
0.020000,14.269805,21.516304,1.553306,5.233871,8.870968,0.000000,1.107830
0.020000,14.320405,21.609939,1.659758,5.411290,8.870968,-0.000000,1.041736
0.020000,14.379401,21.702749,1.769758,5.588710,8.870968,0.000000,0.966168
0.020000,14.447803,21.793339,1.883306,5.766129,8.870968,-0.000000,0.880755
0.020000,14.526464,21.880021,2.000403,5.943548,8.870968,0.000000,0.786029
0.020000,14.615909,21.960905,2.121048,6.120968,8.870968,-0.000000,0.683820
0.020000,14.716174,22.034092,2.245242,6.298387,8.870968,0.000000,0.577376
0.020000,14.826742,22.097947,2.372984,6.475806,8.870968,-0.000000,0.470942
0.020000,14.946615,22.151356,2.504274,6.653226,8.870968,-0.000000,0.368863
0.020000,15.074528,22.193855,2.639113,6.830645,8.870968,0.000000,0.274633
0.020000,15.209186,22.225589,2.777500,7.008065,8.870968,-0.000000,0.190374
0.020000,15.349441,22.247155,2.919435,7.185484,8.870968,0.000000,0.116872
0.020000,15.494383,22.259421,3.064919,7.362903,8.870968,-0.000000,0.053947
0.020000,15.643345,22.263373,3.213952,7.540323,8.870968,0.000000,0.000880
0.020000,15.795877,22.260021,3.366532,7.717742,8.870968,0.000000,6.239933
0.020000,15.951697,22.250346,3.522661,7.895161,8.870968,-0.000000,6.203818
