dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.906292,20.000140,0.000222,0.022177,1.108871,55.443548,1.570779
0.020000,12.906292,20.001163,0.001245,0.051149,1.448586,16.985748,1.570655
0.020000,12.906293,20.003465,0.003547,0.115101,3.197607,87.451030,1.570375
0.020000,12.906295,20.007559,0.007640,0.204678,4.478850,64.062185,1.569877
0.020000,12.906304,20.013958,0.014039,0.319948,5.763492,64.232103,1.569095
0.020000,12.906325,20.023178,0.023260,0.461024,7.053770,64.513879,1.567965
0.020000,12.906370,20.035740,0.035821,0.628075,8.352561,64.939568,1.566415
0.020000,12.906459,20.052166,0.052248,0.821345,9.663511,65.547481,1.564373
0.020000,12.906617,20.072732,0.072814,1.028303,10.347887,34.218815,1.561791
0.020000,12.906879,20.097458,0.097542,1.236388,10.404243,2.817773,1.558648
0.020000,12.907284,20.126373,0.126459,1.445873,10.474281,3.501894,1.554919
0.020000,12.907882,20.159509,0.159601,1.657062,10.559451,4.258525,1.550572
0.020000,12.908731,20.196905,0.197007,1.870294,10.661576,5.106261,1.545570
0.020000,12.909902,20.238608,0.238726,2.085952,10.782920,6.067166,1.539869
0.020000,12.911475,20.284670,0.284815,2.304477,10.926260,7.167017,1.533417
0.020000,12.913546,20.335155,0.335343,2.526378,11.095034,8.438725,1.526151
0.020000,12.916226,20.390135,0.390388,2.752247,11.293456,9.921057,1.517998
0.020000,12.919644,20.449693,0.450043,2.982781,11.526711,11.662792,1.508875
0.020000,12.923954,20.513924,0.514419,3.218805,11.801198,13.724331,1.498680
0.020000,12.929332,20.582941,0.583645,3.461301,12.124809,16.180532,1.487294
0.020000,12.935990,20.656871,0.657874,3.711448,12.507317,19.125398,1.474579
0.020000,12.944176,20.735861,0.737288,3.970664,12.960825,22.675430,1.460368
0.020000,12.954188,20.820082,0.822101,4.240671,13.500345,26.975988,1.444463
0.020000,12.966380,20.909728,0.912572,4.523560,14.144458,32.205648,1.426630
0.020000,12.981182,21.005022,1.009010,4.821882,14.916076,38.580880,1.406585
0.020000,12.999116,21.106220,1.111785,5.138746,15.843183,46.355367,1.383990
0.020000,13.020824,21.213607,1.221343,5.477933,16.959388,55.810270,1.358436
0.020000,13.047095,21.327496,1.338224,5.844009,18.303797,67.220440,1.329431
0.020000,13.078915,21.448221,1.463072,6.242395,19.919299,80.775084,1.296383
0.020000,13.117511,21.576111,1.596658,6.679344,21.847456,96.407879,1.258588
0.020000,13.164418,21.711446,1.739892,7.161678,24.116690,113.461667,1.215215
0.020000,13.221547,21.854373,1.893813,7.696042,26.718216,130.076303,1.165309
0.020000,13.291230,22.004758,2.059558,8.287276,29.561659,142.172163,1.107830
0.020000,13.376226,22.161957,2.238265,8.935322,32.402335,142.033791,1.041736
0.020000,13.479592,22.324474,2.430868,9.630176,34.742701,117.018289,0.966168
0.020000,13.604314,22.489559,2.637771,10.345128,35.747562,50.243087,0.880755
0.020000,13.752608,22.652902,2.858388,11.030861,34.286647,-73.045775,0.786029
0.020000,13.924949,22.808709,3.090718,11.616509,29.282419,-250.211412,0.683820
0.020000,14.119199,22.950507,3.331217,12.024946,20.421843,-443.028763,0.577376
0.020000,14.330498,23.072595,3.575252,12.201727,8.839041,-579.140129,0.470942
0.020000,14.552273,23.171499,3.818081,12.141469,-3.012859,-592.594989,0.368863
0.020000,14.777922,23.246576,4.055892,11.890543,-12.546315,-476.672774,0.274633
0.020000,15.002228,23.299538,4.286365,11.523665,-18.343908,-289.879690,0.190374
0.020000,15.221907,23.333402,4.508640,11.113730,-20.496762,-107.642703,0.116872
0.020000,15.435409,23.351538,4.722910,10.713505,-20.011212,24.277530,0.053947
0.020000,15.642382,23.357081,4.929958,10.352398,-18.055351,97.793039,0.000880
0.020000,15.843167,23.352706,5.130790,10.041596,-15.540142,125.760448,6.239933
0.020000,16.038410,23.340611,5.326408,9.780887,-13.035407,125.236765,6.203818
0.020000,16.228840,23.322592,5.517688,9.564009,-10.843944,109.573140,6.174917
0.020000,16.415131,23.300144,5.705326,9.381922,-9.104340,86.980180,6.152593
0.020000,16.597836,23.274552,5.889816,9.224477,-7.872217,61.606161,6.136393
0.020000,16.777351,23.246975,6.071436,9.081007,-7.173532,34.934255,6.126063
0.020000,16.953876,23.218513,6.250241,8.940249,-7.037875,6.782858,6.121552
0.020000,17.127387,23.190261,6.426037,8.789825,-7.521190,-24.165739,6.123035
0.020000,17.297581,23.163359,6.598344,8.615317,-8.725414,-60.211220,6.130954
0.020000,17.463788,23.139030,6.766322,8.398907,-10.820534,-104.755979,6.146074
0.020000,17.624846,23.118596,6.928671,8.117457,-14.072491,-162.597867,6.169583
