dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.093708,20.000103,0.000222,0.022177,1.108871,55.443548,1.570779
0.020000,15.093708,20.000854,0.000973,0.037561,0.769155,-16.985779,1.570655
0.020000,15.093709,20.002544,0.002663,0.084496,2.346749,78.879667,1.570375
0.020000,15.093711,20.005547,0.005666,0.150160,3.283248,46.824956,1.569877
0.020000,15.093717,20.010237,0.010356,0.234487,4.216344,46.654805,1.569095
0.020000,15.093732,20.016984,0.017103,0.337364,5.143811,46.373333,1.567965
0.020000,15.093765,20.026157,0.026275,0.458619,6.062757,45.947307,1.566415
0.020000,15.093830,20.038117,0.038236,0.598010,6.969548,45.339559,1.564373
0.020000,15.093945,20.053034,0.053153,0.745890,7.394036,21.224391,1.561791
0.020000,15.094133,20.070886,0.071006,0.892644,7.337673,-2.818157,1.558648
0.020000,15.094424,20.091644,0.091766,1.037996,7.267628,-3.502249,1.554919
0.020000,15.094850,20.115273,0.115399,1.181645,7.182445,-4.259135,1.550572
0.020000,15.095452,20.141731,0.141864,1.323251,7.080303,-5.107090,1.545570
0.020000,15.096272,20.170968,0.171113,1.462430,6.958945,-6.067920,1.539869
0.020000,15.097363,20.202924,0.203088,1.598742,6.815576,-7.168451,1.533417
0.020000,15.098783,20.237529,0.237721,1.731677,6.646771,-8.440227,1.526151
0.020000,15.100594,20.274698,0.274934,1.860643,6.448310,-9.923061,1.517998
0.020000,15.102868,20.314331,0.314633,1.984943,6.215001,-11.665455,1.508875
0.020000,15.105684,20.356312,0.356708,2.103752,5.940447,-13.727690,1.498680
0.020000,15.109126,20.400500,0.401030,2.216087,5.616745,-16.185086,1.487294
0.020000,15.113288,20.446728,0.447445,2.320770,5.234121,-19.131226,1.474579
0.020000,15.118269,20.494799,0.495773,2.416379,4.780455,-22.683295,1.460368
0.020000,15.124171,20.544473,0.545797,2.501193,4.240725,-26.986483,1.444463
0.020000,15.131104,20.595466,0.597259,2.573120,3.596328,-32.219866,1.426630
0.020000,15.139172,20.647436,0.649851,2.629606,2.824325,-38.600132,1.406585
0.020000,15.148476,20.699969,0.703202,2.667540,1.896687,-46.381892,1.383990
0.020000,15.159102,20.752569,0.756865,2.683135,0.779749,-55.846939,1.358436
0.020000,15.171103,20.804641,0.810301,2.671821,-0.565683,-67.271566,1.329431
0.020000,15.184487,20.855471,0.862864,2.628169,-2.182618,-80.846791,1.296383
0.020000,15.199182,20.904223,0.913783,2.545913,-4.112789,-96.508527,1.258588
0.020000,15.214999,20.949928,0.962147,2.418216,-6.384842,-113.602664,1.215215
0.020000,15.231586,20.991510,1.006915,2.238411,-8.990269,-130.271359,1.165309
0.020000,15.248380,21.027850,1.046948,2.001631,-11.838983,-142.435678,1.107830
0.020000,15.264583,21.057920,1.081106,1.707903,-14.686425,-142.372084,1.041736
0.020000,15.279209,21.081024,1.108450,1.367208,-17.034720,-117.414744,0.966168
0.020000,15.291292,21.097118,1.128575,1.006262,-18.047318,-50.629944,0.880755
0.020000,15.300320,21.107141,1.142064,0.674440,-16.591082,72.811802,0.786029
0.020000,15.306868,21.113101,1.150919,0.442753,-11.584381,250.335050,0.683820
0.020000,15.313150,21.117676,1.158690,0.388539,-2.710686,443.684761,0.577376
0.020000,15.322985,21.123298,1.170019,0.566436,8.894864,580.277530,0.470942
0.020000,15.340957,21.131213,1.189656,0.981867,20.771542,593.833858,0.368863
0.020000,15.371135,21.141134,1.221423,1.588345,30.323907,477.618262,0.274633
0.020000,15.416144,21.151640,1.267642,2.310956,36.130557,290.332490,0.190374
0.020000,15.476974,21.160908,1.329175,3.076628,38.283565,107.650396,0.116872
0.020000,15.553357,21.167304,1.405824,3.832484,37.792824,-24.537037,0.053947
0.020000,15.644308,21.169666,1.496806,4.549080,35.829811,-98.150617,0.000880
0.020000,15.748586,21.167335,1.601111,5.215232,33.307567,-126.112208,6.239933
0.020000,15.864984,21.160081,1.717734,5.831168,30.796803,-125.538216,6.203818
0.020000,15.992475,21.147984,1.845797,6.403178,28.600500,-109.815128,6.174917
0.020000,16.130281,21.131354,1.984604,6.940320,26.857102,-87.169932,6.152593
0.020000,16.277893,21.110661,2.133659,7.452759,25.621974,-61.756387,6.136393
0.020000,16.435071,21.086504,2.292683,7.951175,24.920792,-35.059097,6.126063
0.020000,16.601853,21.059608,2.461619,8.446832,24.782855,-6.896841,6.121552
0.020000,16.778568,21.030836,2.640661,8.952108,25.263778,24.046147,6.123035
0.020000,16.965873,21.001240,2.830290,9.481409,26.465066,60.064412,6.130954
0.020000,17.164807,20.972143,3.031340,10.052530,28.556050,104.549160,6.146074
0.020000,17.376883,20.945280,3.245111,10.688562,31.801574,162.276207,6.169583
0.020000,17.604207,20.923041,3.473520,11.420443,36.594055,239.624074,6.203236
0.020000,17.849596,20.908872,3.719318,12.289892,43.472484,343.921446,6.249554
0.020000,18.064877,20.905702,3.934623,10.765221,-76.233586,-5985.303513,6.264791
0.020000,18.214351,20.899461,4.084227,7.480229,-164.249565,-4400.798968,6.216662
0.020000,18.358072,20.885958,4.228580,7.217654,-13.128776,7556.039461,6.160491
0.020000,18.493628,20.864863,4.365768,6.859389,-17.913232,-239.222784,6.094733
0.020000,18.618301,20.836278,4.493676,6.395409,-23.198997,-264.288273,6.017860
0.020000,18.729630,20.800846,4.610508,5.841587,-27.691112,-224.605731,5.928636
0.020000,18.826108,20.759654,4.715411,5.245163,-29.821207,-106.504749,5.826686
0.020000,18.908006,20.713695,4.809324,4.695624,-27.476939,117.213386,5.713273
0.020000,18.977777,20.662873,4.895642,4.315909,-18.985768,424.558561,5.591905
0.020000,19.039320,20.605150,4.980019,4.218844,-4.853260,706.625403,5.468154
0.020000,19.096219,20.536828,5.068931,4.445636,11.339599,809.642932,5.348347
0.020000,19.150294,20.454035,5.167819,4.944400,24.938240,679.932046,5.237658
0.020000,19.201442,20.354298,5.279907,5.604381,32.999018,403.038920,5.139033
0.020000,19.248486,20.237171,5.406129,6.311078,35.334860,116.792085,5.053324
0.020000,19.290135,20.103810,5.545841,6.985640,33.728113,-80.337352,4.979945
0.020000,19.325494,19.956213,5.697614,7.588645,30.150250,-178.893109,4.917586
0.020000,19.354173,19.796599,5.859784,8.108496,25.992533,-207.885875,4.864728
0.020000,19.376192,19.627050,6.030757,8.548641,22.007240,-199.264664,4.819914
0.020000,19.391845,19.449362,6.209133,8.918813,18.508616,-174.931180,4.781866
0.020000,19.401584,19.265014,6.393739,9.230263,15.572496,-146.805987,4.749512
0.020000,19.405936,19.075192,6.583610,9.493587,13.166189,-120.315361,4.721970
0.020000,19.406292,18.865772,6.793030,10.471002,48.870772,1785.229125,4.712389
0.020000,19.406292,18.645772,7.013030,11.000000,26.449893,-1121.043915,4.712389
0.020000,19.406292,18.425772,7.233030,11.000000,-0.000000,-1322.494665,4.712389
0.020000,19.406292,18.205772,7.453030,11.000000,0.000000,0.000000,4.712389
0.020000,19.406292,17.985772,7.673030,11.000000,0.000000,-0.000000,4.712389
0.020000,19.406292,17.765772,7.893030,11.000000,0.000000,-0.000000,4.712389
0.020000,19.406292,17.545772,8.113030,11.000000,-0.000000,-0.000000,4.712389
0.020000,19.406292,17.325772,8.333030,11.000000,-0.000000,0.000000,4.712389
0.020000,19.406292,17.105772,8.553030,11.000000,-0.000000,0.000000,4.712389
0.020000,19.406292,16.885772,8.773030,11.000000,0.000000,0.000000,4.712389
0.020000,19.406292,16.665772,8.993030,11.000000,0.000000,-0.000000,4.712389
0.020000,19.406292,16.445772,9.213030,11.000000,-0.000000,-0.000000,4.712389
0.020000,19.406292,16.225772,9.433030,11.000000,0.000000,0.000000,4.712389
0.020000,19.406292,16.005772,9.653030,11.000000,-0.000000,-0.000000,4.712389
0.020000,19.406292,15.785772,9.873030,11.000000,0.000000,0.000000,4.712389
0.020000,19.406292,15.565772,10.093030,11.000000,-0.000000,-0.000000,4.712389
0.020000,19.406292,15.345772,10.313030,11.000000,0.000000,0.000000,4.712389
0.020000,19.406292,15.125772,10.533030,11.000000,0.000000,0.000000,4.712389
0.020000,19.406292,14.905772,10.753030,11.000000,0.000000,0.000000,4.712389
0.020000,19.406292,14.685772,10.973030,11.000000,0.000000,0.000000,4.712389
0.020000,19.406292,14.465772,11.193030,11.000000,0.000000,0.000000,4.712389
0.020000,19.406292,14.245772,11.413030,11.000000,0.000000,0.000000,4.712389
0.020000,19.406292,14.025772,11.633030,11.000000,-0.000000,-0.000000,4.712389
0.020000,19.406292,13.805772,11.853030,11.000000,0.000000,0.000000,4.712389
0.020000,19.406292,13.585772,12.073030,11.000000,0.000000,-0.000000,4.712389
0.020000,19.406292,13.365772,12.293030,11.000000,0.000000,-0.000000,4.712389
0.020000,19.406292,13.145772,12.513030,11.000000,0.000000,0.000000,4.712389
0.020000,19.406292,12.925772,12.733030,11.000000,-0.000000,-0.000000,4.712389
0.020000,19.406292,12.705772,12.953030,11.000000,0.000000,0.000000,4.712389
0.020000,19.406292,12.485772,13.173030,11.000000,-0.000000,-0.000000,4.712389
0.020000,19.406292,12.265772,13.393030,11.000000,0.000000,0.000000,4.712389
0.020000,19.406292,12.045772,13.613030,11.000000,-0.000000,-0.000000,4.712389
0.020000,19.406292,11.825772,13.833030,11.000000,0.000000,0.000000,4.712389
0.020000,19.406292,11.605871,14.052932,10.995081,-0.245945,-12.297261,4.712389
0.020000,19.406292,11.386388,14.272415,10.974155,-1.046326,-40.019035,4.712389
0.020000,19.406292,11.167767,14.491036,10.931051,-2.155197,-55.443548,4.712389
0.020000,19.406292,10.950451,14.708351,10.865769,-3.264068,-55.443548,4.712389
0.020000,19.406292,10.734885,14.923918,10.778311,-4.372939,-55.443548,4.712389
0.020000,19.406292,10.521512,15.137291,10.668674,-5.481810,-55.443548,4.712389
0.020000,19.406292,10.310774,15.348028,10.536861,-6.590681,-55.443548,4.712389
0.020000,19.406292,10.103117,15.555686,10.382870,-7.699552,-55.443548,4.712389
0.020000,19.406292,9.898885,15.759918,10.211620,-8.562477,-43.146288,4.712389
0.020000,19.406292,9.698201,15.960602,10.034201,-8.870968,-15.424513,4.712389
0.020000,19.406292,9.501065,16.157738,9.856781,-8.870968,0.000000,4.712389
0.020000,19.406292,9.307478,16.351325,9.679362,-8.870968,-0.000000,4.712389
0.020000,19.406292,9.117439,16.541364,9.501943,-8.870968,0.000000,4.712389
0.020000,19.406808,8.917275,16.741528,10.008214,25.313554,1709.226101,4.724967
0.020000,19.413663,8.693992,16.964917,11.169430,58.060811,1637.362832,4.761960
0.020000,19.429519,8.468842,17.190625,11.285397,5.798341,-2613.123492,4.804321
0.020000,19.456006,8.241175,17.419827,11.460097,8.735026,146.834270,4.853127
0.020000,19.495242,8.010405,17.653908,11.704080,12.199115,173.204443,4.909647
0.020000,19.549941,7.776191,17.894425,12.025837,16.087853,194.436880,4.975305
0.020000,19.623464,7.538783,18.142957,12.426612,20.038788,197.546775,5.051553
0.020000,19.719678,7.299586,18.400780,12.891116,23.225159,159.318536,5.139559
0.020000,19.842377,7.061896,18.668270,13.374548,24.171629,47.323471,5.239677
0.020000,19.994061,6.831500,18.944115,13.792225,20.883834,-164.389752,5.350704
0.020000,20.174200,6.616434,19.224657,14.027113,11.744393,-456.972025,5.469292
0.020000,20.377947,6.425255,19.504053,13.969801,-2.865607,-730.499983,5.590081
0.020000,20.596633,6.264292,19.775591,13.576873,-19.646378,-839.038586,5.706915
0.020000,20.820250,6.135645,20.033573,12.899111,-33.888084,-712.085271,5.814572
0.020000,21.040268,6.037276,20.274579,12.050308,-42.440191,-427.605382,5.909922
0.020000,21.251081,5.964672,20.497545,11.148281,-45.101352,-133.058008,5.991994
0.020000,21.449909,5.912635,20.703069,10.276231,-43.602475,74.943826,6.061345
0.020000,21.635948,5.876400,20.892604,9.476726,-39.975243,181.361578,6.119307
0.020000,21.809507,5.852055,21.067863,8.762953,-35.688666,214.328851,6.167452
0.020000,21.971407,5.836560,21.230503,8.131985,-31.548386,207.014029,6.207297
0.020000,22.122624,5.827611,21.381984,7.574083,-27.895101,182.664225,6.240181
0.020000,22.264120,5.823481,21.523540,7.077810,-24.813665,154.071804,6.267233
0.020000,22.396767,5.822868,21.656188,6.632379,-22.271546,127.105966,0.006196
0.020000,22.521322,5.824789,21.780758,6.228505,-20.193717,103.891435,0.024203
0.020000,22.638434,5.828496,21.897929,5.858545,-18.497975,84.787112,0.038688
0.020000,22.748651,5.833415,22.008256,5.516358,-17.109332,69.432159,0.050160
0.020000,22.852437,5.839104,22.112198,5.197069,-15.964446,57.244307,0.059038
0.020000,22.950183,5.845220,22.210134,4.896834,-15.011765,47.634034,0.065669
0.020000,23.042221,5.851501,22.302387,4.612632,-14.210095,40.083486,0.070348
0.020000,23.128838,5.857744,22.389229,4.342096,-13.526793,34.165112,0.073324
0.020000,23.210281,5.863797,22.470896,4.083375,-12.936069,29.536179,0.074813
0.020000,23.286766,5.869544,22.547597,3.835024,-12.417563,25.925325,0.075005
0.020000,23.358484,5.874907,22.619515,3.595920,-11.955200,23.118170,0.074069
0.020000,23.425608,5.879829,22.686819,3.365194,-11.536310,20.944458,0.072158
0.020000,23.488294,5.884279,22.749663,3.142174,-11.150959,19.267557,0.069414
0.020000,23.546686,5.888242,22.808189,2.926346,-10.791435,17.976200,0.065967
0.020000,23.600921,5.891719,22.862536,2.717308,-10.451870,16.978248,0.061941
0.020000,23.651126,5.894723,22.912831,2.514749,-10.127949,16.196049,0.057457
0.020000,23.697424,5.897276,22.959199,2.318416,-9.816686,15.563184,0.052626
0.020000,23.739933,5.899409,23.001761,2.128091,-9.516242,15.022177,0.047559
0.020000,23.778765,5.901158,23.040632,1.943575,-9.225780,14.523120,0.042363
0.020000,23.814030,5.902562,23.075926,1.764669,-8.945323,14.022834,0.037139
0.020000,23.845834,5.903663,23.107749,1.591156,-8.675632,13.484546,0.031987
0.020000,23.874278,5.904503,23.136205,1.422794,-8.418077,12.877748,0.027000
0.020000,23.899456,5.905124,23.161391,1.259304,-8.174509,12.178430,0.022268
0.020000,23.921459,5.905566,23.183398,1.100362,-7.947129,11.368994,0.017874
0.020000,23.940368,5.905867,23.202310,0.945595,-7.738358,10.438533,0.013894
0.020000,23.956259,5.906060,23.218201,0.794580,-7.550706,9.382611,0.010397
0.020000,23.969195,5.906176,23.231138,0.646848,-7.386644,8.203084,0.007443
0.020000,23.979311,5.906239,23.241254,0.505780,-7.053386,16.662887,0.005064
0.020000,23.986901,5.906271,23.248844,0.379518,-6.313100,37.014310,0.003237
0.020000,23.992346,5.906285,23.254289,0.272226,-5.364597,47.425172,0.001905
0.020000,23.996012,5.906290,23.257955,0.183306,-4.445978,45.930916,0.000997
0.020000,23.998258,5.906292,23.260202,0.112333,-3.548676,44.865111,0.000437
0.020000,23.999439,5.906292,23.261382,0.059025,-2.665385,44.164553,0.000141
0.020000,23.999903,5.906292,23.261847,0.023220,-1.790257,43.756410,0.000024
0.020000,24.000000,5.906292,23.261943,0.004840,-0.919024,43.561643,0.000000
0.020000,24.000000,5.906292,23.261943,0.000000,-0.241975,33.852433,0.000000
