dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.000000,6.999862,0.000222,0.022177,1.108871,55.443548,4.712412
0.020000,14.000000,6.998974,0.001109,0.066532,2.217742,55.443548,4.712559
0.020000,14.000001,6.996978,0.003105,0.133065,3.326613,55.443548,4.712890
0.020000,14.000004,6.993430,0.006653,0.221774,4.435484,55.443548,4.713479
0.020000,14.000012,6.987886,0.012198,0.332661,5.544355,55.443548,4.714402
0.020000,14.000034,6.979902,0.020181,0.465726,6.653226,55.443548,4.715736
0.020000,14.000080,6.969035,0.031048,0.620968,7.762097,55.443548,4.717561
0.020000,14.000170,6.954842,0.045242,0.798387,8.870968,55.443548,4.719962
0.020000,14.000331,6.937101,0.062984,0.975806,8.870968,-0.000000,4.722989
0.020000,14.000596,6.915812,0.084274,1.153226,8.870968,0.000000,4.726662
0.020000,14.001004,6.890977,0.109113,1.330645,8.870968,-0.000000,4.731003
0.020000,14.001604,6.862596,0.137500,1.508065,8.870968,0.000000,4.736039
0.020000,14.002451,6.830672,0.169435,1.685484,8.870968,0.000000,4.741803
0.020000,14.003610,6.795207,0.204919,1.862903,8.870968,-0.000000,4.748331
0.020000,14.005155,6.756205,0.243952,2.040323,8.870968,0.000000,4.755666
0.020000,14.007171,6.713672,0.286532,2.217742,8.870968,-0.000000,4.763859
0.020000,14.009753,6.667616,0.332661,2.395161,8.870968,0.000000,4.772967
0.020000,14.013009,6.618046,0.382339,2.572581,8.870968,0.000000,4.783053
0.020000,14.017061,6.564974,0.435565,2.750000,8.870968,0.000000,4.794191
0.020000,14.022045,6.508420,0.492339,2.927419,8.870968,-0.000000,4.806466
0.020000,14.028115,6.448404,0.552661,3.104839,8.870968,0.000000,4.819970
0.020000,14.035441,6.384955,0.616532,3.282258,8.870968,-0.000000,4.834811
0.020000,14.044215,6.318110,0.683952,3.459677,8.870968,0.000000,4.851108
0.020000,14.054652,6.247915,0.754919,3.637097,8.870968,0.000000,4.868996
0.020000,14.066990,6.174428,0.829435,3.814516,8.870968,0.000000,4.888625
0.020000,14.081497,6.097725,0.907500,3.991935,8.870968,-0.000000,4.910163
0.020000,14.098469,6.017898,0.989113,4.169355,8.870968,-0.000000,4.933792
0.020000,14.118236,5.935065,1.074274,4.346774,8.870968,0.000000,4.959714
0.020000,14.141162,5.849372,1.162984,4.524194,8.870968,0.000000,4.988145
