dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.093708,6.999887,0.000222,0.022177,1.108871,55.443548,4.712412
0.020000,15.093708,6.999160,0.000948,0.036319,0.707069,-20.090119,4.712559
0.020000,15.093709,6.997526,0.002582,0.081703,2.269203,78.106744,4.712890
0.020000,15.093711,6.994622,0.005486,0.145200,3.174865,45.283052,4.713479
0.020000,15.093718,6.990087,0.010021,0.226748,4.077411,45.127326,4.714402
0.020000,15.093735,6.983562,0.016546,0.326245,4.974816,44.870224,4.715736
0.020000,15.093773,6.974692,0.025417,0.443534,5.864487,44.483597,4.717561
0.020000,15.093847,6.963124,0.036985,0.578399,6.743206,43.935922,4.719962
0.020000,15.093978,6.948694,0.051415,0.721530,7.156597,20.669569,4.722989
0.020000,15.094193,6.931422,0.068688,0.863656,7.106258,-2.516951,4.726662
0.020000,15.094523,6.911334,0.088779,1.004544,7.044399,-3.092947,4.731003
0.020000,15.095006,6.888460,0.111658,1.143947,6.970187,-3.710606,4.736039
0.020000,15.095686,6.862837,0.137290,1.281600,6.882611,-4.378797,4.741803
0.020000,15.096612,6.834508,0.165634,1.417209,6.780470,-5.107076,4.748331
0.020000,15.097839,6.803523,0.196644,1.550456,6.662347,-5.906128,4.755666
0.020000,15.099430,6.769941,0.230263,1.680988,6.526601,-6.787303,4.763859
0.020000,15.101455,6.733830,0.266432,1.808415,6.371331,-7.763506,4.772967
0.020000,15.103988,6.695267,0.305078,1.932302,6.194371,-8.847989,4.783053
0.020000,15.107112,6.654342,0.346121,2.052167,5.993266,-10.055264,4.794191
0.020000,15.110917,6.611160,0.389470,2.167473,5.765270,-11.399778,4.806466
0.020000,15.115500,6.565839,0.435023,2.277620,5.507359,-12.895572,4.819970
0.020000,15.120963,6.518515,0.482662,2.381945,5.216268,-14.554522,4.834811
0.020000,15.127417,6.469342,0.532256,2.479717,4.888576,-16.384604,4.851108
0.020000,15.134975,6.418498,0.583659,2.570134,4.520866,-18.385496,4.868996
0.020000,15.143757,6.366183,0.636705,2.652334,4.109977,-20.544486,4.888625
0.020000,15.153885,6.312624,0.691214,2.725402,3.653428,-22.827443,4.910163
0.020000,15.165480,6.258075,0.746982,2.788403,3.150056,-25.168591,4.933792
0.020000,15.178663,6.202817,0.803790,2.840423,2.600968,-27.454393,4.959714
0.020000,15.193549,6.147161,0.861403,2.880641,2.010906,-29.503093,4.988145
0.020000,15.210245,6.091440,0.919572,2.908443,1.390124,-31.039116,5.019311
0.020000,15.228846,6.036005,0.978043,2.923580,0.756850,-31.663719,5.053444
0.020000,15.249433,5.981218,1.036571,2.926386,0.140274,-30.828771,5.090770
0.020000,15.272076,5.927428,1.094932,2.918061,-0.416222,-27.824792,5.131492
0.020000,15.296837,5.874957,1.152953,2.901015,-0.852314,-21.804599,5.175770
0.020000,15.323786,5.824067,1.210537,2.879219,-1.089817,-11.875159,5.223690
0.020000,15.353019,5.774937,1.267707,2.858506,-1.035635,2.709113,5.275232
0.020000,15.384698,5.727630,1.324641,2.846686,-0.591010,22.231204,5.330233
0.020000,15.419083,5.682087,1.381707,2.853310,0.331188,46.109899,5.388358
0.020000,15.456580,5.638128,1.439486,2.888949,1.781989,72.540094,5.449074
0.020000,15.497762,5.595490,1.498765,2.963950,3.750048,98.402951,5.511662
0.020000,15.543373,5.553883,1.560501,3.086825,6.143709,119.683021,5.575247
0.020000,15.594286,5.513068,1.625755,3.262679,8.792700,132.449551,5.638860
0.020000,15.651433,5.472914,1.695599,3.492176,11.474893,134.109670,5.701520
0.020000,15.715711,5.433445,1.771027,3.771415,13.961945,124.352602,5.762319
0.020000,15.787890,5.394840,1.852882,4.092761,16.067288,105.267140,5.820485
0.020000,15.868552,5.357401,1.941809,4.446333,17.678590,80.565089,5.875431
0.020000,15.958054,5.321503,2.038242,4.821643,18.765524,54.346728,5.926758
0.020000,16.056542,5.287542,2.142421,5.208959,19.365797,30.013626,5.974248
0.020000,16.163978,5.255883,2.254424,5.600158,19.559957,9.708020,6.017829
0.020000,16.280183,5.226833,2.374205,5.989076,19.445893,-5.703213,6.057544
0.020000,16.404888,5.200621,2.501635,6.371469,19.119637,-16.312782,6.093512
0.020000,16.537768,5.177395,2.636530,6.744755,18.664294,-22.767199,6.125898
0.020000,16.678483,5.157222,2.778683,7.107671,18.145786,-25.925381,6.154894
0.020000,16.826696,5.140097,2.927882,7.459932,17.613067,-26.635937,6.180693
0.020000,16.982092,5.125952,3.083921,7.801944,17.100601,-25.623315,6.203483
0.020000,17.144392,5.114666,3.246612,8.134576,16.631617,-23.449200,6.223435
0.020000,17.313353,5.106067,3.415792,8.459002,16.221286,-20.516543,6.240700
0.020000,17.488778,5.099946,3.591324,8.776591,15.879449,-17.091843,6.255401
0.020000,17.670513,5.096051,3.773101,9.088847,15.612814,-13.331755,6.267638
0.020000,17.858451,5.094096,3.961049,9.397381,15.426679,-9.306758,6.277477
