dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.906292,6.999836,0.000222,0.022177,1.108871,55.443548,4.712412
0.020000,12.906292,6.998789,0.001270,0.052391,1.510673,20.090116,4.712559
0.020000,12.906293,6.996431,0.003627,0.117894,3.275151,88.223900,4.712890
0.020000,12.906296,6.992238,0.007820,0.209639,4.587232,65.604021,4.713479
0.020000,12.906306,6.985684,0.014374,0.327687,5.902428,65.759811,4.714402
0.020000,12.906332,6.976241,0.023817,0.472142,7.222762,66.016724,4.715736
0.020000,12.906386,6.963378,0.036680,0.643159,8.550830,66.403399,4.717561
0.020000,12.906494,6.946560,0.053499,0.840956,9.889850,66.950973,4.719962
0.020000,12.906685,6.925507,0.074552,1.052662,10.585320,34.773526,4.722989
0.020000,12.907000,6.900202,0.099860,1.265375,10.635652,2.516587,4.726662
0.020000,12.907486,6.870619,0.129446,1.479325,10.697498,3.092316,4.731003
0.020000,12.908202,6.836732,0.163342,1.694759,10.771696,3.709860,4.736039
0.020000,12.909216,6.798506,0.201580,1.911944,10.859253,4.377853,4.741803
0.020000,12.910608,6.755905,0.244204,2.131172,10.961372,5.105986,4.748331
0.020000,12.912471,6.708887,0.291259,2.352761,11.079465,5.904621,4.755666
0.020000,12.914911,6.657404,0.342800,2.577065,11.215178,6.785652,4.763859
0.020000,12.918051,6.601402,0.398890,2.804473,11.370402,7.761214,4.772967
0.020000,12.922031,6.540824,0.459598,3.035419,11.547309,8.845320,4.783053
0.020000,12.927011,6.475606,0.525006,3.270386,11.748347,10.051897,4.794191
0.020000,12.933174,6.405679,0.595204,3.509911,11.976259,11.395627,4.806466
0.020000,12.940730,6.330969,0.670296,3.754592,12.234066,12.890347,4.819970
0.020000,12.949918,6.251395,0.750398,4.005093,12.525030,14.548178,4.834811
0.020000,12.961013,6.166878,0.835641,4.262144,12.852558,16.376431,4.851108
0.020000,12.974328,6.077331,0.926172,4.526545,13.220070,18.375567,4.868996
0.020000,12.990223,5.982673,1.022155,4.799160,13.630708,20.531908,4.888625
0.020000,13.009109,5.882826,1.123773,5.080899,14.086945,22.811890,4.910163
0.020000,13.031458,5.777722,1.231227,5.372697,14.589930,25.149232,4.933792
0.020000,13.057808,5.667313,1.344736,5.675468,15.138538,27.430413,4.959714
0.020000,13.088775,5.551584,1.464537,5.990028,15.728013,29.473749,4.988145
0.020000,13.125052,5.430564,1.590876,6.316990,16.348080,31.003354,5.019311
0.020000,13.167420,5.304354,1.724008,6.656600,16.980500,31.620963,5.053444
0.020000,13.216747,5.173150,1.864179,7.008521,17.596078,30.778921,5.090770
0.020000,13.273972,5.037278,2.011610,7.371550,18.151444,27.768270,5.131492
0.020000,13.340092,4.897237,2.166475,7.743277,18.586319,21.743788,5.175770
0.020000,13.416121,4.753739,2.328870,8.119729,18.822604,11.814241,5.223690
0.020000,13.503030,4.607748,2.498772,8.495076,18.767344,-2.762992,5.275232
0.020000,13.601671,4.460505,2.676002,8.861515,18.321982,-22.268091,5.330233
0.020000,13.712677,4.313523,2.860192,9.209508,17.399625,-46.117884,5.388358
0.020000,13.836361,4.168543,3.050762,9.528497,15.949470,-72.507741,5.449074
0.020000,13.972634,4.027442,3.246925,9.808157,13.983012,-98.322915,5.511662
0.020000,14.120964,3.892095,3.447725,10.039995,11.591888,-119.556159,5.575247
0.020000,14.280394,3.764217,3.652103,10.218918,8.946150,-132.286927,5.638860
0.020000,14.449632,3.645221,3.858989,10.344269,6.267528,-133.931113,5.701520
0.020000,14.627182,3.536107,4.067388,10.419947,3.783897,-124.181537,5.762319
0.020000,14.811502,3.437430,4.276459,10.453575,1.681416,-105.124048,5.820485
0.020000,15.001134,3.349324,4.485560,10.455018,0.072166,-80.462505,5.875431
0.020000,15.194803,3.271568,4.694254,10.434746,-1.013591,-54.287854,5.926758
0.020000,15.391466,3.203684,4.902304,10.402477,-1.613470,-29.993952,5.974248
0.020000,15.590322,3.145028,5.109630,10.366320,-1.807846,-9.718810,6.017829
0.020000,15.790790,3.094866,5.316279,10.332432,-1.694410,5.671840,6.057544
0.020000,15.992476,3.052435,5.522380,10.305052,-1.369015,16.269723,6.093512
0.020000,16.195133,3.016981,5.728115,10.286759,-0.914631,22.719224,6.125898
0.020000,16.398625,2.987782,5.933692,10.278817,-0.397088,25.877153,6.154894
0.020000,16.602894,2.964160,6.139322,10.281512,0.134719,26.590329,6.180693
0.020000,16.807934,2.945480,6.345211,10.294439,0.646353,25.581711,6.203483
0.020000,17.013771,2.931153,6.551545,10.316731,1.114596,23.412122,6.223435
0.020000,17.220447,2.920625,6.758490,10.347216,1.524273,20.483866,6.240700
0.020000,17.428011,2.913374,6.966180,10.384527,1.865535,17.063104,6.255401
0.020000,17.636506,2.908899,7.174723,10.427160,2.131661,13.306291,6.267638
0.020000,17.845965,2.906715,7.384193,10.473507,2.317336,9.283753,6.277477
0.020000,18.058912,2.906416,7.597141,10.647373,8.693303,318.798338,0.004221
0.020000,18.283342,2.909247,7.821589,11.222394,28.751051,1002.887441,0.021267
0.020000,18.513405,2.916318,8.051761,11.508608,14.310714,-722.016847,0.040507
0.020000,18.748988,2.928398,8.287653,11.794585,14.298835,-0.593975,0.062341
0.020000,18.990035,2.946408,8.529372,12.085968,14.569189,13.517715,0.087275
0.020000,19.236567,2.971475,8.777175,12.390162,15.209693,32.025194,0.115948
0.020000,19.488686,3.005005,9.031513,12.716911,16.337442,56.387457,0.149180
0.020000,19.746575,3.048790,9.293094,13.079017,18.105305,88.393158,0.188024
0.020000,20.010485,3.105154,9.562955,13.493087,20.703489,129.909177,0.233838
0.020000,20.280654,3.177158,9.842554,13.979942,24.342769,181.964017,0.288362
0.020000,20.557396,3.268970,10.134129,14.578714,29.938566,279.789849,0.353851
0.020000,20.840695,3.386275,10.440753,15.331219,37.625247,384.334045,0.433127
0.020000,21.129012,3.536443,10.765834,16.254028,46.140440,425.759623,0.529319
0.020000,21.417614,3.728061,11.112257,17.321149,53.356072,360.781620,0.645087
0.020000,21.696386,3.968666,11.480502,18.412254,54.555272,59.959990,0.780890
0.020000,21.949020,4.259842,11.865998,19.274807,43.127623,-571.382465,0.932545
0.020000,22.157025,4.592028,12.257933,19.596781,16.098696,-1351.446347,1.090121
0.020000,22.308408,4.945435,12.642399,19.223261,-18.675987,-1738.734148,1.240829
0.020000,22.403234,5.298911,13.008373,18.298716,-46.227251,-1377.563177,1.374546
0.020000,22.450685,5.638319,13.351082,17.135468,-58.162419,-596.758428,1.486906
0.020000,22.462534,5.957954,13.670936,15.992704,-57.138171,51.212437,1.578307
0.020000,22.449014,6.257564,13.970851,14.995749,-49.847779,364.519585,1.651436
0.020000,22.417748,6.539271,14.254288,14.171855,-41.194673,432.655322,1.709474
0.020000,22.374102,6.805788,14.524355,13.503341,-33.425722,388.447506,1.755273
0.020000,22.321837,7.059658,14.783550,12.959727,-27.180706,312.250803,1.791122
0.020000,22.263648,7.303024,15.033775,12.511275,-22.422592,237.905711,1.818765
0.020000,22.201543,7.537602,15.276435,12.132993,-18.914066,175.426284,1.839488
0.020000,22.137093,7.764732,15.512532,11.804859,-16.406702,125.368203,1.854207
0.020000,22.071594,7.985435,15.742749,11.510858,-14.700047,85.332785,1.863550
0.020000,22.006179,8.200461,15.967506,11.237820,-13.651917,52.406478,1.867899
0.020000,21.941889,8.410321,16.186993,10.974337,-13.174145,23.888598,1.867430
0.020000,21.879737,8.615302,16.401189,10.709805,-13.226588,-2.622150,1.862123
0.020000,21.820746,8.815460,16.609859,10.433531,-13.813743,-29.357749,1.851766
0.020000,21.765988,9.010600,16.812536,10.133827,-14.985173,-58.571486,1.835928
0.020000,21.716610,9.200217,17.008477,9.797034,-16.839647,-92.723728,1.813934
0.020000,21.673845,9.383420,17.196605,9.406406,-19.531427,-134.588974,1.784799
0.020000,21.638996,9.558810,17.375423,8.940940,-23.273297,-187.093519,1.747156
0.020000,21.613368,9.724328,17.542914,8.374525,-28.320721,-252.371208,1.699160
0.020000,21.598090,9.877098,17.696446,7.676605,-34.896024,-328.765129,1.638408
0.020000,21.593708,10.022969,17.842383,7.296827,-18.988878,795.357308,1.570796
0.020000,21.593708,10.242969,18.062383,11.000000,185.158640,10207.375916,1.570796
0.020000,21.593708,10.462969,18.282383,11.000000,-0.000000,-9257.932021,1.570796
0.020000,21.593708,10.682969,18.502383,11.000000,0.000000,0.000000,1.570796
0.020000,21.593708,10.902969,18.722383,11.000000,0.000000,-0.000000,1.570796
0.020000,21.593708,11.122969,18.942383,11.000000,-0.000000,-0.000000,1.570796
0.020000,21.593708,11.342969,19.162383,11.000000,-0.000000,0.000000,1.570796
0.020000,21.593708,11.562969,19.382383,11.000000,0.000000,0.000000,1.570796
0.020000,21.593708,11.782969,19.602383,11.000000,0.000000,0.000000,1.570796
0.020000,21.593708,12.002969,19.822383,11.000000,-0.000000,-0.000000,1.570796
0.020000,21.593708,12.222969,20.042383,11.000000,0.000000,0.000000,1.570796
0.020000,21.593708,12.442969,20.262383,11.000000,-0.000000,-0.000000,1.570796
0.020000,21.593708,12.662969,20.482383,11.000000,0.000000,0.000000,1.570796
0.020000,21.593708,12.882969,20.702383,11.000000,0.000000,0.000000,1.570796
0.020000,21.593708,13.102969,20.922383,11.000000,0.000000,0.000000,1.570796
0.020000,21.593708,13.322969,21.142383,11.000000,0.000000,0.000000,1.570796
0.020000,21.593708,13.542969,21.362383,11.000000,-0.000000,-0.000000,1.570796
0.020000,21.593708,13.762969,21.582383,11.000000,0.000000,0.000000,1.570796
0.020000,21.593708,13.982969,21.802383,11.000000,0.000000,0.000000,1.570796
0.020000,21.593708,14.202969,22.022383,11.000000,0.000000,0.000000,1.570796
0.020000,21.593708,14.422969,22.242383,11.000000,0.000000,-0.000000,1.570796
0.020000,21.593708,14.642969,22.462383,11.000000,0.000000,-0.000000,1.570796
0.020000,21.593708,14.862969,22.682383,11.000000,0.000000,0.000000,1.570796
0.020000,21.593708,15.082969,22.902383,11.000000,-0.000000,-0.000000,1.570796
0.020000,21.593708,15.302969,23.122383,11.000000,0.000000,0.000000,1.570796
0.020000,21.593708,15.522827,23.342241,10.992922,-0.353885,-17.694267,1.570796
0.020000,21.593708,15.742181,23.561595,10.967678,-1.262206,-45.416041,1.570796
0.020000,21.593708,15.960586,23.780000,10.920257,-2.371077,-55.443548,1.570796
0.020000,21.593708,16.177599,23.997013,10.850658,-3.479948,-55.443548,1.570796
0.020000,21.593708,16.392777,24.212191,10.758881,-4.588819,-55.443548,1.570796
0.020000,21.593708,16.605675,24.425089,10.644927,-5.697690,-55.443548,1.570796
0.020000,21.593708,16.815851,24.635265,10.508796,-6.806561,-55.443548,1.570796
0.020000,21.593708,17.022861,24.842275,10.350488,-7.915432,-55.443548,1.570796
0.020000,21.593708,17.226403,25.045816,10.177079,-8.670418,-37.749281,1.570796
0.020000,21.593708,17.426396,25.245810,9.999660,-8.870968,-10.027507,1.570796
0.020000,21.593708,17.622841,25.442254,9.822241,-8.870968,-0.000000,1.570796
0.020000,21.593708,17.815737,25.635151,9.644821,-8.870968,0.000000,1.570796
0.020000,21.593709,18.004245,25.823658,9.425376,-10.972273,-105.065256,1.570116
0.020000,21.595887,18.159985,25.979414,7.787790,-81.879283,-3545.350495,1.542651
0.020000,21.602297,18.307405,26.126973,7.377949,-20.492069,3069.360709,1.510937
0.020000,21.613018,18.445195,26.265179,6.910320,-23.381452,-144.469191,1.473917
0.020000,21.627978,18.571630,26.392496,6.365839,-27.224028,-192.128788,1.430187
0.020000,21.646811,18.684440,26.506867,5.718562,-32.363854,-256.991278,1.377868
0.020000,21.668604,18.780689,26.605553,4.934290,-39.213618,-342.488225,1.314455
0.020000,21.691481,18.856758,26.684988,3.971735,-48.127737,-445.705955,1.236688
0.020000,21.712027,18.908691,26.740837,2.792465,-58.963491,-541.787705,1.140601
0.020000,21.724819,18.933452,26.768707,1.393500,-69.948248,-549.237832,1.022171
0.020000,21.723133,18.931696,26.771141,0.121697,-63.590158,317.904514,0.879286
0.020000,21.702729,18.911169,26.800084,1.447140,66.272160,6493.115904,0.715358
0.020000,21.668190,18.886133,26.842743,2.132951,34.290529,-1599.081568,0.542113
0.020000,21.634208,18.869174,26.880721,1.898910,-11.702034,-2299.628166,0.376402
0.020000,21.616535,18.863368,26.899324,0.930131,-48.438969,-1836.846747,0.231677
0.020000,21.622832,18.864199,26.905675,0.317573,-30.627861,890.555404,0.113023
0.020000,21.652527,18.865937,26.935422,1.487317,58.487169,4455.751528,0.019015
0.020000,21.701219,18.864900,26.984124,2.435132,47.390733,-554.821828,6.228770
0.020000,21.763975,18.859547,27.047108,3.149205,35.703664,-584.353429,6.171639
0.020000,21.836645,18.849667,27.120447,3.666931,25.886335,-490.866436,6.127217
0.020000,21.916085,18.835690,27.201107,4.033013,18.304097,-379.111903,6.092733
0.020000,22.000011,18.818288,27.286819,4.285566,12.627644,-283.822681,6.066110
0.020000,22.086786,18.798176,27.375894,4.453771,8.410211,-210.871642,6.045806
0.020000,22.175237,18.776027,27.467076,4.559088,5.265872,-157.216940,6.030671
0.020000,22.264517,18.752443,27.559418,4.617104,2.900822,-118.252511,6.019842
0.020000,22.354006,18.727944,27.652200,4.639131,1.101337,-89.974253,6.012659
0.020000,22.443248,18.702977,27.744869,4.633412,-0.285973,-69.365474,6.008617
0.020000,22.531896,18.677924,27.836988,4.605983,-1.371429,-54.272799,6.007317
0.020000,22.619681,18.653108,27.928214,4.561278,-2.235249,-43.191022,6.008443
0.020000,22.706390,18.628805,28.018265,4.502543,-2.936744,-35.074724,6.011740
0.020000,22.791846,18.605248,28.106907,4.432130,-3.520688,-29.197201,6.016994
0.020000,22.875891,18.582636,28.193941,4.351696,-4.021698,-25.050537,6.024022
0.020000,22.958381,18.561134,28.279188,4.262351,-4.467218,-22.276002,6.032660
0.020000,23.039177,18.540880,28.362484,4.164761,-4.879523,-20.615249,6.042758
