dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.000000,6.999891,0.000223,0.022250,1.112511,55.625555,4.712403
0.020000,14.000000,6.999001,0.001113,0.066751,2.225022,55.625555,4.712517
0.020000,14.000001,6.996998,0.003115,0.133501,3.337533,55.625555,4.712773
0.020000,14.000003,6.993438,0.006675,0.222502,4.450044,55.625555,4.713228
0.020000,14.000009,6.987876,0.012238,0.333753,5.562556,55.625555,4.713942
0.020000,14.000026,6.979866,0.020248,0.467255,6.675067,55.625555,4.714974
0.020000,14.000062,6.968963,0.031150,0.623006,7.787578,55.625555,4.716385
0.020000,14.000132,6.954723,0.045390,0.801008,8.900089,55.625555,4.718241
0.020000,14.000257,6.936923,0.063191,0.979010,8.900089,0.000000,4.720581
0.020000,14.000462,6.915564,0.084551,1.157012,8.900089,0.000000,4.723419
0.020000,14.000779,6.890646,0.109471,1.335013,8.900089,0.000000,4.726772
0.020000,14.001244,6.862169,0.137951,1.513015,8.900089,-0.000000,4.730661
0.020000,14.001900,6.830136,0.169992,1.691017,8.900089,0.000000,4.735110
0.020000,14.002798,6.794547,0.205592,1.869019,8.900089,0.000000,4.740147
0.020000,14.003995,6.755405,0.244752,2.047020,8.900089,-0.000000,4.745805
0.020000,14.005557,6.712713,0.287473,2.225022,8.900089,0.000000,4.752122
0.020000,14.007557,6.666476,0.333753,2.403024,8.900089,0.000000,4.759142
0.020000,14.010079,6.616699,0.383594,2.581026,8.900089,-0.000000,4.766916
0.020000,14.013217,6.563391,0.436994,2.759028,8.900089,0.000000,4.775499
0.020000,14.017076,6.506562,0.493955,2.937029,8.900089,0.000000,4.784958
0.020000,14.021777,6.446224,0.554476,3.115031,8.900089,-0.000000,4.795368
0.020000,14.027451,6.382396,0.618556,3.293033,8.900089,0.000000,4.806815
0.020000,14.034249,6.315098,0.686197,3.471035,8.900089,-0.000000,4.819397
0.020000,14.042339,6.244359,0.757398,3.649036,8.900089,-0.000000,4.833225
0.020000,14.051910,6.170214,0.832158,3.827038,8.900089,0.000000,4.848430
0.020000,14.063175,6.092709,0.910479,4.005040,8.900089,-0.000000,4.865158
0.020000,14.076374,6.011900,0.992360,4.183042,8.900089,0.000000,4.883578
0.020000,14.091774,5.927860,1.077801,4.361044,8.900089,0.000000,4.903882
0.020000,14.109681,5.840681,1.166802,4.539045,8.900089,-0.000000,4.926292
0.020000,14.130436,5.750479,1.259363,4.717047,8.900089,0.000000,4.951055
0.020000,14.154423,5.657402,1.355484,4.895049,8.900089,-0.000000,4.978453
0.020000,14.182071,5.561637,1.455165,5.073051,8.900089,0.000000,5.008801
0.020000,14.213863,5.463418,1.558406,5.251052,8.900089,0.000000,5.042443
0.020000,14.250331,5.363042,1.665207,5.429054,8.900089,0.000000,5.079746
0.020000,14.292060,5.260883,1.775568,5.607056,8.900089,0.000000,5.121091
0.020000,14.339683,5.157404,1.889489,5.785058,8.900089,-0.000000,5.166844
0.020000,14.393867,5.053178,2.006970,5.963060,8.900089,0.000000,5.217323
0.020000,14.455296,4.948901,2.128011,6.141061,8.900089,0.000000,5.272739
0.020000,14.524637,4.845400,2.252612,6.319063,8.900089,-0.000000,5.333130
0.020000,14.602500,4.743631,2.380774,6.497065,8.900089,0.000000,5.398277
0.020000,14.689377,4.644657,2.512495,6.675067,8.900089,-0.000000,5.467629
