dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.093708,6.999906,0.000223,0.022250,1.112511,55.625555,4.712403
0.020000,15.093708,6.999140,0.000988,0.038284,0.801703,-15.540415,4.712517
0.020000,15.093708,6.997418,0.002711,0.086129,2.392225,79.526125,4.712773
0.020000,15.093710,6.994356,0.005772,0.153081,3.347597,47.768577,4.713228
0.020000,15.093716,6.989574,0.010554,0.239093,4.300630,47.651649,4.713942
0.020000,15.093730,6.982693,0.017436,0.344089,5.249796,47.458294,4.714974
0.020000,15.093761,6.973334,0.026795,0.467952,6.193147,47.167550,4.716385
0.020000,15.093821,6.961123,0.039005,0.610517,7.128250,46.755172,4.718241
0.020000,15.093928,6.945883,0.054246,0.762042,7.576248,22.399870,4.720581
0.020000,15.094104,6.927628,0.072502,0.912808,7.538313,-1.896734,4.723419
0.020000,15.094374,6.906376,0.093755,1.062641,7.491634,-2.333931,4.726772
0.020000,15.094769,6.882153,0.117982,1.211352,7.435534,-2.804992,4.730661
0.020000,15.095326,6.854984,0.145157,1.358736,7.369188,-3.317317,4.735110
0.020000,15.096085,6.824902,0.175248,1.504567,7.291596,-3.879583,4.740147
0.020000,15.097093,6.791945,0.208220,1.648599,7.201567,-4.501494,4.745805
0.020000,15.098402,6.756158,0.244031,1.790552,7.097678,-5.194421,4.752122
0.020000,15.100070,6.717592,0.282634,1.930117,6.978252,-5.971285,4.759142
0.020000,15.102161,6.676306,0.323973,2.066944,6.841316,-6.846821,4.766916
0.020000,15.104747,6.632369,0.367985,2.200634,6.684534,-7.839119,4.775499
0.020000,15.107906,6.585862,0.414600,2.330738,6.505180,-8.967678,4.784958
0.020000,15.111721,6.536875,0.463735,2.456739,6.300057,-10.256163,4.795368
0.020000,15.116287,6.485517,0.515296,2.578048,6.065428,-11.731439,4.806815
0.020000,15.121701,6.431910,0.569176,2.693987,5.796963,-13.423266,4.819397
0.020000,15.128072,6.376197,0.625251,2.803780,5.489645,-15.365862,4.833225
0.020000,15.135513,6.318545,0.683382,2.906535,5.137739,-17.595345,4.848430
0.020000,15.144145,6.259144,0.743406,3.001230,4.734753,-20.149255,4.865158
0.020000,15.154095,6.198217,0.805140,3.086700,4.273494,-23.062996,4.883578
0.020000,15.165491,6.136020,0.868373,3.161624,3.746225,-26.363451,4.903882
0.020000,15.178464,6.072848,0.932863,3.224525,3.145030,-30.059727,4.926292
0.020000,15.193142,6.009039,0.998339,3.273775,2.462523,-34.125373,4.951055
0.020000,15.209646,5.944978,1.064492,3.307637,1.693077,-38.472292,4.978453
0.020000,15.228083,5.881099,1.130978,3.324334,0.834891,-42.909288,5.008801
0.020000,15.248538,5.817882,1.197422,3.322199,-0.106749,-47.082008,5.042443
0.020000,15.271067,5.755848,1.263420,3.299908,-1.114557,-50.390377,5.079746
0.020000,15.295688,5.695543,1.328558,3.256863,-2.152271,-51.885729,5.121091
0.020000,15.322380,5.637512,1.392433,3.193750,-3.155642,-50.168525,5.166844
0.020000,15.351087,5.582259,1.454699,3.113303,-4.022350,-43.335383,5.217323
0.020000,15.381742,5.530188,1.515123,3.021224,-4.603957,-29.080364,5.272739
0.020000,15.414312,5.481542,1.573665,2.927101,-4.706132,-5.108780,5.333130
0.020000,15.448873,5.436342,1.630565,2.844969,-4.106611,29.976077,5.398277
0.020000,15.485714,5.394354,1.686424,2.792963,-2.600296,75.315754,5.467629
0.020000,15.525428,5.355113,1.742254,2.791523,-0.072021,126.413727,5.540261
0.020000,15.568974,5.318025,1.799454,2.859979,3.422813,174.741701,5.614896
0.020000,15.617642,5.282518,1.859698,3.012223,7.612222,209.470437,5.690001
0.020000,15.672920,5.248207,1.924759,3.253025,12.040104,221.394113,5.763957
0.020000,15.736281,5.215002,1.996293,3.576694,16.183425,207.166086,5.835248
0.020000,15.808973,5.183124,2.075668,3.968762,19.603390,170.998226,5.902626
0.020000,15.891874,5.153022,2.163865,4.409848,22.054291,122.545040,5.965193
0.020000,15.985441,5.125258,2.261464,4.879956,23.505400,72.555438,6.022420
0.020000,16.089751,5.100385,2.368699,5.361723,24.088356,29.147834,6.074093
0.020000,16.204593,5.078864,2.485539,5.842036,24.015687,-3.633461,6.120239
0.020000,16.329569,5.061015,2.611784,6.312253,23.510840,-25.242373,6.161043
0.020000,16.464194,5.047008,2.747136,6.767587,22.766708,-37.206566,6.196777
0.020000,16.607962,5.036872,2.891260,7.206197,21.930463,-41.812242,6.227747
0.020000,16.760395,5.030512,3.043826,7.628296,21.104976,-41.274382,6.254255
0.020000,16.921080,5.027725,3.204535,8.035450,20.357671,-37.365225,6.276573
0.020000,17.089680,5.028224,3.373136,8.430070,19.731013,-31.332902,0.011746
0.020000,17.265949,5.031643,3.549438,8.815107,19.251876,-23.956872,0.026318
0.020000,17.449521,5.037538,3.733105,9.183323,18.410766,-42.055512,0.037210
0.020000,17.639893,5.045379,3.923638,9.526661,17.166901,-62.193229,0.044468
0.020000,17.836627,5.054552,4.120586,9.847381,16.036025,-56.543804,0.048099
