dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.906292,6.999876,0.000223,0.022250,1.112511,55.625555,4.712403
0.020000,12.906292,6.998861,0.001237,0.050717,1.423320,15.540453,4.712517
0.020000,12.906293,6.996579,0.003519,0.114123,3.170330,87.350496,4.712773
0.020000,12.906295,6.992520,0.007578,0.202923,4.439979,63.482433,4.713228
0.020000,12.906303,6.986177,0.013921,0.317162,5.711971,63.599628,4.713942
0.020000,12.906322,6.977039,0.023059,0.456919,6.987825,63.792660,4.714974
0.020000,12.906363,6.964593,0.035506,0.622309,8.269496,64.083592,4.716385
0.020000,12.906443,6.948323,0.051775,0.813497,9.559410,64.495694,4.718241
0.020000,12.906586,6.927964,0.072135,1.017975,10.223919,33.225461,4.720581
0.020000,12.906821,6.903501,0.096599,1.223212,10.261849,1.896475,4.723419
0.020000,12.907184,6.874915,0.125187,1.429383,10.308522,2.333649,4.726772
0.020000,12.907718,6.842186,0.157920,1.636675,10.364612,2.804482,4.730661
0.020000,12.908474,6.805288,0.194826,1.845294,10.430947,3.316759,4.735110
0.020000,12.909511,6.764192,0.235936,2.055464,10.508525,3.878889,4.740147
0.020000,12.910898,6.718864,0.281284,2.267435,10.598539,4.500742,4.745805
0.020000,12.912712,6.669268,0.330914,2.481483,10.702407,5.193365,4.752122
0.020000,12.915044,6.615360,0.384872,2.697919,10.821803,5.969797,4.759142
0.020000,12.917996,6.557093,0.443214,2.917094,10.958712,6.845480,4.766916
0.020000,12.921686,6.494413,0.506002,3.139403,11.115450,7.836909,4.775499
0.020000,12.926247,6.427262,0.573308,3.365298,11.294755,8.965221,4.784958
0.020000,12.931832,6.355573,0.645214,3.595294,11.499819,10.253199,4.795368
0.020000,12.938615,6.279275,0.721814,3.829981,11.734365,11.727292,4.806815
0.020000,12.946797,6.198286,0.803214,4.070036,12.002734,13.418478,4.819397
0.020000,12.956606,6.112521,0.889539,4.316235,12.309926,15.359610,4.833225
0.020000,12.968307,6.021884,0.980928,4.569468,12.661675,17.587443,4.848430
0.020000,12.982205,5.926273,1.077544,4.830757,13.064461,20.139267,4.865158
0.020000,12.998652,5.825582,1.179569,5.101266,13.525461,23.050019,4.883578
0.020000,13.018058,5.719700,1.287215,5.382315,14.052403,26.347088,4.903882
0.020000,13.040899,5.608514,1.400723,5.675378,14.653175,30.038630,4.926292
0.020000,13.067730,5.491920,1.520364,5.982081,15.335142,34.098337,4.951055
0.020000,13.099199,5.369827,1.646448,6.304159,16.103894,38.437577,4.978453
0.020000,13.136059,5.242174,1.779315,6.643383,16.961193,42.864967,5.008801
