dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000131,23.500000,0.000222,0.022177,1.108871,55.443548,6.283168
0.020000,0.001018,23.500000,0.001109,0.066532,2.217742,55.443548,6.283050
0.020000,0.003014,23.499999,0.003105,0.133065,3.326613,55.443548,6.282785
0.020000,0.006563,23.499997,0.006653,0.221774,4.435484,55.443548,6.282314
0.020000,0.012107,23.499990,0.012198,0.332661,5.544355,55.443548,6.281576
0.020000,0.020091,23.499973,0.020181,0.465726,6.653226,55.443548,6.280511
0.020000,0.030958,23.499936,0.031048,0.620968,7.762097,55.443548,6.279056
0.020000,0.045151,23.499864,0.045242,0.798387,8.870968,55.443548,6.277146
0.020000,0.062893,23.499736,0.062984,0.975806,8.870968,-0.000000,6.274743
0.020000,0.084182,23.499525,0.084274,1.153226,8.870968,0.000000,6.271838
0.020000,0.109018,23.499201,0.109113,1.330645,8.870968,-0.000000,6.268418
0.020000,0.137401,23.498726,0.137500,1.508065,8.870968,0.000000,6.264468
0.020000,0.169330,23.498056,0.169435,1.685484,8.870968,0.000000,6.259970
0.020000,0.204802,23.497143,0.204919,1.862903,8.870968,-0.000000,6.254906
0.020000,0.243815,23.495929,0.243952,2.040323,8.870968,0.000000,6.249252
0.020000,0.286367,23.494352,0.286532,2.217742,8.870968,-0.000000,6.242982
0.020000,0.332452,23.492339,0.332661,2.395161,8.870968,0.000000,6.236068
0.020000,0.382065,23.489811,0.382339,2.572581,8.870968,0.000000,6.228476
0.020000,0.435198,23.486681,0.435565,2.750000,8.870968,0.000000,6.220172
0.020000,0.491843,23.482850,0.492339,2.927419,8.870968,-0.000000,6.211114
0.020000,0.551986,23.478211,0.552661,3.104839,8.870968,0.000000,6.201257
0.020000,0.615614,23.472645,0.616532,3.282258,8.870968,-0.000000,6.190551
0.020000,0.682707,23.466021,0.683952,3.459677,8.870968,0.000000,6.178942
0.020000,0.753241,23.458195,0.754919,3.637097,8.870968,0.000000,6.166370
0.020000,0.827189,23.449010,0.829435,3.814516,8.870968,0.000000,6.152766
0.020000,0.904513,23.438292,0.907500,3.991935,8.870968,-0.000000,6.138059
0.020000,0.985171,23.425851,0.989113,4.169355,8.870968,-0.000000,6.122168
0.020000,1.069111,23.411482,1.074274,4.346774,8.870968,0.000000,6.105007
0.020000,1.156266,23.394956,1.162984,4.524194,8.870968,0.000000,6.086481
0.020000,1.246560,23.376028,1.255242,4.701613,8.870968,0.000000,6.066490
0.020000,1.339898,23.354428,1.351048,4.879032,8.870968,-0.000000,6.044925
0.020000,1.436167,23.329866,1.450403,5.056452,8.870968,0.000000,6.021675
0.020000,1.535230,23.302028,1.553306,5.233871,8.870968,0.000000,5.996620
0.020000,1.636925,23.270574,1.659758,5.411290,8.870968,-0.000000,5.969642
0.020000,1.741059,23.235143,1.769758,5.588710,8.870968,0.000000,5.940622
0.020000,1.847402,23.195352,1.883306,5.766129,8.870968,-0.000000,5.909449
0.020000,1.955685,23.150798,2.000403,5.943548,8.870968,0.000000,5.876022
0.020000,2.065595,23.101063,2.121048,6.120968,8.870968,-0.000000,5.840261
0.020000,2.176768,23.045721,2.245242,6.298387,8.870968,0.000000,5.802116
0.020000,2.288789,22.984344,2.372984,6.475806,8.870968,-0.000000,5.761576
0.020000,2.401189,22.916516,2.504274,6.653226,8.870968,-0.000000,5.718683
0.020000,2.513448,22.841840,2.639113,6.830645,8.870968,0.000000,5.673541
0.020000,2.624997,22.759962,2.777500,7.008065,8.870968,-0.000000,5.626327
0.020000,2.735232,22.670575,2.919435,7.185484,8.870968,0.000000,5.577297
0.020000,2.843521,22.573443,3.064919,7.362903,8.870968,-0.000000,5.526781
0.020000,2.949224,22.468407,3.213952,7.540323,8.870968,0.000000,5.475183
0.020000,3.051713,22.355396,3.366532,7.717742,8.870968,0.000000,5.422957
0.020000,3.150393,22.234429,3.522661,7.895161,8.870968,-0.000000,5.370591
0.020000,3.244719,22.105613,3.682339,8.072581,8.870968,0.000000,5.318575
0.020000,3.334217,21.969132,3.845565,8.250000,8.870968,0.000000,5.267379
0.020000,3.418490,21.825237,4.012339,8.427419,8.870968,0.000000,5.217425
0.020000,3.497229,21.674226,4.182661,8.604839,8.870968,0.000000,5.169070
0.020000,3.570209,21.516430,4.356532,8.782258,8.870968,-0.000000,5.122599
0.020000,3.637289,21.352196,4.533952,8.959677,8.870968,0.000000,5.078216
0.020000,3.698400,21.181873,4.714919,9.137097,8.870968,-0.000000,5.036054
0.020000,3.753537,21.005800,4.899435,9.314516,8.870968,0.000000,4.996177
0.020000,3.802744,20.824299,5.087500,9.491935,8.870968,0.000000,4.958597
0.020000,3.846109,20.637668,5.279113,9.669355,8.870968,0.000000,4.923280
0.020000,3.883751,20.446180,5.474274,9.846774,8.870968,-0.000000,4.890160
0.020000,3.915810,20.250082,5.672984,10.024194,8.870968,0.000000,4.859149
0.020000,3.942440,20.049592,5.875242,10.201613,8.870968,0.000000,4.830144
0.020000,3.963806,19.844904,6.081048,10.379032,8.870968,0.000000,4.803031
0.020000,3.980062,19.636409,6.290181,10.534274,7.762097,-55.443548,4.777723
0.020000,3.991373,19.424700,6.502198,10.667339,6.653226,-55.443548,4.754145
0.020000,3.997943,19.210349,6.716653,10.778226,5.544355,-55.443548,4.732214
0.020000,4.000000,18.994011,6.933105,10.866935,4.435484,-55.443548,4.712389
0.020000,4.000000,18.776007,7.151109,10.933468,3.326613,-55.443548,4.712389
0.020000,4.000000,18.556894,7.370222,10.977823,2.217742,-55.443548,4.712389
