dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000131,24.593708,0.000222,0.022177,1.108871,55.443548,6.283182
0.020000,0.001040,24.593708,0.001131,0.045459,1.164103,2.761597,6.283162
0.020000,0.003086,24.593708,0.003177,0.102288,2.841427,83.866209,6.283117
0.020000,0.006723,24.593707,0.006814,0.181860,3.978585,56.857878,6.283035
0.020000,0.012407,24.593706,0.012498,0.284193,5.116644,56.902943,6.282908
0.020000,0.020594,24.593703,0.020684,0.409316,6.256181,56.976857,6.282723
0.020000,0.031739,24.593697,0.031830,0.557275,7.397922,57.087044,6.282468
0.020000,0.046302,24.593684,0.046392,0.728130,8.542744,57.241122,6.282131
0.020000,0.064513,24.593661,0.064604,0.910578,9.122426,28.984112,6.281701
0.020000,0.086379,24.593623,0.086470,1.093306,9.136393,0.698334,6.281175
0.020000,0.111907,24.593563,0.111997,1.276371,9.153251,0.842928,6.280545
0.020000,0.141103,24.593475,0.141194,1.459832,9.173061,0.990463,6.279805
0.020000,0.173978,24.593350,0.174069,1.643750,9.195892,1.141570,6.278946
0.020000,0.210541,24.593177,0.210633,1.828187,9.221834,1.297092,6.277959
0.020000,0.250805,24.592944,0.250897,2.013206,9.250991,1.457858,6.276832
0.020000,0.294781,24.592637,0.294874,2.198876,9.283490,1.624921,6.275555
0.020000,0.342485,24.592239,0.342580,2.385266,9.319478,1.799422,6.274114
0.020000,0.393931,24.591731,0.394029,2.572448,9.359132,1.982724,6.272494
0.020000,0.449138,24.591091,0.449239,2.760502,9.402659,2.176324,6.270680
0.020000,0.508122,24.590294,0.508229,2.949508,9.450299,2.382007,6.268654
0.020000,0.570906,24.589311,0.571020,3.139554,9.502334,2.601753,6.266397
0.020000,0.637510,24.588110,0.637635,3.330736,9.559092,2.837872,6.263888
0.020000,0.707958,24.586653,0.708098,3.523155,9.620952,3.092996,6.261105
0.020000,0.782275,24.584898,0.782436,3.716922,9.688354,3.370107,6.258023
0.020000,0.860490,24.582797,0.860679,3.912158,9.761807,3.672655,6.254615
0.020000,0.942632,24.580297,0.942859,4.108996,9.841898,4.004573,6.250853
0.020000,1.028733,24.577334,1.029011,4.307582,9.929304,4.370276,6.246703
0.020000,1.118827,24.573842,1.119172,4.508078,10.024803,4.774954,6.242131
0.020000,1.212951,24.569740,1.213386,4.710664,10.129290,5.224363,6.237099
0.020000,1.311144,24.564941,1.311697,4.915540,10.243793,5.725140,6.231564
0.020000,1.413450,24.559346,1.414155,5.122930,10.369489,6.284809,6.225482
0.020000,1.519913,24.552843,1.520817,5.333084,10.507725,6.911819,6.218801
0.020000,1.630583,24.545303,1.631743,5.546285,10.660041,7.615765,6.211466
0.020000,1.745509,24.536586,1.747000,5.762849,10.828186,8.407256,6.203414
0.020000,1.864749,24.526528,1.866662,5.983132,11.014147,9.298066,6.194579
0.020000,1.988358,24.514949,1.990813,6.207535,11.220166,10.300953,6.184885
0.020000,2.116398,24.501640,2.119543,6.436510,11.448757,11.429533,6.174248
0.020000,2.248933,24.486369,2.252954,6.670565,11.702709,12.697618,6.162575
0.020000,2.386026,24.468870,2.391160,6.910266,11.985084,14.118755,6.149762
0.020000,2.527743,24.448843,2.534285,7.156250,12.299174,15.704498,6.135696
0.020000,2.674148,24.425946,2.682469,7.409218,12.648426,17.462570,6.120248
0.020000,2.825300,24.399792,2.835868,7.669944,13.036296,19.393491,6.103277
0.020000,2.981254,24.369938,2.994653,7.939264,13.466006,21.485517,6.084624
