dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000112,22.406292,0.000222,0.022177,1.108871,55.443548,6.283168
0.020000,0.000871,22.406292,0.000980,0.037922,0.787211,-16.083013,6.283050
0.020000,0.002577,22.406291,0.002687,0.085316,2.369695,79.124224,6.282785
0.020000,0.005610,22.406290,0.005719,0.151644,3.316433,47.336895,6.282314
0.020000,0.010347,22.406284,0.010457,0.236873,4.261416,47.249131,6.281576
0.020000,0.017166,22.406269,0.017276,0.340943,5.203509,47.104673,6.280511
0.020000,0.026441,22.406238,0.026551,0.463768,6.141273,46.888209,6.279056
0.020000,0.038546,22.406176,0.038656,0.605227,7.072936,46.583114,6.277146
0.020000,0.053660,22.406067,0.053770,0.755714,7.524336,22.570012,6.274743
0.020000,0.071772,22.405887,0.071883,0.905643,7.496466,-1.393475,6.271838
0.020000,0.092868,22.405612,0.092981,1.054893,7.462481,-1.699275,6.268418
0.020000,0.116931,22.405209,0.117047,1.203334,7.422073,-2.020403,6.264468
0.020000,0.143942,22.404643,0.144064,1.350832,7.374878,-2.359728,6.259970
0.020000,0.173877,22.403872,0.174009,1.497241,7.320469,-2.720460,6.254906
0.020000,0.206709,22.402851,0.206857,1.642408,7.258355,-3.105728,6.249252
0.020000,0.242408,22.401527,0.242580,1.786167,7.187972,-3.519139,6.242982
0.020000,0.280938,22.399845,0.281147,1.928341,7.108685,-3.964334,6.236068
0.020000,0.322259,22.397740,0.322522,2.068737,7.019782,-4.445167,6.228476
0.020000,0.366325,22.395144,0.366665,2.207146,6.920473,-4.965434,6.220172
0.020000,0.413085,22.391981,0.413532,2.343344,6.809888,-5.529246,6.211114
0.020000,0.462481,22.388172,0.463073,2.477086,6.687082,-6.140287,6.201257
0.020000,0.514444,22.383626,0.515235,2.608106,6.551039,-6.802186,6.190551
0.020000,0.568902,22.378250,0.569958,2.736120,6.400686,-7.517634,6.178942
0.020000,0.625769,22.371941,0.627174,2.860819,6.234917,-8.288426,6.166370
0.020000,0.684952,22.364590,0.686812,2.981871,6.052625,-9.114635,6.152766
0.020000,0.746344,22.356081,0.748790,3.098926,5.852755,-9.993508,6.138059
0.020000,0.809825,22.346291,0.813022,3.211614,5.634381,-10.918678,6.122168
0.020000,0.875265,22.335089,0.879413,3.319550,5.396814,-11.878332,6.105007
0.020000,0.942514,22.322339,0.947860,3.422345,5.139756,-12.852900,6.086481
0.020000,1.011409,22.307898,1.018253,3.519615,4.863499,-13.812865,6.066490
0.020000,1.081770,22.291617,1.090473,3.610999,4.569206,-14.714673,6.044925
0.020000,1.153399,22.273344,1.164396,3.696184,4.259260,-15.497285,6.021675
0.020000,1.226083,22.252921,1.239895,3.774939,3.937718,-16.077075,5.996620
0.020000,1.299591,22.230188,1.316838,3.847156,3.610853,-16.343253,5.969642
0.020000,1.373679,22.204983,1.395096,3.912911,3.287776,-16.153866,5.940622
