dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000128,3.500000,0.000222,0.022177,1.108871,55.443548,0.000003
0.020000,0.001015,3.500000,0.001109,0.066532,2.217742,55.443548,0.000023
0.020000,0.003011,3.500000,0.003105,0.133065,3.326613,55.443548,0.000069
0.020000,0.006559,3.500000,0.006653,0.221774,4.435484,55.443548,0.000150
0.020000,0.012104,3.500002,0.012198,0.332661,5.544355,55.443548,0.000277
0.020000,0.020088,3.500005,0.020181,0.465726,6.653226,55.443548,0.000462
0.020000,0.030955,3.500011,0.031048,0.620968,7.762097,55.443548,0.000717
0.020000,0.045148,3.500024,0.045242,0.798387,8.870968,55.443548,0.001055
0.020000,0.062890,3.500046,0.062984,0.975806,8.870968,-0.000000,0.001484
0.020000,0.084180,3.500083,0.084274,1.153226,8.870968,0.000000,0.002010
0.020000,0.109019,3.500141,0.109113,1.330645,8.870968,-0.000000,0.002640
0.020000,0.137406,3.500226,0.137500,1.508065,8.870968,0.000000,0.003380
0.020000,0.169341,3.500348,0.169435,1.685484,8.870968,0.000000,0.004239
0.020000,0.204825,3.500516,0.204919,1.862903,8.870968,-0.000000,0.005227
0.020000,0.243856,3.500742,0.243952,2.040323,8.870968,0.000000,0.006353
0.020000,0.286436,3.501039,0.286532,2.217742,8.870968,-0.000000,0.007630
0.020000,0.332563,3.501424,0.332661,2.395161,8.870968,0.000000,0.009071
0.020000,0.382238,3.501915,0.382339,2.572581,8.870968,0.000000,0.010691
0.020000,0.435461,3.502532,0.435565,2.750000,8.870968,0.000000,0.012505
0.020000,0.492230,3.503299,0.492339,2.927419,8.870968,-0.000000,0.014532
0.020000,0.552545,3.504243,0.552661,3.104839,8.870968,0.000000,0.016789
0.020000,0.616405,3.505395,0.616532,3.282258,8.870968,-0.000000,0.019297
0.020000,0.683810,3.506788,0.683952,3.459677,8.870968,0.000000,0.022080
0.020000,0.754758,3.508464,0.754919,3.637097,8.870968,0.000000,0.025162
0.020000,0.829247,3.510464,0.829435,3.814516,8.870968,0.000000,0.028570
0.020000,0.907276,3.512840,0.907500,3.991935,8.870968,-0.000000,0.032333
0.020000,0.988840,3.515646,0.989113,4.169355,8.870968,-0.000000,0.036483
0.020000,1.073938,3.518945,1.074274,4.346774,8.870968,0.000000,0.041055
0.020000,1.162563,3.522807,1.162984,4.524194,8.870968,0.000000,0.046087
0.020000,1.254711,3.527310,1.255242,4.701613,8.870968,0.000000,0.051621
0.020000,1.350374,3.532541,1.351048,4.879032,8.870968,-0.000000,0.057703
