dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000112,4.593708,0.000222,0.022177,1.108871,55.443548,0.000017
0.020000,0.000871,4.593708,0.000980,0.037922,0.787211,-16.083013,0.000135
0.020000,0.002577,4.593709,0.002687,0.085316,2.369695,79.124224,0.000400
0.020000,0.005610,4.593710,0.005719,0.151644,3.316433,47.336895,0.000871
0.020000,0.010347,4.593716,0.010457,0.236873,4.261416,47.249131,0.001609
0.020000,0.017166,4.593731,0.017276,0.340943,5.203509,47.104673,0.002674
0.020000,0.026441,4.593762,0.026551,0.463768,6.141273,46.888209,0.004129
0.020000,0.038546,4.593824,0.038656,0.605227,7.072936,46.583114,0.006039
0.020000,0.053660,4.593933,0.053770,0.755714,7.524336,22.570012,0.008442
0.020000,0.071772,4.594113,0.071883,0.905643,7.496466,-1.393475,0.011347
0.020000,0.092868,4.594388,0.092981,1.054893,7.462481,-1.699275,0.014767
0.020000,0.116931,4.594791,0.117047,1.203334,7.422073,-2.020403,0.018718
0.020000,0.143942,4.595357,0.144064,1.350832,7.374878,-2.359728,0.023215
0.020000,0.173877,4.596128,0.174009,1.497241,7.320469,-2.720460,0.028280
0.020000,0.206709,4.597149,0.206857,1.642408,7.258355,-3.105728,0.033934
0.020000,0.242408,4.598473,0.242580,1.786167,7.187972,-3.519139,0.040203
0.020000,0.280938,4.600155,0.281147,1.928341,7.108685,-3.964334,0.047118
0.020000,0.322259,4.602260,0.322522,2.068737,7.019782,-4.445167,0.054709
0.020000,0.366325,4.604856,0.366665,2.207146,6.920473,-4.965434,0.063013
0.020000,0.413085,4.608019,0.413532,2.343344,6.809888,-5.529246,0.072072
0.020000,0.462481,4.611828,0.463073,2.477086,6.687082,-6.140287,0.081929
0.020000,0.514444,4.616374,0.515235,2.608106,6.551039,-6.802186,0.092634
0.020000,0.568902,4.621750,0.569958,2.736120,6.400686,-7.517634,0.104243
0.020000,0.625769,4.628059,0.627174,2.860819,6.234917,-8.288426,0.116816
0.020000,0.684952,4.635410,0.686812,2.981871,6.052625,-9.114635,0.130419
0.020000,0.746344,4.643919,0.748790,3.098926,5.852755,-9.993508,0.145127
0.020000,0.809825,4.653709,0.813022,3.211614,5.634381,-10.918678,0.161017
0.020000,0.875265,4.664911,0.879413,3.319550,5.396814,-11.878332,0.178179
0.020000,0.942514,4.677661,0.947860,3.422345,5.139756,-12.852900,0.196704
0.020000,1.011409,4.692102,1.018253,3.519615,4.863499,-13.812865,0.216696
0.020000,1.081770,4.708383,1.090473,3.610999,4.569206,-14.714673,0.238260
0.020000,1.153399,4.726656,1.164396,3.696184,4.259260,-15.497285,0.261511
0.020000,1.226083,4.747079,1.239895,3.774939,3.937718,-16.077075,0.286565
0.020000,1.299591,4.769812,1.316838,3.847156,3.610853,-16.343253,0.313544
