dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000131,2.406292,0.000222,0.022177,1.108871,55.443548,0.000003
0.020000,0.001040,2.406292,0.001131,0.045459,1.164103,2.761597,0.000023
0.020000,0.003086,2.406292,0.003177,0.102288,2.841427,83.866209,0.000069
0.020000,0.006723,2.406293,0.006814,0.181860,3.978585,56.857878,0.000150
0.020000,0.012407,2.406294,0.012498,0.284193,5.116644,56.902943,0.000277
0.020000,0.020594,2.406297,0.020684,0.409316,6.256181,56.976857,0.000462
0.020000,0.031739,2.406303,0.031830,0.557275,7.397922,57.087044,0.000717
0.020000,0.046302,2.406316,0.046392,0.728130,8.542744,57.241122,0.001055
0.020000,0.064513,2.406339,0.064604,0.910578,9.122426,28.984112,0.001484
0.020000,0.086379,2.406377,0.086470,1.093306,9.136393,0.698334,0.002010
0.020000,0.111907,2.406437,0.111997,1.276371,9.153251,0.842928,0.002640
0.020000,0.141103,2.406525,0.141194,1.459832,9.173061,0.990463,0.003380
0.020000,0.173978,2.406650,0.174069,1.643750,9.195892,1.141570,0.004239
0.020000,0.210541,2.406823,0.210633,1.828187,9.221834,1.297092,0.005227
0.020000,0.250805,2.407056,0.250897,2.013206,9.250991,1.457858,0.006353
0.020000,0.294781,2.407363,0.294874,2.198876,9.283490,1.624921,0.007630
0.020000,0.342485,2.407761,0.342580,2.385266,9.319478,1.799422,0.009071
0.020000,0.393931,2.408269,0.394029,2.572448,9.359132,1.982724,0.010691
0.020000,0.449138,2.408909,0.449239,2.760502,9.402659,2.176324,0.012505
0.020000,0.508122,2.409706,0.508229,2.949508,9.450299,2.382007,0.014532
0.020000,0.570906,2.410689,0.571020,3.139554,9.502334,2.601753,0.016789
0.020000,0.637510,2.411890,0.637635,3.330736,9.559092,2.837872,0.019297
0.020000,0.707958,2.413347,0.708098,3.523155,9.620952,3.092996,0.022080
0.020000,0.782275,2.415102,0.782436,3.716922,9.688354,3.370107,0.025162
0.020000,0.860490,2.417203,0.860679,3.912158,9.761807,3.672655,0.028570
0.020000,0.942632,2.419703,0.942859,4.108996,9.841898,4.004573,0.032333
0.020000,1.028733,2.422666,1.029011,4.307582,9.929304,4.370276,0.036483
0.020000,1.118827,2.426158,1.119172,4.508078,10.024803,4.774954,0.041055
0.020000,1.212951,2.430260,1.213386,4.710664,10.129290,5.224363,0.046087
0.020000,1.311144,2.435059,1.311697,4.915540,10.243793,5.725140,0.051621
0.020000,1.413450,2.440654,1.414155,5.122930,10.369489,6.284809,0.057703
0.020000,1.519913,2.447157,1.520817,5.333084,10.507725,6.911819,0.064384
0.020000,1.630583,2.454697,1.631743,5.546285,10.660041,7.615765,0.071720
0.020000,1.745509,2.463414,1.747000,5.762849,10.828186,8.407256,0.079771
0.020000,1.864749,2.473472,1.866662,5.983132,11.014147,9.298066,0.088606
0.020000,1.988358,2.485051,1.990813,6.207535,11.220166,10.300953,0.098300
0.020000,2.116398,2.498360,2.119543,6.436510,11.448757,11.429533,0.108938
0.020000,2.248933,2.513631,2.252954,6.670565,11.702709,12.697618,0.120611
