dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000114,3.500000,0.000224,0.022404,1.120178,56.008893,0.000000
0.020000,0.001010,3.500000,0.001120,0.067211,2.240356,56.008893,0.000000
0.020000,0.003026,3.500000,0.003136,0.134421,3.360534,56.008893,0.000000
0.020000,0.006611,3.500000,0.006721,0.224036,4.480711,56.008893,0.000000
0.020000,0.012212,3.500000,0.012322,0.336053,5.600889,56.008893,0.000000
0.020000,0.020277,3.500000,0.020387,0.470475,6.721067,56.008893,0.000000
0.020000,0.031255,3.500000,0.031365,0.627300,7.841245,56.008893,0.000000
0.020000,0.045593,3.500000,0.045703,0.806528,8.961423,56.008893,0.000000
0.020000,0.063516,3.500000,0.063626,0.985757,8.961423,0.000000,0.000000
0.020000,0.085024,3.500000,0.085134,1.164985,8.961423,0.000000,0.000000
0.020000,0.110116,3.500000,0.110226,1.344213,8.961423,-0.000000,0.000000
0.020000,0.138792,3.500000,0.138902,1.523442,8.961423,0.000000,0.000000
0.020000,0.171053,3.500000,0.171163,1.702670,8.961423,0.000000,0.000000
0.020000,0.206899,3.500000,0.207009,1.881899,8.961423,0.000000,0.000000
0.020000,0.246329,3.500000,0.246439,2.061127,8.961423,0.000000,0.000000
0.020000,0.289344,3.500000,0.289454,2.240356,8.961423,0.000000,0.000000
0.020000,0.335943,3.500000,0.336053,2.419584,8.961423,0.000000,0.000000
0.020000,0.386127,3.500000,0.386237,2.598813,8.961423,-0.000000,0.000000
0.020000,0.439896,3.500000,0.440006,2.778041,8.961423,0.000000,0.000000
0.020000,0.497249,3.500000,0.497359,2.957270,8.961423,0.000000,0.000000
0.020000,0.558187,3.500000,0.558297,3.136498,8.961423,-0.000000,0.000000
0.020000,0.622709,3.500000,0.622819,3.315726,8.961423,0.000000,0.000000
0.020000,0.690816,3.500000,0.690926,3.494955,8.961423,0.000000,0.000000
0.020000,0.762507,3.500000,0.762617,3.674183,8.961423,0.000000,0.000000
0.020000,0.837783,3.500000,0.837893,3.853412,8.961423,0.000000,0.000000
0.020000,0.916644,3.500000,0.916754,4.032640,8.961423,0.000000,0.000000
0.020000,0.999089,3.500000,0.999199,4.211869,8.961423,-0.000000,0.000000
0.020000,1.085118,3.500000,1.085228,4.391097,8.961423,0.000000,0.000000
0.020000,1.174733,3.500000,1.174843,4.570326,8.961423,0.000000,0.000000
0.020000,1.267931,3.500000,1.268041,4.749554,8.961423,0.000000,0.000000
0.020000,1.364715,3.500000,1.364825,4.928783,8.961423,0.000000,0.000000
0.020000,1.465083,3.500000,1.465193,5.108011,8.961423,0.000000,0.000000
0.020000,1.569035,3.500000,1.569145,5.287240,8.961423,0.000000,0.000000
0.020000,1.676572,3.500000,1.676682,5.466468,8.961423,-0.000000,0.000000
0.020000,1.787694,3.500000,1.787804,5.645696,8.961423,0.000000,0.000000
0.020000,1.902400,3.500000,1.902510,5.824925,8.961423,-0.000000,0.000000
0.020000,2.020691,3.500000,2.020801,6.004153,8.961423,0.000000,0.000000
0.020000,2.142566,3.500000,2.142676,6.183382,8.961423,-0.000000,0.000000
0.020000,2.268026,3.500000,2.268136,6.362610,8.961423,0.000000,0.000000
0.020000,2.397071,3.500000,2.397181,6.541839,8.961423,-0.000000,0.000000
0.020000,2.529700,3.500000,2.529810,6.721067,8.961423,0.000000,0.000000
0.020000,2.665913,3.500000,2.666023,6.900296,8.961423,-0.000000,0.000000
0.020000,2.805712,3.500000,2.805822,7.079524,8.961423,0.000000,0.000000
0.020000,2.949094,3.500000,2.949204,7.258753,8.961423,0.000000,0.000000
0.020000,3.096062,3.500000,3.096172,7.437981,8.961423,0.000000,0.000000
0.020000,3.246614,3.500000,3.246724,7.617210,8.961423,0.000000,0.000000
0.020000,3.400750,3.500000,3.400860,7.796438,8.961423,0.000000,0.000000
0.020000,3.558471,3.500000,3.558581,7.975666,8.961423,-0.000000,0.000000
0.020000,3.719777,3.500000,3.719887,8.154895,8.961423,0.000000,0.000000
0.020000,3.884667,3.500000,3.884777,8.334123,8.961423,0.000000,0.000000
0.020000,4.053142,3.500000,4.053252,8.513352,8.961423,0.000000,0.000000
0.020000,4.225201,3.500000,4.225311,8.692580,8.961423,0.000000,0.000000
0.020000,4.400845,3.500000,4.400955,8.871809,8.961423,0.000000,0.000000
0.020000,4.580073,3.500000,4.580183,9.051037,8.961423,0.000000,0.000000
0.020000,4.762886,3.500000,4.762996,9.230266,8.961423,0.000000,0.000000
0.020000,4.949284,3.500000,4.949394,9.409494,8.961423,0.000000,0.000000
0.020000,5.139266,3.500000,5.139376,9.588723,8.961423,0.000000,0.000000
0.020000,5.332609,3.500000,5.332719,9.745547,7.841245,-56.008893,0.000000
0.020000,5.528864,3.500000,5.528974,9.879969,6.721067,-56.008893,0.000000
0.020000,5.727583,3.500000,5.727693,9.991987,5.600889,-56.008893,0.000000
0.020000,5.928319,3.500000,5.928429,10.081601,4.480711,-56.008893,0.000000
0.020000,6.130623,3.500000,6.130733,10.148811,3.360534,-56.008893,0.000000
0.020000,6.334048,3.500000,6.334158,10.193619,2.240356,-56.008893,0.000000
0.020000,6.538144,3.500000,6.538254,10.216022,1.120178,-56.008893,0.000000
0.020000,6.742298,3.500000,6.742408,10.199347,-0.833772,-97.697507,0.000000
0.020000,6.945894,3.500000,6.946004,10.160268,-1.953950,-56.008893,0.000000
0.020000,7.148485,3.500000,7.148595,10.098785,-3.074128,-56.008893,0.000000
0.020000,7.349621,3.500000,7.349731,10.014899,-4.194306,-56.008893,0.000000
0.020000,7.548856,3.500000,7.548966,9.908609,-5.314484,-56.008893,0.000000
0.020000,7.745742,3.500000,7.745852,9.779916,-6.434662,-56.008893,0.000000
0.020000,7.939829,3.500000,7.939939,9.628819,-7.554839,-56.008893,0.000000
0.020000,8.130670,3.500000,8.130780,9.455319,-8.675017,-56.008893,0.000000
0.020000,8.317985,3.500000,8.318095,9.276091,-8.961423,-14.320280,0.000000
0.020000,8.501714,3.500000,8.501824,9.096862,-8.961423,0.000000,0.000000
