dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000114,4.593708,0.000224,0.022404,1.120178,56.008893,0.000000
0.020000,0.001010,4.593708,0.001120,0.044807,1.120178,-0.000000,0.000000
0.020000,0.003026,4.593708,0.003136,0.100816,2.800445,84.013340,0.000000
0.020000,0.006611,4.593708,0.006721,0.179228,3.920623,56.008893,0.000000
0.020000,0.012212,4.593708,0.012322,0.280044,5.040800,56.008893,0.000000
0.020000,0.020277,4.593708,0.020387,0.403264,6.160978,56.008893,0.000000
0.020000,0.031255,4.593708,0.031365,0.548887,7.281156,56.008893,0.000000
0.020000,0.045593,4.593708,0.045703,0.716914,8.401334,56.008893,0.000000
0.020000,0.063516,4.593708,0.063626,0.896142,8.961423,28.004447,0.000000
0.020000,0.085024,4.593708,0.085134,1.075371,8.961423,-0.000000,0.000000
0.020000,0.110116,4.593708,0.110226,1.254599,8.961423,0.000000,0.000000
0.020000,0.138792,4.593708,0.138902,1.433828,8.961423,-0.000000,0.000000
0.020000,0.171053,4.593708,0.171163,1.613056,8.961423,0.000000,0.000000
0.020000,0.206899,4.593708,0.207009,1.792285,8.961423,0.000000,0.000000
0.020000,0.246329,4.593708,0.246439,1.971513,8.961423,0.000000,0.000000
0.020000,0.289344,4.593708,0.289454,2.150742,8.961423,0.000000,0.000000
0.020000,0.335943,4.593708,0.336053,2.329970,8.961423,-0.000000,0.000000
0.020000,0.386127,4.593708,0.386237,2.509198,8.961423,-0.000000,0.000000
0.020000,0.439896,4.593708,0.440006,2.688427,8.961423,0.000000,0.000000
0.020000,0.497249,4.593708,0.497359,2.867655,8.961423,0.000000,0.000000
0.020000,0.558187,4.593708,0.558297,3.046884,8.961423,0.000000,0.000000
0.020000,0.622709,4.593708,0.622819,3.226112,8.961423,-0.000000,0.000000
0.020000,0.690816,4.593708,0.690926,3.405341,8.961423,0.000000,0.000000
0.020000,0.762507,4.593708,0.762617,3.584569,8.961423,0.000000,0.000000
0.020000,0.837783,4.593708,0.837893,3.763798,8.961423,-0.000000,0.000000
0.020000,0.916644,4.593708,0.916754,3.943026,8.961423,0.000000,0.000000
0.020000,0.999089,4.593708,0.999199,4.122255,8.961423,-0.000000,0.000000
0.020000,1.085118,4.593708,1.085228,4.301483,8.961423,0.000000,0.000000
0.020000,1.174733,4.593708,1.174843,4.480711,8.961423,0.000000,0.000000
0.020000,1.267931,4.593708,1.268041,4.659940,8.961423,-0.000000,0.000000
0.020000,1.364715,4.593708,1.364825,4.839168,8.961423,0.000000,0.000000
0.020000,1.465083,4.593708,1.465193,5.018397,8.961423,-0.000000,0.000000
0.020000,1.569035,4.593708,1.569145,5.197625,8.961423,0.000000,0.000000
0.020000,1.676572,4.593708,1.676682,5.376854,8.961423,0.000000,0.000000
